step,action,psnr_value,mse_value,ssim_value,rank
1,0,5.4394444548746135,0.28604353007361394,0.01735447160899639,1
2,0,5.484130729428252,0.28311468750256735,0.018076805397868156,2
3,0,5.492217818078405,0.28258843941839307,0.018495667725801468,2
4,0,5.494983716344085,0.28240867992260493,0.018702972680330276,2
5,0,5.496357481672012,0.28231943958353767,0.018833983689546585,2
6,0,5.497104535539014,0.2822709225533913,0.018920449540019035,2
7,0,5.497536780173633,0.28224285438675123,0.01897907815873623,2
8,0,5.497837085977694,0.28222335550952393,0.019025834277272224,2
9,0,5.498044996303909,0.28220985658899056,0.019062645733356476,2
10,0,5.498188074896875,0.2822005674244805,0.019091112539172173,2
11,0,5.4982912196565925,0.2821938710330437,0.019113898277282715,2
12,0,5.498359401324741,0.282189444622415,0.01913038082420826,2
13,0,5.49840377550866,0.28218656387198404,0.019141890108585358,2
14,0,5.498437686279006,0.2821843624096126,0.019151201471686363,2
15,0,5.498480093870562,0.28218160936420267,0.01916360668838024,2
16,0,5.498504871572052,0.28218000083973116,0.019171325489878654,2
17,0,5.498535036118868,0.2821780426263985,0.019181303679943085,2
18,0,5.498556962969225,0.282176619179523,0.019189035519957542,2
19,0,5.498577182517257,0.28217530660349566,0.01919660158455372,2
20,0,5.498588483680306,0.28217457294689385,0.019201045855879784,2
21,0,5.49860087298324,0.2821737686800015,0.019206123426556587,2
22,0,5.498608879231348,0.2821732489414689,0.01920953392982483,2
23,0,5.498617087337284,0.28217271611268013,0.019213147461414337,2
24,0,5.498624979370945,0.2821722037766098,0.0192167479544878,2
25,0,5.498635540510335,0.2821715181876357,0.01922178640961647,2
26,0,5.498643569852861,0.2821709969724394,0.01922580786049366,2
27,0,5.4986530463035574,0.28217038178886494,0.019230807200074196,2
28,0,5.498658509546297,0.28217002714536776,0.019233830273151398,2
29,0,5.498663582307658,0.2821696978372077,0.019236747175455093,2
30,0,5.4986668108847425,0.28216948824720145,0.019238661974668503,2
31,0,5.498670250503554,0.28216926497218614,0.019240761175751686,2
32,0,5.498673305335391,0.2821690666625659,0.019242675974965096,2
33,0,5.498677432120523,0.28216879877564705,0.01924535259604454,2
34,0,5.498679387930182,0.2821686718043012,0.01924665831029415,2
35,0,5.498681300715789,0.2821685476393408,0.019247960299253464,2
36,0,5.498685306647381,0.2821682875985559,0.01925078220665455,2
37,0,5.498687598796187,0.28216813879545677,0.019252456724643707,2
38,0,5.498690937604604,0.2821679220515997,0.019254986196756363,2
39,0,5.498691806210613,0.2821678656703658,0.019255662336945534,2
40,0,5.498694117798832,0.28216771561412035,0.019257504492998123,2
41,0,5.498696590905058,0.28216755506756097,0.01925954781472683,2
42,0,5.498698387698755,0.2821674384271695,0.019261086359620094,2
43,0,5.498699365007721,0.28216737498858013,0.01926194317638874,2
44,0,5.498701093670073,0.28216726277572207,0.0192634966224432,2
45,0,5.498702237244179,0.2821671885384474,0.019264550879597664,2
46,0,5.498703402423542,0.2821671129013432,0.01926565356552601,2
47,0,5.498703806834687,0.2821670866451609,0.019266042858362198,2
48,0,5.498704575654372,0.28216703674153426,0.01926679164171219,2
49,0,5.498705242988288,0.2821669934217114,0.019267451018095016,2
50,0,5.498706888839937,0.28216688657870415,0.019269127398729324,2
51,0,5.498707266786416,0.28216686204236413,0.01926952227950096,2
52,0,5.498707962154201,0.28216681690348727,0.019270258024334908,2
53,0,5.4987082466418595,0.2821667984387237,0.019270561635494232,2
54,0,5.498709173061434,0.28216673829688693,0.019271571189165115,2
55,0,5.498708994108378,0.28216674991875784,0.019271373748779297,2
56,0,5.498709326525515,0.2821667283400138,0.019271738827228546,2
57,0,5.498709883052757,0.28216669221323504,0.01927236281335354,2
58,0,5.498710846582541,0.282166629666775,0.019273463636636734,2
59,0,5.498711610717166,0.2821665800596841,0.019274361431598663,2
60,0,5.498711675757085,0.2821665758385292,0.01927443966269493,2
61,0,5.498711714760754,0.2821665733087596,0.019274484366178513,2
62,0,5.498711593983235,0.28216658114169985,0.01927434280514717,2
63,0,5.498712055991404,0.28216655115181943,0.019274894148111343,2
64,0,5.4987125752042765,0.28216651744964844,0.019275527447462082,2
65,0,5.49871340479185,0.28216646359986575,0.019276563078165054,2
66,0,5.498714175988018,0.2821664135320935,0.019277555868029594,2
67,0,5.498714367239957,0.2821664011161407,0.01927780732512474,2
68,0,5.498714481591076,0.28216639369408186,0.01927795819938183,2
69,0,5.498714802401812,0.28216637287371893,0.01927838660776615,2
70,0,5.49871526694376,0.2821663427129667,0.019279014319181442,2
71,0,5.498715861488401,0.282166304122387,0.0192798413336277,2
72,0,5.498716131237849,0.28216628660821924,0.019280223175883293,2
73,0,5.498716544868161,0.28216625975967696,0.019280819222331047,2
74,0,5.498716911953724,0.28216623592900786,0.019281357526779175,2
75,0,5.498717261943874,0.28216621321178664,0.01928188093006611,2
76,0,5.498717209381285,0.28216621662275554,0.019281800836324692,2
77,0,5.498717842150707,0.2821661755443804,0.019282769411802292,2
78,0,5.498717765290989,0.28216618053795095,0.01928265020251274,2
79,0,5.498718218154629,0.28216615113787585,0.019283361732959747,2
80,0,5.498718500823461,0.28216613278558245,0.019283819943666458,2
81,0,5.498718507415628,0.2821661323593407,0.019283827394247055,2
82,0,5.498719066559826,0.2821660960647945,0.019284753128886223,2
