step,action,psnr_value,mse_value,ssim_value,rank,action
1,0,1.4704817016993155,0.7133333389854806,-0.010528868298863436,1,[0 0 0 0]
2,0,1.4704817041354281,0.713334350532018,-0.010528866190918735,2,[0 0 0 0]
3,0,1.4704817114360527,0.7133337916234163,-0.010528861591692562,2,[0 0 0 0]
4,0,1.4704817089883844,0.7133335532934842,-0.01052886609488069,2,[0 0 0 0]
5,0,1.4704817017147278,0.7133334165737953,-0.010528864849647612,2,[0 0 0 0]
6,0,1.470481701699316,0.7133334539217914,-0.010528867915526638,2,[0 0 0 0]
7,0,1.4704817041431335,0.7133334333072413,-0.010528864657979215,2,[0 0 0 0]
8,0,1.470481691977989,0.7133335235227745,-0.010528871173481783,2,[0 0 0 0]
9,0,1.4704816968540646,0.7133335428460348,-0.010528866670293542,2,[0 0 0 0]
10,0,1.4704817065753903,0.7133336219883094,-0.010528863220670088,2,[0 0 0 0]
11,0,1.47048169928247,0.7133334932246149,-0.010528866286956751,2,[0 0 0 0]
12,0,1.4704816968463599,0.7133334679329459,-0.010528868011564671,2,[0 0 0 0]
13,0,1.4704817089883844,0.7133333911225691,-0.01052886609488069,2,[0 0 0 0]
14,0,1.470481696850212,0.7133334835806592,-0.010528867724265905,2,[0 0 0 0]
15,0,1.4704816895649957,0.713333429839544,-0.01052886849093949,2,[0 0 0 0]
16,0,1.4704817017147278,0.713333491814025,-0.010528864849647612,2,[0 0 0 0]
17,0,1.470481689561144,0.7133334917497731,-0.01052886954491184,2,[0 0 0 0]
18,0,1.4704817138644573,0.7133335552689778,-0.010528861400024183,2,[0 0 0 0]
19,0,1.470481701699316,0.7133335010398028,-0.010528867915526638,2,[0 0 0 0]
20,0,1.4704816919972532,0.7133334642191365,-0.010528867820303912,2,[0 0 0 0]
21,0,1.4704816822874802,0.713333438295892,-0.01052886829967872,2,[0 0 0 0]
22,0,1.4704816871288862,0.7133334370898264,-0.010528870982220991,2,[0 0 0 0]
23,0,1.4704816871134676,0.7133334402394097,-0.01052887404810015,2,[0 0 0 0]
24,0,1.4704817065676856,0.7133334525238998,-0.010528864753609583,2,[0 0 0 0]
25,0,1.4704816920011043,0.7133334568794558,-0.010528866574663167,2,[0 0 0 0]
26,0,1.4704817138644573,0.7133334139991814,-0.010528861400024183,2,[0 0 0 0]
27,0,1.470481701699316,0.7133334526799824,-0.010528867915526638,2,[0 0 0 0]
28,0,1.4704817065676856,0.7133334855121771,-0.010528864753609608,2,[0 0 0 0]
29,0,1.4704816992670564,0.7133334587302902,-0.010528869352835809,2,[0 0 0 0]
30,0,1.470481696854065,0.7133334307080278,-0.01052886647862515,2,[0 0 0 0]
31,0,1.470481696854065,0.71333339671229,-0.01052886647862515,2,[0 0 0 0]
32,0,1.4704817089960915,0.7133333853022841,-0.010528864561941185,2,[0 0 0 0]
33,0,1.4704817089883844,0.7133334007123651,-0.01052886609488069,2,[0 0 0 0]
34,0,1.4704817089883835,0.7133333902422035,-0.010528866094880721,2,[0 0 0 0]
35,0,1.4704816822643665,0.7133333759948224,-0.010528873856839342,2,[0 0 0 0]
36,0,1.4704817114206428,0.7133333579868898,-0.01052886465757155,2,[0 0 0 0]
37,0,1.470481679828254,0.7133333602883672,-0.010528875581447317,2,[0 0 0 0]
38,0,1.4704817017147278,0.7133333539002655,-0.010528864849647612,2,[0 0 0 0]
39,0,1.470481701707023,0.7133333576091775,-0.010528866382587121,2,[0 0 0 0]
40,0,1.4704816968463599,0.7133333588343739,-0.010528868011564671,2,[0 0 0 0]
41,0,1.470481701699316,0.713333353977482,-0.010528867915526638,2,[0 0 0 0]
42,0,1.4704817235703729,0.7133333451041827,-0.010528861207948065,2,[0 0 0 0]
43,0,1.470481701707023,0.7133333600189377,-0.010528866382587121,2,[0 0 0 0]
44,0,1.4704817017147278,0.7133333647218116,-0.010528864849647612,2,[0 0 0 0]
45,0,1.4704817017147278,0.7133333885343677,-0.010528864849647612,2,[0 0 0 0]
46,0,1.470481701699316,0.7133333763834099,-0.010528867915526638,2,[0 0 0 0]
47,0,1.4704817017147278,0.7133333797822696,-0.010528864849647612,2,[0 0 0 0]
48,0,1.4704817041354281,0.7133333697910882,-0.010528866190918723,2,[0 0 0 0]
49,0,1.470481699274765,0.7133333695746379,-0.010528867819896273,2,[0 0 0 0]
