step,action,psnr_value,mse_value,ssim_value,rank,action
1,5353,2.9511302490268303,52665218.27508855,-0.015436103240747012,1,[ 1  4 14  9]
2,17146,3.082124216863591,18101073.638591472,0.004673801521240173,2,[ 4  2 15 10]
3,29439,3.0362076808239538,3857455.7935083807,-0.0040614252626720825,3,[ 7  2 15 15]
4,61550,3.1917328273217693,816458.771908422,-0.006123552624347227,4,[15  0  6 14]
5,8160,3.092178972002953,19680405.44363195,0.005456464042826431,5,[ 1 15 14  0]
6,20336,3.077829447170481,1444089.6415210217,-0.003974321233179746,6,[ 4 15  7  0]
7,10465,2.987409653765191,88009.22124763206,-0.014522510563365426,7,[ 2  8 14  1]
8,60172,3.135636655009372,13484.735407796688,-0.01041100028213229,8,[14 11  0 12]
9,24546,3.0279102986538007,42578.858182929456,-0.01669912447745863,9,[ 5 15 14  2]
10,61805,3.0081871546371692,34486.44622046221,-0.010967827162370047,10,[15  1  6 13]
11,32706,3.2912150012321284,13622.29306518659,0.009700070763901891,11,[ 7 15 12  2]
12,6639,3.1881645865414177,5928.326790598221,-0.008101767113386135,12,[ 1  9 14 15]
13,56930,2.8797298130097317,5323.214831799269,-0.003249337452480931,13,[13 14  6  2]
14,26078,3.029929579124712,12333.941170849837,0.004142722966344653,14,[ 6  5 13 14]
15,32400,3.199435396880723,28309.946167610586,0.020233317371579393,15,[ 7 14  9  0]
16,33213,3.2137090465120344,25453.293215926737,0.007749893426099975,16,[ 8  1 11 13]
17,24814,2.938440418052709,26940.164656628855,-0.01666909648056403,17,[ 6  0 14 14]
18,44160,3.1934432728126523,17272.337580039166,0.010623162289577,18,[10 12  8  0]
19,8677,3.1710088060449673,19872.025989766233,0.011777612001029237,19,[ 2  1 14  5]
20,16626,3.0221979464922315,2046.8837259728462,-0.0008756455855526563,20,[ 4  0 15  2]
21,36974,3.1253361345697512,7469.275450400077,0.021059036870084983,21,[ 9  0  6 14]
22,6586,3.1483023270050308,1788.483427401632,0.03262282632470831,22,[ 1  9 11 10]
23,19650,3.1074372092905773,633.324064824963,-0.005060595958212859,23,[ 4 12 12  2]
24,57664,2.882598613348841,126.13979416336224,-0.013740886649486014,24,[14  1  4  0]
25,2806,3.231849878774393,1004.7507470506825,0.0397359744058606,25,[ 0 10 15  6]
26,16601,3.1623681427053136,1240.6574129571673,0.007159621540673167,26,[ 4  0 13  9]
27,7810,2.951796038160772,86.02429391746409,0.0009578431171062083,27,[ 1 14  8  2]
28,25502,3.106879773361805,231.8159892387339,0.002218344043724359,28,[ 6  3  9 14]
29,24732,3.352882779072217,110.28468421922298,0.008950950317853673,29,[ 6  0  9 12]
30,11877,3.0617405960100728,146.65043961448828,0.014483778318068014,30,[ 2 14  6  5]
31,41054,3.0183803534099045,345.84572256938554,-0.0010945104621257447,31,[10  0  5 14]
32,16510,2.9348384499222036,587.4992286029737,-0.0092882871639163,32,[ 4  0  7 14]
33,191,3.0439422772749847,156.44295435196545,0.014031135011764333,33,[ 0  0 11 15]
34,36512,3.1071863768197376,208.625871071883,0.001231984316431056,34,[ 8 14 10  0]
35,36512,3.09407672718733,32.462167049292475,-0.01952996269865108,35,[ 8 14 10  0]
36,36512,3.017055446658279,543.5697576962411,-0.0009395731539855222,35,[ 8 14 10  0]
37,248,3.093975026876546,177.90582191944122,-0.014493918497098447,35,[ 0  0 15  8]
38,48924,3.148268007635952,212.9051301504951,-0.0011751092232269282,36,[11 15  1 12]
39,7614,3.0796475101472405,184.9194168985705,-0.013950645448036814,37,[ 1 13 11 14]
40,62493,3.1352676701553013,255.60498686583014,0.010639314306399245,38,[15  4  1 13]
41,8133,2.811044091709026,196.90447039483115,-0.02437074624576819,39,[ 1 15 12  5]
42,3320,3.093293036535413,188.4762716080295,0.006317993089359959,40,[ 0 12 15  8]
43,51715,2.915733990414271,255.02564854366938,-0.005712043713496902,41,[12 10  0  3]
44,24703,3.0567897730770053,93.9642178043141,0.010047453022881098,42,[ 6  0  7 15]
45,2033,2.998621977044879,33.80678937671473,-0.005867287832046965,43,[ 0  7 15  1]
46,18671,3.095273198640683,90.8233065753011,0.009636190406824988,44,[ 4  8 14 15]
47,28112,3.0354326566190517,84.51207984724897,-0.012636285359349025,45,[ 6 13 13  0]
48,6624,3.218500794078667,59.156121748368605,0.010546122149530856,46,[ 1  9 14  0]
49,45198,3.1054697983107316,21.55153933458496,-0.014106282823693408,47,[11  0  8 14]
50,12021,3.3412320950640666,52.3284084534389,0.007080828007695479,48,[ 2 14 15  5]
51,32643,3.027209758602866,29.600365596008487,-1.2196605260302723e-05,49,[ 7 15  8  3]
52,2975,2.904688696550501,52.53760023940413,-0.024241919896581268,50,[ 0 11  9 15]
53,24701,3.1782419413143415,36.80564843387401,0.015249580067833439,51,[ 6  0  7 13]
54,32722,2.9147919963157336,15.561724371073069,-0.0031662563613262633,52,[ 7 15 13  2]
55,1780,2.826143197842264,26.71249487176101,-0.01454136242420984,53,[ 0  6 15  4]
56,60994,3.1786046096797826,48.1224205440958,0.01859925635197726,54,[14 14  4  2]
57,18149,3.11577227784067,47.54447930199967,-0.014278726283220133,55,[ 4  6 14  5]
58,32400,3.2700970654566968,12.049096636972536,0.024812664507633135,56,[ 7 14  9  0]
59,14791,3.222383665352041,71.52536302840235,0.006517736382360351,56,[ 3  9 12  7]
60,63764,3.2164749126019436,50.825439248805196,0.003351482335225673,57,[15  9  1  4]
61,20113,3.3388566129531174,9.846197718743497,0.012064673354327439,58,[ 4 14  9  1]
62,16217,2.9180362905022856,10.974862094753917,-0.0242041176841995,59,[ 3 15  5  9]
63,20112,3.042675492613088,37.01231974507755,-0.022891526198439677,60,[ 4 14  9  0]
64,29428,3.279128439383894,17.185791891417466,0.02136963319797333,61,[ 7  2 15  4]
65,7666,3.074586735528037,63.78297504390139,-0.0009906456784455802,62,[ 1 13 15  2]
66,15844,3.1132772033377805,29.66587276993232,-0.02822282668564887,63,[ 3 13 14  4]
67,24548,3.0911943968071154,21.883194656660635,-0.02284967885747279,64,[ 5 15 14  4]
68,28545,3.077262701324803,16.436612243825948,-0.015202869039216704,65,[ 6 15  8  1]
69,53785,2.992752671609627,13.812616457278637,-0.022216728556479503,66,[13  2  1  9]
70,8298,3.2127586797323415,19.93339904241293,-0.022224035682377657,67,[ 2  0  6 10]
71,505,3.23362018867594,10.748173237614537,-0.015340919923903004,68,[ 0  1 15  9]
72,3653,3.0886679180911814,21.566406182188075,-0.02494890623246676,69,[ 0 14  4  5]
73,48672,3.3347648234166694,15.218018571653374,-0.00627657392327189,70,[11 14  2  0]
74,5850,3.1707237524958076,10.190844908538566,-0.023182006791763334,71,[ 1  6 13 10]
75,8895,3.120763776123318,13.319654684331908,-0.03564152451260602,72,[ 2  2 11 15]
76,16605,3.158863460965371,9.006912095333973,-0.026201032570266243,73,[ 4  0 13 13]
77,30384,3.172220122178426,11.00452101042174,-0.01240154282882056,74,[ 7  6 11  0]
78,8270,3.172825644428877,11.238275321233232,-0.01204016195787432,75,[ 2  0  4 14]
79,245,3.161924550476493,9.343792883330025,-0.026012348782460386,76,[ 0  0 15  5]
80,16632,3.1635035469722435,10.112776985737582,-0.021785121634080945,77,[ 4  0 15  8]
81,4566,3.072591488297649,8.474652392873395,-0.026529083077504394,78,[ 1  1 13  6]
82,28918,3.107254374989057,8.536377577456733,-0.026328339833917587,79,[ 7  0 15  6]
83,2807,3.077710471266608,11.306574681224447,-0.014981735928246104,80,[ 0 10 15  7]
84,8066,3.0644852306331556,11.178639712459699,-0.006786238016373378,81,[ 1 15  8  2]
85,1231,3.169900370595654,8.001192257238472,-0.029030874457019334,82,[ 0  4 12 15]
86,16336,3.1842073978129806,7.625519590624208,-0.02540046425872688,83,[ 3 15 13  0]
87,36432,3.308934145744293,6.324175027763886,0.024042961474589206,84,[ 8 14  5  0]
88,11968,3.3041685057979953,5.944438966480448,0.018236627675384306,85,[ 2 14 12  0]
89,3053,3.3560412631439114,5.720139216755342,0.021327866604486514,86,[ 0 11 14 13]
90,3265,3.3158552548433313,5.587526157667526,0.0226511841992713,87,[ 0 12 12  1]
91,21215,3.180805795638158,5.475967565931569,0.017501946343000136,88,[ 5  2 13 15]
92,5880,3.1931205204511297,5.3523253413550265,0.015898131387462808,89,[ 1  6 15  8]
93,3185,3.228494803295484,5.411853092929277,0.019852330668660146,90,[ 0 12  7  1]
94,4767,3.146356815120272,5.551151062637473,0.017520514017300193,91,[ 1  2  9 15]
95,5597,3.138539175573796,5.971638380034165,0.019405656175001035,92,[ 1  5 13 13]
96,13532,3.104048924398759,5.153606913544763,0.0027325598588659947,93,[ 3  4 13 12]
97,20726,3.123348986261485,5.00084700136631,0.001847270598477873,94,[ 5  0 15  6]
98,1018,3.101327121264838,5.016403924087172,0.0002179894732138657,95,[ 0  3 15 10]
99,12383,3.1305234051391597,4.984723983279764,0.007803402044661487,96,[ 3  0  5 15]
100,7932,3.193168900578482,5.214429766341027,0.02384155777251882,97,[ 1 14 15 12]
101,32862,3.2855803085265385,8.29530619208822,0.002211291681416115,98,[ 8  0  5 14]
102,12225,3.136027271292157,8.736206782023146,-0.01034568320821719,99,[ 2 15 12  1]
103,28430,3.2242242107041212,8.599811869925361,-0.019025968878778974,100,[ 6 15  0 14]
104,1206,3.500382729978181,7.727328553644156,-0.0008996921195122375,101,[ 0  4 11  6]
105,2513,3.461395054679533,7.8704378297825315,-0.0016301694309663155,102,[ 0  9 13  1]
106,655,3.569380816992397,7.085590923437849,0.04025125028377005,103,[ 0  2  8 15]
107,2032,3.61828254117467,7.042870340079389,0.04563123550636704,104,[ 0  7 15  0]
108,2882,3.2803890261488218,7.465320001572309,0.006214163726401665,105,[ 0 11  4  2]
109,6389,3.3138881624832415,7.406173424404415,0.011088711944853311,106,[ 1  8 15  5]
110,4024,3.515391672439735,7.488746430780793,0.016737101501427303,107,[ 0 15 11  8]
111,1648,3.4916190289863436,7.554842501783298,0.012015393810023731,108,[0 6 7 0]
112,43456,3.4702964466493453,7.503733497791245,0.011056117107206043,109,[10  9 12  0]
113,1525,3.456053119563936,7.3814500530809255,0.011981253053322049,110,[ 0  5 15  5]
114,6374,3.411385145802339,7.4038956222543675,0.0010636642478560991,111,[ 1  8 14  6]
115,3797,3.4605342612272976,7.4146202225049365,0.006510481868844453,112,[ 0 14 13  5]
116,16459,3.4123367601058567,7.502946306935428,0.003494059133475041,113,[ 4  0  4 11]
117,11889,3.418410520213441,7.509525159154293,0.004231307351528584,114,[ 2 14  7  1]
118,11888,3.502597748725971,7.5313814226344675,0.01793122671734955,115,[ 2 14  7  0]
119,13045,3.501038936288377,7.538642275124005,0.017892824904854027,116,[ 3  2 15  5]
120,5029,3.4331486315541184,7.783767570266946,0.02036307612466011,117,[ 1  3 10  5]
121,2385,3.431533287299096,7.764773842458453,0.020526839996602264,118,[0 9 5 1]
122,12097,3.48805804499149,7.45826814955808,0.024853712623062265,119,[ 2 15  4  1]
123,1728,3.384243507760576,7.898398407242894,0.001143244307902639,120,[ 0  6 12  0]
124,4462,3.436054390586507,7.82414711244752,0.0032832455094934723,121,[ 1  1  6 14]
125,11568,3.4809202104597867,7.651860304625075,0.002799034737149972,122,[ 2 13  3  0]
126,8000,3.3390845527505735,7.304894971548947,0.010896998300408101,123,[ 1 15  4  0]
127,16703,3.3733179583744195,7.3454399704349385,0.016139873099187116,124,[ 4  1  3 15]
128,16671,3.4174153314791917,7.381967164626204,0.009043574072381318,125,[ 4  1  1 15]
129,12351,3.416550602895361,7.170499791342422,0.008799450820823895,126,[ 3  0  3 15]
130,2913,3.4210285284834,7.1673812106593005,0.008014878252737083,127,[ 0 11  6  1]
131,3545,3.368109648738371,6.741243959564201,0.02022950598018829,128,[ 0 13 13  9]
132,20450,3.305670501958283,6.59322419387172,0.016877512264277708,129,[ 4 15 14  2]
133,6371,3.3009892324093517,6.610377946244171,0.018248508352845697,130,[ 1  8 14  3]
134,3838,3.3412682628684953,6.349181350486106,0.030243621395745872,131,[ 0 14 15 14]
135,4062,3.399184706066652,6.379226128211712,0.02307088967896359,132,[ 0 15 13 14]
136,4671,3.37766463201836,6.825153241892281,0.02418914805199896,133,[ 1  2  3 15]
137,8435,3.3780306025146736,6.824060829133714,0.024216621071734223,134,[ 2  0 15  3]
