step,action,psnr_value,mse_value,ssim_value,rank,action
1,28625,3.170823388228316,16546.0731310133,-0.0027915012746652316,1,[ 6 15 13  1]
2,56120,3.2097059803766674,6116.379320981388,-0.0031648004652954356,2,[13 11  3  8]
3,25855,3.2772613480925905,2509.45607618551,0.006467670994799543,3,[ 6  4 15 15]
4,60721,3.242307530252762,3359.658268246072,0.011427077023643657,4,[14 13  3  1]
5,12431,3.2242759983597074,349.87083249907664,-0.011735061439862833,5,[ 3  0  8 15]
6,20432,3.2884676580608083,359.12012119388237,-0.006108545227786227,6,[ 4 15 13  0]
7,9118,3.501451528555429,76.08729951866917,-0.004868162062645172,7,[ 2  3  9 14]
8,58662,3.451837002530204,420.4676121249913,-0.005616505586331009,8,[14  5  2  6]
9,6617,3.2201840361972027,20.075813123465196,-0.005555306386561475,9,[ 1  9 13  9]
10,20080,3.5528424323753645,5.348481327172522,0.0014450973985580709,10,[ 4 14  7  0]
11,29131,3.4320144657615987,5.257109347494406,0.0028610592158359646,11,[ 7  1 12 11]
12,8064,3.549466465463786,5.204842444426504,0.009911661528935745,12,[ 1 15  8  0]
13,13804,3.403812857525008,15.414701137651946,0.015354898338747779,13,[ 3  5 14 12]
14,13557,3.444540260769161,3.6875110815244625,-0.011220665537691264,14,[ 3  4 15  5]
15,28642,3.385290459943628,3.8747113200633976,-0.012036949527329522,15,[ 6 15 14  2]
16,509,3.345792750791021,3.7141238483818597,0.010604561635648591,16,[ 0  1 15 13]
17,55582,3.4784207341825284,2.7782682055267287,0.015943852579208957,17,[13  9  1 14]
18,63025,3.5510126283520718,1.6306190647028416,-0.006600624514146577,18,[15  6  3  1]
19,6363,3.578270036796,1.6577866534262284,0.004485752886965451,19,[ 1  8 13 11]
20,18170,3.4637944938411436,2.529040289680779,-0.0024534904831138163,20,[ 4  6 15 10]
21,59694,3.4795958662018567,1.828299032022187,0.018030422554352908,21,[14  9  2 14]
22,51757,3.3539286822947743,2.8109043191134333,-0.0029906619038756336,22,[12 10  2 13]
23,28906,3.5111884388913444,1.6998432701766433,0.0031222515889794454,23,[ 7  0 14 10]
24,28906,3.4906884279989416,1.9867883339520631,-0.002906633451777077,24,[ 7  0 14 10]
25,12176,3.5429624033405305,1.938714493814814,9.644633193494831e-05,24,[ 2 15  9  0]
26,59405,3.4675988064920786,4.173951400405713,-0.005878701457891895,25,[14  8  0 13]
27,11688,3.535675859709357,3.654851878483214,0.012342550655386914,26,[ 2 13 10  8]
28,51727,3.5156520668714397,3.5648538154555354,0.002956988033001276,27,[12 10  0 15]
29,7626,3.5569595173365953,3.4992765169117774,-0.0015860199962917897,28,[ 1 13 12 10]
