step,action,psnr_value,mse_value,ssim_value,rank,action
1,16573,5.381216480171624,0.2899685415617773,0.061271934046688105,1,[ 4  0 11 13]
2,3547,5.1883317885554145,0.30315126154292615,0.08846061981957672,2,[ 0 13 13 11]
3,44977,5.796116681582455,0.26364396969462334,0.06533971258716753,3,[10 15 11  1]
4,16542,5.881210305202299,0.25864393990010015,0.06295602600937102,4,[ 4  0  9 14]
5,4302,6.780369018888202,0.2101272899159632,0.09637361506153383,5,[ 1  0 12 14]
6,45166,6.858693717645579,0.20637698886885758,0.11622641775890906,6,[11  0  6 14]
7,3834,7.705420658510903,0.16998167145845855,0.20665019673634724,7,[ 0 14 15 10]
8,3579,7.59134775918222,0.1746125418464466,0.19535743680804393,8,[ 0 13 15 11]
9,6374,7.958700876544107,0.16352455262889976,0.26386736285441326,9,[ 1  8 14  6]
10,30399,7.341471686223279,0.18868556836116568,0.2558850043526065,10,[ 7  6 11 15]
11,31986,7.861664034497614,0.16745371260931563,0.22979728634993213,11,[ 7 12 15  2]
12,8417,7.893081114678001,0.16626663716192525,0.23380860745934484,12,[ 2  0 14  1]
13,12959,9.068009004150264,0.13439712691950945,0.2547686994417605,13,[ 3  2  9 15]
14,7924,9.161441782973734,0.1317050584692545,0.2715656180293827,14,[ 1 14 15  4]
15,7824,9.238467573231112,0.12921366237813459,0.2530719294153596,15,[ 1 14  9  0]
16,12381,9.112816367493208,0.13152132790534665,0.25170845975726297,16,[ 3  0  5 13]
17,41343,8.986830756857158,0.13497867996840185,0.24850654692311114,17,[10  1  7 15]
18,2994,8.94219035438022,0.13677468087310274,0.24411452934561562,18,[ 0 11 11  2]
19,93,9.742887240324427,0.12071837153393972,0.26672326556380554,19,[ 0  0  5 13]
20,12447,10.767070708991637,0.09857361172760193,0.32115933144823783,20,[ 3  0  9 15]
21,4595,10.976731360891925,0.09223717014651811,0.3483016284471433,21,[ 1  1 15  3]
22,9327,11.108849246669358,0.08720610545904606,0.3493699924433569,22,[ 2  4  6 15]
23,1199,11.378344602624622,0.08811628069972244,0.40032711596155923,23,[ 0  4 10 15]
24,48897,11.646490677615029,0.08349660887220978,0.4230150846716448,24,[11 15  0  1]
