step,action,psnr_value,mse_value,ssim_value,rank,action
1,57406,3.867051010985534,0.41063746953373453,0.14547870305257127,1,[14  0  3 14]
2,1022,4.588790463857868,0.3479225953148904,0.06750389619120158,2,[ 0  3 15 14]
3,9459,5.986888360952984,0.2527102138771646,0.12431499727427302,3,[ 2  4 15  3]
4,1489,7.5127578841821085,0.17888823768890594,0.16215527961151482,4,[ 0  5 13  1]
5,12532,7.528818295217988,0.178148837155994,0.16238409807252532,5,[ 3  0 15  4]
6,63258,7.667307295672052,0.1720647516804255,0.16788043223770896,6,[15  7  1 10]
7,16797,8.00774728543285,0.1588287113153249,0.17197940978208603,7,[ 4  1  9 13]
8,2805,8.304688208594639,0.1491582270062053,0.21741614515324503,8,[ 0 10 15  5]
9,12208,8.379922533326635,0.14706887130252722,0.2176001294627653,9,[ 2 15 11  0]
10,40225,8.421931920239874,0.14558102276681262,0.22617779201256408,10,[ 9 13  2  1]
11,21295,8.475491734345637,0.14366288575963138,0.2289697961403772,11,[ 5  3  2 15]
12,41151,8.683334329571386,0.13787488617589916,0.24752009128761496,12,[10  0 11 15]
13,20959,9.792304461008738,0.10713610639113735,0.3112316683257114,13,[ 5  1 13 15]
14,6591,10.044471258210017,0.10163641577861626,0.3339916340237453,14,[ 1  9 11 15]
15,747,10.059301823694893,0.10123746968606806,0.3279627108764996,15,[ 0  2 14 11]
16,12735,10.101598618434402,0.10067910881742503,0.3241477236146667,16,[ 3  1 11 15]
17,10733,10.119603991671669,0.10039000324904457,0.3262687439616549,17,[ 2  9 14 13]
18,205,10.12844645017325,0.1001736308587633,0.32587853474366335,18,[ 0  0 12 13]
19,16575,10.283005681145967,0.09656749298951439,0.3357348378377034,19,[ 4  0 11 15]
20,16126,10.282970174369455,0.09656738793316144,0.33572793056841044,20,[ 3 14 15 14]
21,36560,10.37941210511075,0.09413451505267734,0.3308311041538359,21,[ 8 14 13  0]
22,64274,10.427046876757828,0.09314399936687057,0.3339790157163762,22,[15 11  1  2]
23,736,10.710300689978997,0.08826105458452549,0.3386586423623358,23,[ 0  2 14  0]
24,16371,11.170862384306353,0.08055753646964892,0.34246471922940214,24,[ 3 15 15  3]
25,3321,11.236471685082666,0.07953365734120332,0.34362890838180493,25,[ 0 12 15  9]
26,33245,11.233114531790944,0.07986991073819638,0.34596813886314043,26,[ 8  1 13 13]
27,12256,11.320396436046163,0.07890114823887107,0.36314743419442086,27,[ 2 15 14  0]
28,207,11.348270586678249,0.0782416812419966,0.36490297656077497,28,[ 0  0 12 15]
29,1278,11.556556701255216,0.07412832432713407,0.38300702349969185,29,[ 0  4 15 14]
30,4083,11.683039836676116,0.07201047057436227,0.38122243870333217,30,[ 0 15 15  3]
31,11984,11.692605961776877,0.07181058688948028,0.3812312582783661,31,[ 2 14 13  0]
32,12242,11.736908037531961,0.07097204930326839,0.38583453614599683,32,[ 2 15 13  2]
33,19170,11.77492136461475,0.07027946772184102,0.38555565116370283,33,[ 4 10 14  2]
34,2042,11.87926683029045,0.06891682321161685,0.40383121459990956,34,[ 0  7 15 10]
35,1487,11.88486435406478,0.06882738902771735,0.4003392727222093,35,[ 0  5 12 15]
36,6137,11.834900631162215,0.06959779901544039,0.40210412955169506,36,[ 1  7 15  9]
37,20619,11.835332369386357,0.06958748185361863,0.4021211976127141,37,[ 5  0  8 11]
38,31920,11.89528424195866,0.06867575669634451,0.40147503170482307,38,[ 7 12 11  0]
39,32927,11.881851767374446,0.06915900294717758,0.3991314886972779,39,[ 8  0  9 15]
40,8032,12.143320014592637,0.06459586656520955,0.4211378268793775,40,[ 1 15  6  0]
41,61977,12.133248068238416,0.06471516179712111,0.4208045447621968,41,[15  2  1  9]
42,29613,12.154681144024506,0.06435831500702438,0.4305890397533431,42,[ 7  3 10 13]
43,62264,12.175698107393814,0.06397041510395507,0.4300231495502429,43,[15  3  3  8]
44,23425,12.186905438365748,0.06379973669599615,0.4191234976657032,44,[ 5 11  8  1]
45,56861,12.18281568378578,0.06383814952056888,0.4186380438226941,45,[13 14  1 13]
46,7928,12.19365821578473,0.06404600536238725,0.4184967632331351,46,[ 1 14 15  8]
47,11246,12.207850853882826,0.06370386763117963,0.4195807823939902,47,[ 2 11 14 14]
48,3184,12.36968697452459,0.061335522481447136,0.42257960462369404,48,[ 0 12  7  0]
49,7399,12.368987434784579,0.06133135412892177,0.42152911833109624,49,[ 1 12 14  7]
50,4090,12.388723152951602,0.060987087990313604,0.4197342950332597,50,[ 0 15 15 10]
51,11696,12.502122505730206,0.059262510240722044,0.41948217781600566,51,[ 2 13 11  0]
52,20340,12.491428302322058,0.05920509028007004,0.42776465858931556,52,[ 4 15  7  4]
53,28577,12.772092846050251,0.055657207945661646,0.44478460378118806,53,[ 6 15 10  1]
54,3564,12.72474219597746,0.0563269237321915,0.44021373784735507,54,[ 0 13 14 12]
55,26875,12.74776290680631,0.05597932873837852,0.4421506086080293,55,[ 6  8 15 11]
56,17311,12.927572779802203,0.0538584174238359,0.441033083527961,56,[ 4  3  9 15]
57,4594,12.92187687349447,0.053909583580313836,0.44106967058097507,57,[ 1  1 15  2]
58,32672,12.919894043359854,0.053939498222934645,0.43914094665578374,58,[ 7 15 10  0]
59,63549,12.914380719162716,0.054036739857378,0.4407423684798498,59,[15  8  3 13]
60,485,12.959672675403288,0.05349909067546932,0.44207307855196726,60,[ 0  1 14  5]
61,20352,12.99498336185897,0.05368097593612209,0.46710157312719097,61,[ 4 15  8  0]
62,3890,13.01439056229112,0.053468357023682245,0.46192893131166257,62,[ 0 15  3  2]
63,3474,12.977053903585938,0.05377952624824189,0.4640145165821436,63,[ 0 13  9  2]
64,8097,12.977763225251381,0.05383616895575827,0.46307382594222907,64,[ 1 15 10  1]
65,58158,12.979362213361561,0.05382884631389118,0.46317325858432096,65,[14  3  2 14]
66,3985,12.981095466048023,0.0538142850672223,0.4634187202815198,66,[ 0 15  9  1]
67,504,12.974780926778386,0.05385565232454681,0.46059891314424,67,[ 0  1 15  8]
68,761,12.952791609469436,0.05404406287232533,0.46103192853513947,68,[ 0  2 15  9]
69,28627,12.95858548238466,0.05394053674332344,0.46182633784293503,69,[ 6 15 13  3]
70,1984,12.95828578086776,0.053943005954625534,0.4619054427747705,70,[ 0  7 12  0]
71,4333,12.968872078627708,0.053748431619393244,0.4651700663229772,71,[ 1  0 14 13]
72,24975,13.011585241140013,0.05328760410815647,0.4672704041633833,72,[ 6  1  8 15]
73,16020,13.009691607818379,0.05329679714576585,0.46524879176826944,73,[ 3 14  9  4]
74,7298,13.009194123289769,0.05330413027616743,0.4650769944327594,74,[ 1 12  8  2]
75,2985,13.00604163854063,0.05326930650430839,0.46897153485643006,75,[ 0 11 10  9]
76,6643,13.07398592185888,0.05262728157242691,0.4726938010456412,76,[ 1  9 15  3]
77,4849,13.178443097494474,0.05161346498520558,0.47784955226329834,77,[ 1  2 15  1]
78,863,13.313414793673097,0.04994748168331853,0.47407302347890456,78,[ 0  3  5 15]
79,832,13.45795267288099,0.0484743066242288,0.4762126344832001,79,[0 3 4 0]
80,3052,13.537442726009505,0.047687564358970924,0.4756623210486729,80,[ 0 11 14 12]
81,18925,13.544512779148743,0.04754800560442618,0.4748565023325068,81,[ 4  9 14 13]
82,6736,13.59502742238956,0.04695498648225538,0.47484785256592077,82,[ 1 10  5  0]
83,55355,13.612589044685562,0.04673472758229735,0.470752376282637,83,[13  8  3 11]
84,15871,13.68444452449742,0.04616232453048852,0.47374432613337003,84,[ 3 13 15 15]
85,8048,13.72610502657855,0.0458233001837165,0.4740842121519147,85,[ 1 15  7  0]
86,10484,13.73798829628311,0.04570328189366535,0.4776376158633776,86,[ 2  8 15  4]
87,9715,13.759374986622674,0.04550972398242337,0.47770008044424594,87,[ 2  5 15  3]
88,95,13.75784719797952,0.0455184500081387,0.4775334917509013,88,[ 0  0  5 15]
89,1517,13.75721519783615,0.04552079119821073,0.47780154101649164,89,[ 0  5 14 13]
90,7728,13.806054949572165,0.045188461501219024,0.4781769997172368,90,[ 1 14  3  0]
91,5882,13.798049946827076,0.0452485712828512,0.479897279312906,91,[ 1  6 15 10]
