step,action,psnr_value,mse_value,ssim_value,rank,action
1,24496,6.07974290339317,0.24681249859757215,0.296100429422634,1,[ 5 15 11  0]
2,15568,6.225607104024076,0.23867132014135486,0.17880210079704612,2,[ 3 12 13  0]
3,20734,6.233861616213718,0.2382176147798613,0.18016846191211805,3,[ 5  0 15 14]
4,51211,6.454009958024721,0.22645622301174562,0.10559203983060456,4,[12  8  0 11]
5,6389,6.494350503922744,0.22436500061941994,0.10370736485820956,5,[ 1  8 15  5]
6,9921,6.572832194144361,0.22035231284237256,0.12071466185977123,6,[ 2  6 12  1]
7,37086,6.7135897328899,0.21332474312072663,0.12017408126591651,7,[ 9  0 13 14]
8,9978,6.773908935171336,0.21038467957681423,0.10748327133715732,8,[ 2  6 15 10]
9,12270,6.872336878289182,0.2056778464749794,0.11467016085819406,9,[ 2 15 14 14]
10,63001,6.903128302349918,0.20422510512578948,0.12210168979871212,10,[15  6  1  9]
11,214,6.906415733397019,0.20407299724127215,0.12445422923860863,11,[ 0  0 13  6]
12,213,6.971413742958871,0.2010479464159612,0.10666763712110582,12,[ 0  0 13  5]
13,65081,7.027465345126905,0.19847724768920205,0.10026762079706522,13,[15 14  3  9]
14,3070,7.52073184424342,0.17744761773560114,0.18444525930164424,14,[ 0 11 15 14]
15,50949,7.530152123859459,0.1770119606676766,0.18584122547646242,15,[12  7  0  5]
16,16336,7.5592613147049335,0.17583675528921577,0.18361487442274155,16,[ 3 15 13  0]
17,2548,7.617499274455791,0.1735129415662584,0.18486630898405199,17,[ 0  9 15  4]
18,5808,7.618710144871216,0.1734687400214714,0.18224113861002544,18,[ 1  6 11  0]
19,5613,8.277457585200661,0.14917923376674302,0.20094476182932933,19,[ 1  5 14 13]
20,1998,8.334338960429651,0.14710385176031515,0.189768455818698,20,[ 0  7 12 14]
21,655,8.45850283986512,0.1431737954462371,0.19966509787872122,21,[ 0  2  8 15]
22,5006,8.456031273113165,0.14325320123687174,0.19967359588310252,22,[ 1  3  8 14]
23,12509,8.620114902453292,0.13789149715121823,0.20796578194955959,23,[ 3  0 13 13]
24,8319,8.646722287379095,0.13707602134837882,0.21426751538446104,24,[ 2  0  7 15]
25,8444,8.59787419090959,0.13862468451671628,0.2148879841769958,25,[ 2  0 15 12]
26,3921,8.600454470685241,0.13853015066987862,0.21256061697518555,26,[ 0 15  5  1]
27,4596,9.525946428736255,0.11200163066946178,0.28356311089983055,27,[ 1  1 15  4]
28,36833,9.532329123163063,0.11183849514050426,0.2832308170893526,28,[ 8 15 14  1]
29,24240,9.623710074060202,0.10960288721582945,0.2934727999400575,29,[ 5 14 11  0]
30,3290,9.629236990879164,0.10946019802875462,0.2947189799638612,30,[ 0 12 13 10]
31,8675,9.625700341504466,0.10956100450963291,0.29625636927975507,31,[ 2  1 14  3]
32,3582,10.387592300724526,0.09232496181908889,0.2995972871012197,32,[ 0 13 15 14]
33,49922,10.387166850119979,0.09233561848739691,0.2997411321635082,33,[12  3  0  2]
34,3321,10.31129813129631,0.09395607706497544,0.2998602533059065,34,[ 0 12 15  9]
35,8144,10.36595081085016,0.09277934565112411,0.3001489806955976,35,[ 1 15 13  0]
36,3314,10.432703517122793,0.09138568889637444,0.2997188958691195,36,[ 0 12 15  2]
37,1273,10.565404780775193,0.08851650735174132,0.3010260140512252,37,[ 0  4 15  9]
38,44658,10.565200031129887,0.08851985642470162,0.30096379024318315,38,[10 14  7  2]
39,65445,10.656784291866154,0.08676187510202116,0.30451364614591514,39,[15 15 10  5]
40,2302,10.721132405823353,0.08548570094796393,0.3072373621088954,40,[ 0  8 15 14]
41,987,10.864314883465955,0.08270385934592639,0.31580593919209643,41,[ 0  3 13 11]
42,1495,10.972807512888638,0.08071876565967351,0.31459156949626005,42,[ 0  5 13  7]
43,2545,11.014267233145866,0.07995468418033269,0.3151069394219857,43,[ 0  9 15  1]
44,997,11.007114740263475,0.08010278788524516,0.3149318610575993,44,[ 0  3 14  5]
45,40384,11.056496923180239,0.07917301812177246,0.31043635814627885,45,[ 9 13 12  0]
46,2295,11.056748118969267,0.07916826916726016,0.31045914307017475,46,[ 0  8 15  7]
47,2549,11.06923358436518,0.07890058597443605,0.3097016405883823,47,[ 0  9 15  5]
48,12782,11.105459888142777,0.07823338838026661,0.31093957666341454,48,[ 3  1 14 14]
49,3811,11.14373498256832,0.07761764858031572,0.3127706222595448,49,[ 0 14 14  3]
50,1279,11.229004341706332,0.07618478730755385,0.31358241813521925,50,[ 0  4 15 15]
51,3829,11.244965703938544,0.07591731776725386,0.31640816653425174,51,[ 0 14 15  5]
52,255,11.257027856926484,0.07565013556594025,0.31691280590397614,52,[ 0  0 15 15]
53,7935,11.435300869036404,0.07260279710710993,0.3179769267198048,53,[ 1 14 15 15]
54,1950,11.47067899632821,0.07199914974589205,0.3107601036916745,54,[ 0  7  9 14]
55,9465,11.44769297058501,0.07239592338652301,0.3094149316298812,55,[ 2  4 15  9]
56,11236,11.484306906217114,0.07178964611695182,0.31173583118105624,56,[ 2 11 14  4]
57,3908,11.48825676328039,0.07173242314856498,0.3116133176675128,57,[ 0 15  4  4]
58,57600,11.829799346340707,0.06631995104280031,0.33393704109622013,58,[14  1  0  0]
59,17887,12.961057720744204,0.05167793199844817,0.37529094072616187,59,[ 4  5 13 15]
60,20863,13.523580584921369,0.04570957886661553,0.40141165724253236,60,[ 5  1  7 15]
61,8701,13.724866688653425,0.043846477058495426,0.4150168721013387,61,[ 2  1 15 13]
62,12302,13.732518435162637,0.04371632493306965,0.4207594392518187,62,[ 3  0  0 14]
63,62808,14.018269411190163,0.041422236877664886,0.42726892840618935,63,[15  5  5  8]
64,61258,14.06571290307519,0.04104377218660815,0.4319465071513655,64,[14 15  4 10]
65,4598,14.205462418660051,0.03990523785027378,0.4347959281060062,65,[ 1  1 15  6]
66,24226,14.231905873946772,0.03963051758751668,0.4366586992782129,66,[ 5 14 10  2]
67,4561,14.234697329436909,0.03962219195460026,0.4370620742528727,67,[ 1  1 13  1]
68,8672,14.203201501869254,0.03987896572952465,0.43424643854554984,68,[ 2  1 14  0]
69,32496,14.411033060288247,0.038263197069422716,0.44212549064473095,69,[ 7 14 15  0]
70,1167,14.492098450155243,0.03771495506643796,0.44245338974730064,70,[ 0  4  8 15]
71,3832,14.492762594694407,0.037709048795825595,0.4424356172016326,71,[ 0 14 15  8]
72,7935,14.48070334408575,0.03784680162530751,0.4393313800961107,72,[ 1 14 15 15]
73,4073,14.479899348239652,0.03785340412964189,0.43927564702133864,72,[ 0 15 14  9]
74,1786,14.562790556445506,0.03711342514780114,0.44605504062573514,73,[ 0  6 15 10]
75,20911,14.572631870966198,0.03702330656312558,0.44483624617994766,74,[ 5  1 10 15]
76,4066,14.570452112747546,0.03704212450606992,0.4447585435240252,75,[ 0 15 14  2]
77,62303,14.649881741167103,0.036341416788801206,0.4413325566492522,76,[15  3  5 15]
78,3936,14.690715551659569,0.036060278298415405,0.44236169223603256,77,[ 0 15  6  0]
79,6855,14.687556586929526,0.03609265641683379,0.44090747170519173,78,[ 1 10 12  7]
80,11968,14.687796202025417,0.03608174670659636,0.4407300163354941,79,[ 2 14 12  0]
81,16607,14.721919416728488,0.03580088817509708,0.4475816251683657,80,[ 4  0 13 15]
82,227,14.73260253511179,0.03572662507873048,0.455623740499871,81,[ 0  0 14  3]
83,2004,14.817401484656664,0.035115244607638374,0.45051530612971513,82,[ 0  7 13  4]
84,17400,14.84766198190465,0.034881964731084736,0.45793387466220614,83,[ 4  3 15  8]
85,28718,14.896049170029318,0.03456632822929251,0.4625504504336784,84,[ 7  0  2 14]
86,4852,14.891472704863125,0.03460664659226609,0.46212639938664185,85,[ 1  2 15  4]
87,6817,15.159552890664703,0.03248056380849107,0.44532914646624144,86,[ 1 10 10  1]
88,994,15.163755867637107,0.03243760364367887,0.4447875684901404,87,[ 0  3 14  2]
89,24272,15.818656391549972,0.02832352983812214,0.46686520930302455,88,[ 5 14 13  0]
90,351,15.948118449603701,0.027520816328980402,0.4739295022291917,89,[ 0  1  5 15]
91,12671,16.929666162124914,0.022394234951132574,0.5320392348007771,90,[ 3  1  7 15]
92,59915,17.32950083775898,0.021230764108487676,0.5435741928235462,91,[14 10  0 11]
93,4852,17.327265034746773,0.021243317728721678,0.5433263366072477,92,[ 1  2 15  4]
94,7410,17.336054148034346,0.021216571001023254,0.5430936892567246,92,[ 1 12 15  2]
95,10217,17.32877519582139,0.02120479667575026,0.5314311282179385,93,[ 2  7 14  9]
96,4032,17.37517775116592,0.02102609314316428,0.52805333673848,94,[ 0 15 12  0]
97,3292,17.376575103752266,0.020995839739558875,0.528087343135488,95,[ 0 12 13 12]
98,4073,17.37593817839804,0.020993396830352395,0.5273340606203663,96,[ 0 15 14  9]
99,61815,17.376160856001682,0.02099207689732907,0.5273290237344415,96,[15  1  7  7]
100,15096,17.373432448638617,0.020996895729604503,0.5274988740491889,97,[ 3 10 15  8]
101,53273,17.37546128414477,0.02098845463847443,0.5278162391641606,98,[13  0  1  9]
102,7412,17.37220884520528,0.020994284155265497,0.5285055447218276,99,[ 1 12 15  4]
