step,action,psnr_value,mse_value,ssim_value,rank,action
1,0,5.540873767296085,0.2794165617591493,0.41114810894237563,1,[0 0 0 0]
2,0,5.540873249186258,0.2794166046143326,0.4111233060098391,2,[0 0 0 0]
3,0,5.540873767296085,0.279416563957239,0.41114810894237563,2,[0 0 0 0]
4,0,5.540873767296085,0.27941657324611835,0.41114810894237563,2,[0 0 0 0]
5,0,5.540873767296085,0.27941659150572706,0.41114810894237563,2,[0 0 0 0]
6,0,5.540873767296085,0.27941657297572514,0.41114810894237563,2,[0 0 0 0]
7,0,5.540873645162704,0.279416574555176,0.41114068751409877,2,[0 0 0 0]
8,0,5.540873721017443,0.27941656800880155,0.4111444826132357,2,[0 0 0 0]
9,0,5.540873656884698,0.2794165735878939,0.4111412480527004,2,[0 0 0 0]
10,0,5.540873489641562,0.2794165867588396,0.4111336220149674,2,[0 0 0 0]
11,0,5.540872636908393,0.27941664824438917,0.41109820675486763,2,[0 0 0 0]
12,0,5.540872850429681,0.27941663320426857,0.4111068416892775,2,[0 0 0 0]
13,0,5.540873286571224,0.2794166018821297,0.41112488287284255,2,[0 0 0 0]
14,0,5.540873140631868,0.27941661248573735,0.41111876648139556,2,[0 0 0 0]
15,0,5.54087363528674,0.27941657536228304,0.4111402198544329,2,[0 0 0 0]
16,0,5.54087351018099,0.27941658519151524,0.41113452876642037,2,[0 0 0 0]
17,0,5.540873665746435,0.27941657284899113,0.4111416762974232,2,[0 0 0 0]
18,0,5.540873742511047,0.279416565909975,0.41114570009295154,2,[0 0 0 0]
19,0,5.540873748990282,0.2794165652183411,0.4111461013717603,2,[0 0 0 0]
20,0,5.540873754376332,0.27941656460319797,0.41114645830404195,2,[0 0 0 0]
21,0,5.540873576808501,0.2794165800304965,0.4111375160009653,2,[0 0 0 0]
22,0,5.540873619353079,0.27941657665139097,0.41113947301907255,2,[0 0 0 0]
23,0,5.5408735742942925,0.27941658022780946,0.4111374017542818,2,[0 0 0 0]
24,0,5.540873650582423,0.2794165741092851,0.41114094589755346,2,[0 0 0 0]
25,0,5.540873725146028,0.2794165676213324,0.41114470734779796,2,[0 0 0 0]
26,0,5.540873718775016,0.27941656821697447,0.41114436187650666,2,[0 0 0 0]
27,0,5.540873741492664,0.2794165660152395,0.4111456390230803,2,[0 0 0 0]
28,0,5.540873767296085,0.27941656193767106,0.411148005312002,2,[0 0 0 0]
29,0,5.540873764719956,0.27941656315633123,0.41114729795913624,2,[0 0 0 0]
30,0,5.540873758278227,0.2794165641198993,0.41114673875608254,2,[0 0 0 0]
31,0,5.540873736361373,0.27941656653463737,0.4111453377034354,2,[0 0 0 0]
32,0,5.540873683719674,0.2794165713259738,0.4111425591292996,2,[0 0 0 0]
33,0,5.54087368622036,0.2794165711110471,0.4111426837290269,2,[0 0 0 0]
34,0,5.540873696315928,0.2794165702343656,0.4111431920072002,2,[0 0 0 0]
35,0,5.54087374485456,0.27941656566451206,0.41114584250373254,2,[0 0 0 0]
36,0,5.5408737458517905,0.2794165655585626,0.4111459039737111,2,[0 0 0 0]
37,0,5.540873730570215,0.2794165671027843,0.41114500812839205,2,[0 0 0 0]
38,0,5.540873746353441,0.27941656550489835,0.411145935109542,2,[0 0 0 0]
39,0,5.540873755471907,0.27941656447154034,0.41114653470141604,2,[0 0 0 0]
40,0,5.540873767296085,0.2794165620574548,0.41114793577997955,2,[0 0 0 0]
41,0,5.540873766836885,0.27941656265573983,0.4111475885052517,2,[0 0 0 0]
42,0,5.540873767296085,0.27941656214139354,0.4111478870559842,2,[0 0 0 0]
43,0,5.540873767296085,0.27941656215897387,0.41114787685114984,2,[0 0 0 0]
44,0,5.5408737643449255,0.2794165632247998,0.41114725822123743,2,[0 0 0 0]
45,0,5.540873759131539,0.27941656400781245,0.4111468038014736,2,[0 0 0 0]
46,0,5.540873765472593,0.279416563007853,0.4111473841347131,2,[0 0 0 0]
47,0,5.540873759181536,0.2794165640011543,0.4111468076652315,2,[0 0 0 0]
48,0,5.5408737612899905,0.2794165637092284,0.4111469770781855,2,[0 0 0 0]
49,0,5.540873761792291,0.279416563635779,0.41114701970419,2,[0 0 0 0]
50,0,5.5408737561354044,0.2794165643904192,0.4111465817746798,2,[0 0 0 0]
51,0,5.540873743932585,0.2794165657616451,0.4111457861489828,2,[0 0 0 0]
52,0,5.540873728428264,0.2794165673089602,0.41114488853479075,2,[0 0 0 0]
53,0,5.540873719686957,0.2794165681324979,0.4111444108710969,2,[0 0 0 0]
54,0,5.540873722653291,0.2794165678559556,0.41114457126362114,2,[0 0 0 0]
55,0,5.5408737517310005,0.2794165649111599,0.41114627960761224,2,[0 0 0 0]
56,0,5.5408737596207125,0.2794165639422018,0.4111468418766361,2,[0 0 0 0]
57,0,5.540873759021155,0.27941656402247544,0.411146795292388,2,[0 0 0 0]
58,0,5.540873739669092,0.27941656620181676,0.41114553078088534,2,[0 0 0 0]
59,0,5.540873739217668,0.2794165662476473,0.41114550419286555,2,[0 0 0 0]
60,0,5.540873725638004,0.2794165675747695,0.41114473435577015,2,[0 0 0 0]
61,0,5.540873752429536,0.27941656483105815,0.4111463260862937,2,[0 0 0 0]
62,0,5.54087373799743,0.27941656637086765,0.4111454327095153,2,[0 0 0 0]
63,0,5.540873749300341,0.27941656518410585,0.4111461212357676,2,[0 0 0 0]
64,0,5.540873734303186,0.2794165667385051,0.4111452194394519,2,[0 0 0 0]
65,0,5.540873743179995,0.27941656584038344,0.41114574046759333,2,[0 0 0 0]
66,0,5.540873756003968,0.27941656440657775,0.411146572397921,2,[0 0 0 0]
67,0,5.540873758910445,0.27941656403713083,0.41114678678763344,2,[0 0 0 0]
68,0,5.540873752749179,0.2794165647941288,0.4111463475145335,2,[0 0 0 0]
69,0,5.540873737032664,0.279416566467633,0.41114537657367384,2,[0 0 0 0]
70,0,5.54087373813526,0.27941656635699663,0.41114544075635817,2,[0 0 0 0]
71,0,5.540873714939851,0.2794165685696707,0.4111441573272035,2,[0 0 0 0]
72,0,5.540873733741785,0.2794165667937232,0.4111451874082084,2,[0 0 0 0]
73,0,5.540873747600195,0.279416565370387,0.41114601315295957,2,[0 0 0 0]
74,0,5.5408737599471705,0.2794165638978059,0.4111468676405567,2,[0 0 0 0]
75,0,5.540873759772569,0.27941656392161324,0.41114685382447247,2,[0 0 0 0]
76,0,5.540873758267866,0.2794165641212432,0.4111467379762253,2,[0 0 0 0]
77,0,5.540873755977893,0.27941656440977847,0.4111465705407317,2,[0 0 0 0]
78,0,5.540873758456346,0.279416564096734,0.4111467521992295,2,[0 0 0 0]
79,0,5.54087374935545,0.27941656517800795,0.4111461247738807,2,[0 0 0 0]
80,0,5.540873746394749,0.279416565500468,0.41114593767999474,2,[0 0 0 0]
81,0,5.540873742692277,0.27941656589115665,0.41114571101039454,2,[0 0 0 0]
