step,action,psnr_value,mse_value,ssim_value,rank,action
1,0,5.194195549054603,0.30273444996692034,0.08903860136669345,1,[0 0 0 0]
2,0,5.214403925867128,0.3013288101562664,0.08903690778770171,2,[0 0 0 0]
3,0,5.214412065458753,0.3013282134487077,0.08903690657141079,2,[0 0 0 0]
4,0,5.214412187799415,0.3013282001735542,0.08903690636430886,2,[0 0 0 0]
5,0,5.214412187799415,0.30132821462618453,0.08903690636430886,2,[0 0 0 0]
6,0,5.214412187799415,0.30132820255770854,0.08903690636430886,2,[0 0 0 0]
7,0,5.2144117725789,0.3013282375490654,0.08903690671019228,2,[0 0 0 0]
8,0,5.214411982772211,0.3013282205089889,0.08903690661985192,2,[0 0 0 0]
9,0,5.214411886488383,0.3013282284225041,0.08903690666513474,2,[0 0 0 0]
10,0,5.214411652591115,0.30132824699036187,0.08903690675142856,2,[0 0 0 0]
11,0,5.214410557683537,0.3013283299102197,0.08903690701086725,2,[0 0 0 0]
12,0,5.21441088162039,0.30132830573157376,0.08903690694689535,2,[0 0 0 0]
13,0,5.214411466843578,0.301328261380382,0.08903690680711077,2,[0 0 0 0]
14,0,5.214411309812812,0.30132827339822355,0.08903690684885585,2,[0 0 0 0]
15,0,5.214411954599679,0.3013282228500787,0.089036906634027,2,[0 0 0 0]
16,0,5.214411801399295,0.30132823525783725,0.089036906699439,2,[0 0 0 0]
17,0,5.214412010877501,0.30132821814584565,0.08903690660471161,2,[0 0 0 0]
18,0,5.2144121254942855,0.3013282079952572,0.08903690652441176,2,[0 0 0 0]
19,0,5.214412138657238,0.30132820672254657,0.08903690651132311,2,[0 0 0 0]
20,0,5.214412149792804,0.3013282056058616,0.0890369064988046,2,[0 0 0 0]
21,0,5.214411920573873,0.30132822564746103,0.08903690665005917,2,[0 0 0 0]
22,0,5.214411976120297,0.3013282210640452,0.08903690662328174,2,[0 0 0 0]
23,0,5.214411926626231,0.30132822515201424,0.08903690664728474,2,[0 0 0 0]
24,0,5.214412020437376,0.30132821733459564,0.08903690659929284,2,[0 0 0 0]
25,0,5.21441211541134,0.3013282089449482,0.08903690653352642,2,[0 0 0 0]
26,0,5.214412108733059,0.30132820956442646,0.08903690653921868,2,[0 0 0 0]
27,0,5.214412139879451,0.30132820660204007,0.0890369065100235,2,[0 0 0 0]
28,0,5.21441218764936,0.30132820062437404,0.08903690641340894,2,[0 0 0 0]
29,0,5.214412176825517,0.30132820256833337,0.08903690645660788,2,[0 0 0 0]
30,0,5.21441216623171,0.30132820384589304,0.0890369064762956,2,[0 0 0 0]
31,0,5.214412136940271,0.3013282068910912,0.08903690651312192,2,[0 0 0 0]
32,0,5.214412074750246,0.3013282126299542,0.08903690656504987,2,[0 0 0 0]
33,0,5.214412078836443,0.3013282122676143,0.08903690656217042,2,[0 0 0 0]
34,0,5.21441209155503,0.3013282111298066,0.08903690655284652,2,[0 0 0 0]
35,0,5.214412150522655,0.3013282055310045,0.08903690649792387,2,[0 0 0 0]
36,0,5.2144121523258,0.3013282053450266,0.08903690649571039,2,[0 0 0 0]
37,0,5.2144121340860625,0.3013282071694552,0.08903690651604657,2,[0 0 0 0]
38,0,5.214412153912441,0.30132820518008363,0.08903690649371587,2,[0 0 0 0]
39,0,5.214412166085651,0.3013282038624231,0.08903690647652783,2,[0 0 0 0]
40,0,5.2144121876852445,0.30132820060169513,0.08903690641267895,2,[0 0 0 0]
41,0,5.2144121843119295,0.3013282014597,0.08903690643525619,2,[0 0 0 0]
42,0,5.2144121874864435,0.30132820070588434,0.0890369064159477,2,[0 0 0 0]
43,0,5.214412187455315,0.30132820071912636,0.0890369064163485,2,[0 0 0 0]
44,0,5.214412179916325,0.3013282021480329,0.08903690644914469,2,[0 0 0 0]
45,0,5.2144121725612465,0.3013282031050253,0.08903690646534383,2,[0 0 0 0]
46,0,5.214412182064877,0.30132820183058445,0.089036906443043,2,[0 0 0 0]
47,0,5.2144121730159405,0.301328203049565,0.08903690646447618,2,[0 0 0 0]
48,0,5.214412176032907,0.3013282026712365,0.08903690645834539,2,[0 0 0 0]
49,0,5.214412176876286,0.30132820256168424,0.08903690645649448,2,[0 0 0 0]
50,0,5.214412169642566,0.301328203453192,0.08903690647063019,2,[0 0 0 0]
51,0,5.214412155236026,0.3013282050414935,0.08903690649201615,2,[0 0 0 0]
52,0,5.21441213793941,0.3013282067931149,0.08903690651207889,2,[0 0 0 0]
53,0,5.214412128601376,0.30132820769856916,0.08903690652145713,2,[0 0 0 0]
54,0,5.214412132148367,0.3013282073572203,0.08903690651798818,2,[0 0 0 0]
55,0,5.214412165167019,0.3013282039658981,0.08903690647797095,2,[0 0 0 0]
56,0,5.214412174924945,0.30132820281244943,0.08903690646067908,2,[0 0 0 0]
57,0,5.214412174288341,0.3013282028923357,0.08903690646197474,2,[0 0 0 0]
58,0,5.2144121519024855,0.301328205388824,0.08903690649623497,2,[0 0 0 0]
59,0,5.214412151591742,0.301328205420921,0.0890369064966181,2,[0 0 0 0]
60,0,5.214412136916252,0.3013282068934423,0.08903690651314687,2,[0 0 0 0]
61,0,5.214412166878476,0.3013282037724356,0.0890369064752577,2,[0 0 0 0]
62,0,5.214412150786286,0.30132820550390643,0.08903690649760362,2,[0 0 0 0]
63,0,5.214412163550701,0.3013282041460498,0.08903690648044094,2,[0 0 0 0]
64,0,5.214412147093459,0.3013282058807528,0.08903690650199095,2,[0 0 0 0]
