step,action,psnr_value,mse_value,ssim_value,rank,action
1,0,5.542746101813285,0.27929687584799956,0.41178592148280735,1,[0 0 0 0]
2,0,5.542743735234382,0.27929704761800483,0.4116875928388542,2,[0 0 0 0]
3,0,5.542746101813285,0.27929688079370096,0.41178592148280735,2,[0 0 0 0]
4,0,5.542746101823484,0.279296896269173,0.41178592196101577,2,[0 0 0 0]
5,0,5.542746101813285,0.27929692232702263,0.41178592148280735,2,[0 0 0 0]
6,0,5.542746105452724,0.2792968917670047,0.41178592234463784,2,[0 0 0 0]
7,0,5.542745927558084,0.2792968929155405,0.4117758242250854,2,[0 0 0 0]
8,0,5.542746034357611,0.2792968840108112,0.4117811856866921,2,[0 0 0 0]
9,0,5.542745961900309,0.2792968902368791,0.4117772406108034,2,[0 0 0 0]
10,0,5.542745747991349,0.2792969065955149,0.4117680432437428,2,[0 0 0 0]
11,0,5.542744716202264,0.27929698014581517,0.4117256172793018,2,[0 0 0 0]
12,0,5.542744995386391,0.2792969606407613,0.4117368571620693,2,[0 0 0 0]
13,0,5.542745525224573,0.27929692293667074,0.41175867684493395,2,[0 0 0 0]
14,0,5.542745367430014,0.27929693432961356,0.4117519110463248,2,[0 0 0 0]
15,0,5.542745953866637,0.2792968908818091,0.4117768676569996,2,[0 0 0 0]
16,0,5.542745823947785,0.2792969011118438,0.4117704773483048,2,[0 0 0 0]
17,0,5.542745984821674,0.2792968882508805,0.4117786608384839,2,[0 0 0 0]
18,0,5.542746084805923,0.2792968796866739,0.4117832222576962,2,[0 0 0 0]
19,0,5.5427460853013555,0.2792968793529508,0.4117836855800303,2,[0 0 0 0]
20,0,5.542746091699224,0.2792968786500801,0.4117840931870336,2,[0 0 0 0]
21,0,5.542745890889311,0.279296895759343,0.41177424491900927,2,[0 0 0 0]
22,0,5.542745935642502,0.2792968921923194,0.41177644447095635,2,[0 0 0 0]
23,0,5.542745890353218,0.2792968958009773,0.41177422081764603,2,[0 0 0 0]
24,0,5.542745978933441,0.27929688882972736,0.4117781234928243,2,[0 0 0 0]
25,0,5.542746061591888,0.2792968817431962,0.4117822315158352,2,[0 0 0 0]
26,0,5.542746052974477,0.27929688248356227,0.4117818694336615,2,[0 0 0 0]
27,0,5.542746078171563,0.27929688008855735,0.41178325860517795,2,[0 0 0 0]
28,0,5.54274611452327,0.27929687522524915,0.4117858108137574,2,[0 0 0 0]
29,0,5.542746100500987,0.2792968772302508,0.4117850520264508,2,[0 0 0 0]
30,0,5.542746102405529,0.2792968776758224,0.4117844569207392,2,[0 0 0 0]
31,0,5.542746069407781,0.27929688083070037,0.41178296334049996,2,[0 0 0 0]
32,0,5.542746012664979,0.279296885925589,0.41178000810492144,2,[0 0 0 0]
33,0,5.542746015587222,0.27929688567711614,0.41178015214049,2,[0 0 0 0]
34,0,5.5427460284556656,0.27929688461178104,0.4117807030897505,2,[0 0 0 0]
35,0,5.54274608258305,0.2792968796373012,0.4117835201898846,2,[0 0 0 0]
36,0,5.542746080103688,0.27929687975111206,0.4117835892346637,2,[0 0 0 0]
37,0,5.542746078301325,0.2792968804448621,0.41178264905165474,2,[0 0 0 0]
38,0,5.542746095284543,0.27929687875129783,0.41178363108601085,2,[0 0 0 0]
39,0,5.542746090595882,0.2792968785886199,0.4117842633178723,2,[0 0 0 0]
40,0,5.542746114538572,0.2792968753469004,0.4117857408236292,2,[0 0 0 0]
41,0,5.542746113938765,0.279296875975134,0.41178537595823117,2,[0 0 0 0]
42,0,5.542746116355742,0.2792968753178121,0.411785690142196,2,[0 0 0 0]
43,0,5.542746110899133,0.2792968756850573,0.4117856794579645,2,[0 0 0 0]
44,0,5.542746105735519,0.27929687691698635,0.41178503136841893,2,[0 0 0 0]
45,0,5.542746091031305,0.2792968783165476,0.4117845558708332,2,[0 0 0 0]
46,0,5.542746108800641,0.27929687657078484,0.41178516535616355,2,[0 0 0 0]
47,0,5.542746103860246,0.2792968774899982,0.4117845647548878,2,[0 0 0 0]
48,0,5.54274609703342,0.2792968777655365,0.41178474095319495,2,[0 0 0 0]
49,0,5.542746106679296,0.2792968771050923,0.4117847881251266,2,[0 0 0 0]
50,0,5.542746111574233,0.2792968771907801,0.41178433495796735,2,[0 0 0 0]
51,0,5.542746078705745,0.2792968798957903,0.4117835048800569,2,[0 0 0 0]
52,0,5.542746066074469,0.2792968812683622,0.41178257422658365,2,[0 0 0 0]
53,0,5.542746051493248,0.27929688246893924,0.4117820793984513,2,[0 0 0 0]
54,0,5.542746056483299,0.27929688206058606,0.41178224934993074,2,[0 0 0 0]
55,0,5.542746096114282,0.2792968784192881,0.41178402551492377,2,[0 0 0 0]
56,0,5.542746095353227,0.27929687799475056,0.41178460793477445,2,[0 0 0 0]
57,0,5.542746101999551,0.2792968776108481,0.41178456175492084,2,[0 0 0 0]
58,0,5.542746074446678,0.2792968803314059,0.41178325319237824,2,[0 0 0 0]
59,0,5.542746077641366,0.27929688014323073,0.4117832275135028,2,[0 0 0 0]
60,0,5.542746068942625,0.2792968811638844,0.41178243331534725,2,[0 0 0 0]
61,0,5.54274609330691,0.2792968785575326,0.4117840793472265,2,[0 0 0 0]
62,0,5.542746076420251,0.27929688026304655,0.41178315696317114,2,[0 0 0 0]
63,0,5.542746084624035,0.2792968792678176,0.41178386963805313,2,[0 0 0 0]
64,0,5.54274606899831,0.2792968808702776,0.41178293955915835,2,[0 0 0 0]
65,0,5.542746085533867,0.27929687947573584,0.41178347968658446,2,[0 0 0 0]
66,0,5.542746091659914,0.27929687846110746,0.4117843373096095,2,[0 0 0 0]
67,0,5.542746098349918,0.2792968778462618,0.411784559831602,2,[0 0 0 0]
68,0,5.542746093745858,0.27929687850852036,0.4117841088179113,2,[0 0 0 0]
69,0,5.542746068318499,0.2792968808123932,0.41178310818277775,2,[0 0 0 0]
70,0,5.542746091299625,0.27929687929950686,0.4117831790188007,2,[0 0 0 0]
71,0,5.54274606363859,0.27929688180683876,0.4117818574795056,2,[0 0 0 0]
72,0,5.542746063150023,0.279296881258204,0.41178291647953025,2,[0 0 0 0]
73,0,5.542746092081825,0.27929687886175447,0.41178376858056776,2,[0 0 0 0]
74,0,5.5427460976811265,0.27929687781262813,0.41178464752406974,2,[0 0 0 0]
75,0,5.542746097499882,0.2792968778363326,0.4117846335591723,2,[0 0 0 0]
76,0,5.542746097735158,0.27929687792433505,0.41178451410809047,2,[0 0 0 0]
77,0,5.542746095365853,0.27929687821962135,0.411784342965126,2,[0 0 0 0]
78,0,5.54274609249773,0.2792968782466947,0.4117845292768312,2,[0 0 0 0]
79,0,5.542746086708352,0.27929687912216544,0.41178388722541037,2,[0 0 0 0]
80,0,5.542746081827451,0.27929687956822713,0.41178369492334826,2,[0 0 0 0]
81,0,5.542746078011409,0.27929687996754576,0.41178346325044657,2,[0 0 0 0]
82,0,5.5427460914063555,0.27929687908297196,0.4117835049613641,2,[0 0 0 0]
83,0,5.54274608474244,0.2792968791697793,0.4117839938504374,2,[0 0 0 0]
84,0,5.542746063351117,0.2792968814710193,0.41178252440298446,2,[0 0 0 0]
85,0,5.542746049309983,0.2792968829994753,0.4117813012953937,2,[0 0 0 0]
86,0,5.542746061821303,0.2792968816156625,0.41178244071642756,2,[0 0 0 0]
87,0,5.542746059187092,0.2792968816417663,0.41178269440690324,2,[0 0 0 0]
88,0,5.54274607444399,0.27929688033167627,0.41178325242102887,2,[0 0 0 0]
89,0,5.542746076607356,0.2792968803713882,0.4117829601004299,2,[0 0 0 0]
90,0,5.542746088742005,0.2792968793558722,0.41178334643002584,2,[0 0 0 0]
91,0,5.542746080125912,0.2792968799592553,0.4117832665074902,2,[0 0 0 0]
92,0,5.542746072532877,0.279296880880347,0.4117825302579581,2,[0 0 0 0]
93,0,5.5427460796187145,0.27929687972522294,0.4117836709526594,2,[0 0 0 0]
94,0,5.542746086266604,0.27929687939985537,0.41178352370903626,2,[0 0 0 0]
95,0,5.542746094265176,0.27929687835221007,0.4117842662361897,2,[0 0 0 0]
96,0,5.542746100343607,0.2792968777056132,0.41178457348650455,2,[0 0 0 0]
97,0,5.542746108259933,0.27929687715448087,0.4117846237377053,2,[0 0 0 0]
98,0,5.54274609592921,0.27929687815094323,0.41178438281777086,2,[0 0 0 0]
99,0,5.542746098324644,0.2792968778495475,0.4117845579250252,2,[0 0 0 0]
100,0,5.542746096330864,0.2792968781014825,0.41178441151909484,2,[0 0 0 0]
101,0,5.542746107355688,0.27929687738911724,0.4117844206566378,2,[0 0 0 0]
102,0,5.5427460987223265,0.2792968775182795,0.4117848844472147,2,[0 0 0 0]
103,0,5.542746101638669,0.279296877393108,0.41178482260013016,2,[0 0 0 0]
104,0,5.542746095082656,0.279296877900696,0.4117847300661562,2,[0 0 0 0]
105,0,5.542746113037296,0.27929687621068167,0.4117852392433883,2,[0 0 0 0]
106,0,5.542746101796075,0.27929687698241334,0.41178519545076997,2,[0 0 0 0]
107,0,5.542746103011265,0.2792968766844084,0.41178536883295475,2,[0 0 0 0]
108,0,5.542746110712809,0.27929687604828957,0.41178546861976395,2,[0 0 0 0]
109,0,5.542746107274992,0.27929687573987805,0.4117857825721228,2,[0 0 0 0]
110,0,5.542746105452724,0.27929687586427754,0.4117857777195848,2,[0 0 0 0]
111,0,5.542746110919527,0.2792968754357244,0.41178582502407535,2,[0 0 0 0]
112,0,5.542746107264794,0.2792968755950188,0.4117858662434537,2,[0 0 0 0]
113,0,5.542746107269894,0.279296875656839,0.41178583056613255,2,[0 0 0 0]
114,0,5.542746109087063,0.2792968756638746,0.41178575891448194,2,[0 0 0 0]
115,0,5.542746103640653,0.279296876034719,0.4117857459437127,2,[0 0 0 0]
116,0,5.542746103630456,0.27929687594024205,0.4117858003681961,2,[0 0 0 0]
117,0,5.542746101808187,0.279296876209323,0.41178571153163673,2,[0 0 0 0]
118,0,5.542746107264794,0.2792968757443083,0.4117857795831869,2,[0 0 0 0]
119,0,5.542746103630456,0.2792968759173501,0.41178581365656747,2,[0 0 0 0]
