step,action,psnr_value,mse_value,ssim_value,rank,action
1,57496,5.520622641504499,0.2805557144851049,0.04766486678765572,1,[ 3 16 24 21]
2,172049,5.895536295309316,0.27176230102398113,0.11660286837657484,2,[11  0  6 24]
3,76182,6.018269812403552,0.2628468799022492,0.15126959367201318,3,[ 4 21 22  7]
4,106247,6.973452221188409,0.22826314252188057,0.11929232353437691,4,[ 6 19 24 22]
5,125552,7.305330830939254,0.2152258831576706,0.21349842451597145,5,[ 8  0 22  2]
6,107493,7.3152732607711,0.21384821593816158,0.21232453735058113,6,[ 6 21 24 18]
7,383766,7.261233979169228,0.21622239252830622,0.20782914230036273,7,[24 14  0 16]
8,14321,7.220429400505126,0.20722552793781507,0.202575796689411,8,[ 0 22 22 21]
9,56853,7.144010099859782,0.2096896778049122,0.16982113161008922,9,[ 3 15 24  3]
10,71684,6.961054303330657,0.20953033079936867,0.19058506372223302,10,[ 4 14 17  9]
11,108100,7.204469918329838,0.19986094353027292,0.20246400760180097,11,[ 6 22 24  0]
12,215500,7.26109863584405,0.1954751572397363,0.1877211571846995,12,[13 19 20  0]
13,63698,7.382471698827313,0.19223786461775308,0.1824806818898601,13,[ 4  1 22 23]
14,54954,7.359464648616378,0.19321621752344653,0.19374435194073925,14,[ 3 12 23  4]
15,4913,7.5327515817690305,0.18638372763593217,0.18023150598939514,15,[ 0  7 21 13]
16,11060,7.609873175468188,0.18608584006685414,0.1905094734567472,16,[ 0 17 17 10]
17,77706,7.946271842656838,0.16872931601879537,0.21103263654338422,17,[ 4 24  8  6]
18,18742,7.922409294852835,0.169829478102579,0.21693053236028592,18,[ 1  4 24 17]
19,109960,7.949206605864367,0.16832092826108563,0.19112436121697896,19,[ 7  0 23 10]
20,128108,7.97408035896251,0.16682709123420644,0.19107600812164757,20,[ 8  4 24  8]
21,83075,8.007388539523701,0.1668361601839366,0.20155170609561426,21,[ 5  7 23  0]
22,29310,7.8862451970860645,0.17475816371865804,0.19149142407547312,22,[ 1 21 22 10]
23,252998,7.8825788984025795,0.17476649078634945,0.19039120777261284,23,[16  4 19 23]
24,14334,8.009147826541287,0.16912911178372597,0.20794923695235085,24,[ 0 22 23  9]
25,250823,8.290076704892089,0.15677066751183594,0.22382652742681153,25,[16  1  7 23]
26,34371,8.684663713243468,0.14467227701896918,0.2537245934614741,26,[ 2  4 24 21]
