step,action,psnr_value,mse_value,ssim_value,rank,action
1,185001,5.360691737555418,0.29134589789728854,0.1150354292634888,1,[11 21  0  1]
2,71648,5.674417891911341,0.2713478497679375,0.034486137540569534,2,[ 4 14 15 23]
3,62402,5.4445489591683565,0.2879607092864815,0.04208051047060108,3,[ 3 24 21  2]
4,74845,5.469378596530748,0.28663873408556684,0.04214705812655104,4,[ 4 19 18 20]
5,124175,5.318683607872399,0.3065955056519597,0.08360591784860494,5,[ 7 23 17  0]
6,237395,5.404523671083679,0.3032770282864221,0.07716185305164902,6,[15  4 20 20]
7,363200,5.692445168510423,0.277760671993508,0.06932666748912786,7,[23  6  3  0]
8,47352,7.949220934201543,0.1632832463597413,0.17307511787366234,8,[ 3  0 19  2]
9,69970,8.060927087744723,0.1616526555774617,0.19290089682881778,9,[ 4 11 23 20]
10,110399,8.24788101871565,0.15460754473026608,0.2073658136001684,10,[ 7  1 15 24]
11,234849,8.29092031914355,0.15270759064798475,0.20657249514704135,11,[15  0 18 24]
12,72440,8.352530840481865,0.1509766468255315,0.20902284085351985,12,[ 4 15 22 15]
13,141546,8.361814416842336,0.15081126466332354,0.20923522670518108,13,[ 9  1 11 21]
14,94599,8.525748971105056,0.14367806630947744,0.21957641108755188,14,[ 6  1  8 24]
15,36817,8.165585429926123,0.15417783406322705,0.20034643236653363,15,[ 2  8 22 17]
16,231901,8.295105579320875,0.1497486145719944,0.1985624032623198,16,[14 21  1  1]
17,28502,8.60252571407563,0.14001523490897524,0.22665658329765523,17,[ 1 20 15  2]
18,77702,8.743928744307684,0.13652886933729752,0.22414708997486077,18,[ 4 24  8  2]
19,50597,8.845927646028501,0.13539760773674353,0.23041246724821524,19,[ 3  5 23 22]
20,79913,8.978366588844944,0.1314951875830011,0.22903757889906898,20,[ 5  2 21 13]
21,70486,9.112639582676593,0.12852198775726864,0.25878024399063465,21,[ 4 12 19 11]
22,266473,9.54485966462755,0.11781965682376176,0.2825610481288129,22,[17  1  8 23]
23,11778,9.534671127590247,0.11812753141627909,0.28080291489588516,23,[ 0 18 21  3]
24,253125,9.536145419963857,0.1180842479103434,0.27973239282687945,24,[16  5  0  0]
25,25602,9.528888883309667,0.11835211857917748,0.2794379599643569,25,[ 1 15 24  2]
26,378865,9.655332061256146,0.11605680654375028,0.2853457351459566,26,[24  6  4 15]
27,74350,9.63498799938523,0.11744379592205077,0.28730768446188015,27,[ 4 18 24  0]
28,378373,9.57126789131773,0.11858848793157377,0.28709376879339743,28,[24  5  9 23]
29,373951,9.834715939398524,0.11122316838986007,0.2936857168846223,29,[23 23  8  1]
30,123722,9.852162373195961,0.11076559156227159,0.2914592710396907,30,[ 7 22 23 22]
31,141862,10.157519514674465,0.10343225007509463,0.3001168134776625,31,[ 9  1 24 12]
32,40525,10.161522847988211,0.10344750651366194,0.29873650172456706,32,[ 2 14 21  0]
33,30567,10.170613116179847,0.10284032158259215,0.2933993339482456,33,[ 1 23 22 17]
34,32948,10.316952124529543,0.09948449639089522,0.30365235734436297,34,[ 2  2 17 23]
35,17354,10.330489561545829,0.0991604037000856,0.29981950961924747,35,[ 1  2 19  4]
36,14922,10.295983112957321,0.09930519764027558,0.2773264605094577,36,[ 0 23 21 22]
37,4979,10.288700898305077,0.09949726779919,0.2664801858134774,37,[ 0  7 24  4]
38,46700,10.26665939684063,0.10256865736143664,0.3042174487999776,38,[ 2 24 18  0]
39,117471,10.270068860182269,0.10192389687399846,0.2952175094818816,39,[ 7 12 23 21]
40,81785,10.31236914405909,0.10303934540192713,0.3043449942521479,40,[ 5  5 21 10]
41,126199,10.257246943879778,0.10388701875067782,0.2885214744039448,41,[ 8  1 22 24]
42,8666,10.431646116024332,0.10042222905489616,0.3135732246707567,42,[ 0 13 21 16]
