step,action,psnr_value,mse_value,ssim_value,rank,action
1,0,5.182531729104881,0.3035495054360181,0.11356726935644632,1,[0 0 0 0]
2,0,5.188670359699806,0.30312085393170785,0.11356672997235188,2,[0 0 0 0]
3,0,5.189855731748186,0.30303809404076665,0.11356671188452575,2,[0 0 0 0]
4,0,5.190287242857812,0.303007951397318,0.11356670657850458,2,[0 0 0 0]
5,0,5.190471570495202,0.3029950669358685,0.11356670428724926,2,[0 0 0 0]
6,0,5.190561323586396,0.30298878910701227,0.11356670309901234,2,[0 0 0 0]
7,0,5.19061743577493,0.3029848618451555,0.11356670230037945,2,[0 0 0 0]
8,0,5.19066022308059,0.3029818651111871,0.11356670163943554,2,[0 0 0 0]
9,0,5.190683229000939,0.3029802526942012,0.11356670125421855,2,[0 0 0 0]
10,0,5.190701743036875,0.3029789542624694,0.11356670092140829,2,[0 0 0 0]
11,0,5.190714280121265,0.3029780744317458,0.11356670068003366,2,[0 0 0 0]
12,0,5.1907240527482035,0.3029773881784813,0.11356670047984542,2,[0 0 0 0]
13,0,5.190734050852493,0.30297668558276447,0.11356670026057339,2,[0 0 0 0]
14,0,5.190739806610556,0.302976280808839,0.11356670012573139,2,[0 0 0 0]
15,0,5.190745601147403,0.30297587302236867,0.11356669998175788,2,[0 0 0 0]
16,0,5.190748066909579,0.302975699391385,0.11356669991745706,2,[0 0 0 0]
17,0,5.190750945320206,0.3029754966090963,0.11356669983967169,2,[0 0 0 0]
18,0,5.19075395801024,0.30297528424204545,0.11356669975461971,2,[0 0 0 0]
19,0,5.190757277758448,0.30297505005352543,0.11356669965574431,2,[0 0 0 0]
20,0,5.1907593745782945,0.3029749020210373,0.11356669958995111,2,[0 0 0 0]
21,0,5.1907611154213456,0.30297477904028464,0.11356669953299266,2,[0 0 0 0]
22,0,5.190763378906506,0.3029746190103029,0.11356669945519084,2,[0 0 0 0]
23,0,5.190763593424972,0.302974603835279,0.11356669944756875,2,[0 0 0 0]
24,0,5.190764672882503,0.3029745274494306,0.11356669940848275,2,[0 0 0 0]
25,0,5.190765051980943,0.30297450061271863,0.11356669939444931,2,[0 0 0 0]
26,0,5.190766571591849,0.30297439297786666,0.11356669933641243,2,[0 0 0 0]
27,0,5.190766853403222,0.30297437300540664,0.11356669932530815,2,[0 0 0 0]
28,0,5.190768198890021,0.3029742775916932,0.11356669927061544,2,[0 0 0 0]
29,0,5.190769149831505,0.30297421009291586,0.11356669923008104,2,[0 0 0 0]
30,0,5.190769634231018,0.3029741756866013,0.11356669920874957,2,[0 0 0 0]
31,0,5.190770219099685,0.30297413412098295,0.11356669918231029,2,[0 0 0 0]
32,0,5.190771387135235,0.30297405102450065,0.11356669912696155,2,[0 0 0 0]
33,0,5.190772111298382,0.30297399943853126,0.1135666990906544,2,[0 0 0 0]
34,0,5.190772322948842,0.30297398435037365,0.11356669907971127,2,[0 0 0 0]
35,0,5.190772243352939,0.30297399002532,0.11356669908384541,2,[0 0 0 0]
36,0,5.190772421289398,0.30297397733806003,0.11356669907457168,2,[0 0 0 0]
37,0,5.190772829880322,0.3029739481892826,0.11356669905282185,2,[0 0 0 0]
38,0,5.190772998886143,0.30297393612575174,0.11356669904362865,2,[0 0 0 0]
39,0,5.190773512282339,0.30297389945386155,0.11356669901492746,2,[0 0 0 0]
40,0,5.190773696778336,0.30297388626490834,0.11356669900430567,2,[0 0 0 0]
41,0,5.190774172140536,0.3029738522547058,0.11356669897610062,2,[0 0 0 0]
42,0,5.190774401465605,0.302973835831492,0.11356669896202151,2,[0 0 0 0]
43,0,5.190774632462115,0.30297381927700706,0.11356669894749626,2,[0 0 0 0]
44,0,5.190774717083095,0.3029738132095228,0.11356669894208343,2,[0 0 0 0]
45,0,5.190774946288301,0.3029737967660807,0.11356669892715843,2,[0 0 0 0]
46,0,5.190774965556098,0.302973795383192,0.11356669892588549,2,[0 0 0 0]
47,0,5.190775160133459,0.3029737814121163,0.11356669891286249,2,[0 0 0 0]
48,0,5.190775218044463,0.30297377725190483,0.11356669890892528,2,[0 0 0 0]
49,0,5.190775279034764,0.3029737728694435,0.11356669890474706,2,[0 0 0 0]
50,0,5.190775630865603,0.3029737475656388,0.11356669887996615,2,[0 0 0 0]
51,0,5.190775757524083,0.30297373844598197,0.11356669887073871,2,[0 0 0 0]
52,0,5.190775877107471,0.3029737298302316,0.11356669886186359,2,[0 0 0 0]
53,0,5.190776068739109,0.3029737160116239,0.1135666988472862,2,[0 0 0 0]
54,0,5.190776159212711,0.30297370948204616,0.11356669884024109,2,[0 0 0 0]
55,0,5.190776389432738,0.3029736928494259,0.11356669882179732,2,[0 0 0 0]
56,0,5.190776434245489,0.302973689608741,0.11356669881811472,2,[0 0 0 0]
57,0,5.190776480931403,0.30297368623142357,0.11356669881424403,2,[0 0 0 0]
58,0,5.190776542364782,0.3029736817854493,0.11356669880909581,2,[0 0 0 0]
59,0,5.190776428790937,0.3029736900032457,0.11356669881856465,2,[0 0 0 0]
60,0,5.190776485633921,0.30297368589117185,0.11356669881385217,2,[0 0 0 0]
61,0,5.1907765616187485,0.3029736803915574,0.11356669880746914,2,[0 0 0 0]
