step,action,psnr_value,mse_value,ssim_value,rank
1,20579,6.235561332668409,0.23797240764870273,0.03255014638676897,1
2,24648,6.113906411036872,0.24472216646161962,0.011724006230187394,2
3,14789,6.049941535272877,0.24869822597024968,0.02185991319010482,3
4,8799,6.030687666886164,0.2512315006232428,0.017854910530449807,4
5,14149,6.00942769632746,0.2530578564631874,0.022796081282612308,5
6,23220,6.043041005646418,0.2518634933887681,0.010534130063884494,6
7,733,5.99269925072254,0.2556718933183339,0.03183352199119011,7
8,13084,6.095221502078235,0.24633726973428619,0.015120152149621304,8
9,2637,6.0992027232159725,0.2460595716237214,0.029237212573109246,9
10,579,6.136187093159905,0.2462450294109665,0.02065154252504613,10
11,3584,6.104657090481642,0.248646482140939,0.015798088110962075,11
12,15887,6.227015972430622,0.24158904550818514,0.0319301485801682,12
13,1921,6.235079056959303,0.240473597656462,0.04345121679354903,13
14,7167,6.234471947446176,0.2406673467931803,0.04474542346589857,14
15,5690,6.263357042922313,0.2389113066811334,0.03766233257546962,15
16,16569,6.262263310733599,0.2388801120585522,0.03833469060816757,16
17,21323,6.261109512500175,0.23889991424964543,0.03862718094351712,17
18,14012,6.2764378307278665,0.23783169309486127,0.04295958805017576,18
19,6493,6.276553904445818,0.23782384473173143,0.043446650939588195,19
20,4716,6.267238026083493,0.23945069604398517,0.04365858760003906,20
21,14319,6.213782010756921,0.2426123748505124,0.05493499849798178,21
22,23594,6.224895037244041,0.2431884804617228,0.03822888794580929,22
23,12330,6.3568434987071765,0.25591273253148444,0.022073264499655378,23
24,1950,6.35281331949412,0.2560746141775041,0.024889391312390804,24
25,24926,6.345026711090192,0.2570957197758043,0.025030103260365345,25
26,7469,6.3526628537065015,0.2566077362076544,0.026776649434755648,26
27,6414,6.336310954863183,0.25442033943748393,0.026755121724447543,27
28,20081,6.455795261643152,0.23827619880504894,0.027785928509640623,28
29,23248,6.54360708474326,0.22952192083458403,0.02051126731847484,29
30,3809,6.547136037151773,0.22930889562231788,0.020735960947894757,30
31,10850,6.546848739857138,0.22935154096989116,0.020769646773198716,31
32,13224,6.623037123132496,0.22506021447349117,0.025857362820895333,32
33,6228,6.623603831072288,0.22504571731660095,0.026019313230651934,33
34,19714,6.6102378087383595,0.2248048130172129,0.02689252049926376,34
35,12065,6.609988349911466,0.22486942489977463,0.027267118940086314,35
36,2499,6.653925471427167,0.22255137593770577,0.04270154423243326,36
37,11697,6.697446128862397,0.21962403316930976,0.04781037553367413,37
38,12064,6.702283243502042,0.21949617177317882,0.04326636339164172,38
39,23348,6.680894776770286,0.22084131212975927,0.044263053648084236,39
40,16470,6.676668197778291,0.22088691025869106,0.04443187742919708,40
41,19955,6.675070292505244,0.22098091575999376,0.04824241065925315,41
42,15415,6.6811173780208915,0.22161543156501826,0.05703900025069156,42
43,13920,6.681793434207719,0.22157685941629987,0.05767685282381682,43
44,4664,6.8136319841285875,0.21299044766675063,0.07536422556401125,44
45,1582,6.818386740526594,0.21235962199799865,0.07502384572713071,45
46,1229,6.847676325514646,0.21101343334423303,0.07686942310743944,46
47,15246,6.899276277829394,0.2100776117529965,0.06649958960133709,47
48,11979,6.902493010299915,0.20972661631043701,0.061445836299054674,48
49,1834,6.908046730734556,0.20949018034212344,0.06096722698013273,49
50,716,6.91006750873374,0.20910734447546442,0.060785411562065864,50
51,5529,6.927568638643632,0.20868825129281404,0.06210914898945196,51
52,19779,6.938926189943188,0.20797181203132803,0.061517928487586866,52
53,12832,6.925788577617701,0.2085822253273073,0.06334409473744497,53
54,21041,6.922198403502364,0.20872483887452958,0.06359577031776056,54
55,13570,7.122453469132456,0.19880930924376325,0.1527171287068135,55
56,4657,7.122965344565034,0.19879046360516636,0.15270358013104246,56
57,14050,7.121623461588435,0.19907539172019995,0.15252848809681258,57
58,19601,7.121847723045703,0.19909440451445182,0.1529349199386586,58
59,20005,7.1207121119489045,0.1991515604310467,0.1535458199533997,59
60,10855,7.119599029452775,0.1991399371371917,0.15344972787492175,60
61,23141,7.121283211965802,0.19899424935814744,0.1527679955835602,61
62,16338,7.118002140905445,0.1992355582954997,0.15297828292268673,62
63,7852,7.1233370844153665,0.19884093760596525,0.15323825901047156,63
64,795,7.180103963814703,0.19615885868025582,0.15501215913512645,64
65,23190,7.180134846222153,0.19614929160718356,0.1545876927861479,65
66,8757,7.240011324623222,0.19376624599627656,0.1589881899560747,66
67,24270,7.2737952297458435,0.19191172302130413,0.16860698503974952,67
68,22023,7.272121139438292,0.1919916985765823,0.16894870700288298,68
69,13133,7.275090211506312,0.1918512110240814,0.1682930127533098,69
70,3530,7.277834186518225,0.19159612248921315,0.16745299880060147,70
71,9558,7.259336377380908,0.19248431219804127,0.16916001021990862,71
72,24322,7.259465014518892,0.19248049167732878,0.16945781599065343,72
73,16542,7.259964177027848,0.19256590104307583,0.17245795081797397,73
74,8927,7.3053355425924416,0.19060217497157136,0.18481173088197247,74
75,10560,7.332549547651848,0.1892511552497424,0.1865432436906312,75
76,22797,7.392135471640388,0.18657201263438805,0.18717462740940924,76
77,21913,7.3924023604574955,0.1865724681686382,0.18712013236014285,77
78,22743,7.391268976674672,0.18661280193779514,0.18830887434420968,78
79,1816,7.403726771300749,0.18585715612941417,0.18924710602165026,79
80,24821,7.439934648804519,0.184113879283698,0.19128329060595098,80
81,8487,7.478301442570063,0.18273970454401442,0.2076303970855716,81
82,6529,7.476259520293379,0.18280907695281126,0.2070213533100348,82
83,19088,7.552266762978284,0.17707095387084362,0.20578134189724306,83
84,19837,7.502885009552416,0.1793872429698696,0.21652799958153762,84
85,10187,7.510372249106682,0.17911881347843922,0.2156485407348257,85
86,23837,7.51804858064464,0.17879588303969465,0.21835609882791798,86
87,5814,7.5324409231152565,0.17813951708607495,0.2176587492109982,87
88,2887,7.542955871620574,0.17762980792982452,0.22063554106686417,88
89,12292,7.603070421760389,0.1750673159938897,0.21947837976123794,89
90,7312,7.625748771623888,0.17401991395855293,0.21994675463506094,90
91,7192,7.625871315482907,0.1740124975944989,0.22000511643956816,91
92,21098,7.626758367092448,0.17396836934724402,0.21997368958512598,92
93,14762,7.626393327627172,0.17399311423692126,0.2202252424883974,93
94,7969,7.622118385412529,0.17417152234284847,0.22049671495859505,94
95,22029,7.628626456815509,0.17385276112242423,0.22198013990088533,95
96,1912,7.603321560522279,0.17494736388379092,0.22308930893105802,96
97,1786,7.624534220211052,0.17406511112657666,0.22409040543735173,97
98,13190,7.641949570314467,0.17339691720946404,0.2193046805774193,98
99,8837,7.642412430221927,0.17341731037619448,0.21934376080101564,99
100,6138,7.644189833296991,0.17331782214569336,0.21922584187527994,100
101,269,7.644195316846174,0.17325541150040297,0.21756458046226776,101
102,882,7.715725385915829,0.16995180188498643,0.21941940114061106,102
103,3992,7.731172976533615,0.16928043928506437,0.22346447724815316,103
104,22876,7.752678644776337,0.16843621758709548,0.22540057789252324,104
105,7676,7.751719729263199,0.16847745100378628,0.22503648114495814,105
106,22327,7.798634580101044,0.16646331832700312,0.2295711543268496,106
107,15261,7.798887225190696,0.16645411228552606,0.22953702649661883,107
108,21453,7.795969922853802,0.16670240602948797,0.22471911979883372,108
109,14932,7.7961570619781595,0.16669523938662187,0.2248058041522682,109
110,12764,7.796177616849485,0.16669436346555067,0.22480084581927542,110
111,25050,7.791074430308904,0.16693385228703228,0.22720768424706958,111
112,8172,7.7906238117155,0.16695043997118078,0.2268083498731211,112
113,13983,7.789862665441748,0.1669707800071023,0.226937476925,113
114,6851,7.791628843511502,0.16690746581819005,0.2271506346842468,114
115,10410,7.791803895495503,0.16693184796456542,0.22669272739465637,115
116,2123,7.800730750136631,0.1665516249880798,0.22893100214514706,116
117,18165,7.802188458769445,0.1664837397300366,0.22962685784645612,117
118,10349,7.813945908511978,0.16599770480121806,0.23139610372851033,118
119,22537,7.853200423987715,0.16450506809126997,0.2334025264629411,119
120,24708,7.858122683703891,0.16429571070095442,0.23334709338120935,120
121,1697,7.856669388193993,0.16435275167493224,0.23297008830791543,121
122,21113,7.85665822237592,0.16434110098564667,0.2322488417515666,122
123,693,7.856465652763585,0.16434215117775328,0.2323060754205727,123
124,3611,7.858726612577179,0.1642617762504172,0.23266156744468272,124
125,11423,7.85743751480193,0.16430084550222734,0.23260404720196481,125
126,21443,7.858609082312167,0.16429469286447315,0.2318562379915002,126
127,14874,7.8603608520416675,0.16422355402225633,0.2329228845067762,127
128,17426,7.860131553151457,0.16423088791292073,0.23261949818854064,128
129,18404,7.859542848381709,0.16424524433169888,0.23240700624519725,129
130,3436,7.889959343588507,0.16304021135072977,0.23969929222189992,130
131,17705,7.889877222815719,0.16304587425045605,0.2395826407109521,131
132,21924,7.897291102906969,0.16274504859110484,0.23970914414227465,132
133,16976,7.897664275655567,0.1627327350101758,0.239895397138386,133
134,9877,7.904379808202412,0.16247477476273503,0.24231618020486387,134
135,22754,7.945103952066797,0.1608374563922252,0.24242588450784164,135
136,24036,7.974676829508099,0.15969915347339464,0.24155502935268733,136
137,10939,7.987573371924281,0.15923149787666793,0.24362136636755574,137
138,3424,7.998076333271635,0.1587422325090379,0.24932660572286194,138
139,10641,8.003034893470044,0.1585546377614933,0.24981152821608354,139
140,20674,8.003447802607909,0.15854126029239154,0.2498133331853741,140
141,8174,7.995701216807726,0.15882639103318794,0.24928411542375978,141
142,15861,8.021451326406034,0.15788318407818744,0.2474406827082191,142
143,17501,8.032675953067079,0.15746425321605775,0.24934860839174694,143
144,16790,8.053028563855783,0.1567351949331993,0.2515067670066843,144
145,2727,8.092663488878287,0.15532567200551264,0.2576016186257953,145
146,13602,8.094331256590658,0.15526133960772165,0.25780674502698864,146
147,19213,8.099026396294168,0.15509846525722776,0.25960624752432593,147
148,20369,8.100480271548287,0.15505111353897216,0.26031065307759305,148
149,18041,8.241500556334188,0.15024869667359533,0.333245395616168,149
150,3269,8.241763309027329,0.15024165248046384,0.3333514051376148,150
151,20239,8.563574658457846,0.13969025157779827,0.325149382062019,151
152,21001,8.600118426314136,0.13884499723597235,0.3226298532524909,152
153,11468,8.612058036697047,0.1384917937790325,0.3257119206595907,153
154,3275,8.875321621019744,0.1302565113039042,0.33619640462619077,154
155,57,8.87583502648867,0.1302458567245791,0.3363461263611251,155
156,7328,8.906757839630338,0.1293439729072463,0.3386821960124964,156
157,20013,8.92072919420328,0.12889680068563972,0.33993886478981217,157
158,12793,8.919499402603668,0.12891781741052727,0.34001286594844626,158
159,11293,8.913525359445929,0.1291153522612118,0.3394136291153468,159
160,3395,8.919485292995963,0.12889874692949974,0.3397827859556212,160
161,12064,8.931067188131331,0.1285361246858391,0.33930640401923645,161
162,14549,8.934274105564171,0.12847550071551833,0.3413004071456635,161
163,18431,8.935108623777339,0.12844711507041273,0.3412590429864284,162
164,14768,8.926653439178633,0.12874280902336252,0.34191133908358107,163
165,7825,8.932907280281768,0.12851335313787085,0.3430399765476889,164
166,8223,8.9385962610027,0.12834991540187837,0.3437558918318167,165
167,305,8.939950209455588,0.1282987458971898,0.34317578987667124,166
168,17762,8.943302159410525,0.1281873896416944,0.34340206272347923,167
169,8088,8.947601970924744,0.1280460365654998,0.34416566023315087,168
170,7553,8.964077532940308,0.1275506924543934,0.3438057743986384,169
171,18238,8.966828369941027,0.12746720093329442,0.34402281383831823,170
172,4560,8.972236767231369,0.12732078214298512,0.34463390432510826,171
173,14803,8.987842199219564,0.1268744703410778,0.3461979624217661,172
174,20060,8.980866920189772,0.12705547677520504,0.3456700192171405,173
175,1158,8.980011117572918,0.12707505839329108,0.3455142168533703,174
176,21342,8.979540736024969,0.1270720353925771,0.34602327234242164,175
177,2120,8.976888897983324,0.12709489700330434,0.3491587686031402,176
178,10469,8.979518652969196,0.12701153641007681,0.3494272263492019,177
179,13632,8.978063986359338,0.12706579525432352,0.34992374968678736,178
180,8404,8.97664500346089,0.12711093190431802,0.3497784756643753,179
181,14139,8.976235127027778,0.12712872247060886,0.34897440734872115,180
182,23619,8.975350444240089,0.12714689387704364,0.3489276892460857,181
183,16650,8.991313904186967,0.1266601776500538,0.3486189719213398,182
184,1605,8.993101679594481,0.1266101912447466,0.3485951754971738,183
185,16133,9.008675872766043,0.12614280164592095,0.3497329809131996,184
186,12814,9.012587852204199,0.1260322752673504,0.3497671452542614,185
187,14932,9.03389642797155,0.12539529932053195,0.35050527344456833,186
188,8130,9.034083283815335,0.12539089687298782,0.3505127445494139,186
189,16992,9.056999407805034,0.12474543854568218,0.35229949095432767,187
190,21202,9.063599037265176,0.12455071672956577,0.354287239827921,188
191,11172,9.063498933604654,0.12455841282549654,0.3541293143619951,189
192,18569,9.062873544932522,0.12457840639561904,0.3543341556298127,190
193,4581,9.064226623649441,0.12456696098600778,0.35542683429548877,191
194,12778,9.083623779815571,0.12403720031270615,0.35657755529760504,192
195,9112,9.083443052669718,0.12404605432250555,0.3565410280634326,193
196,11918,9.080960765685049,0.12411592382972496,0.35644001360899036,194
197,12340,9.209836623720651,0.12053883255264215,0.3597928853371517,195
198,21788,9.206580998773221,0.12062027851692587,0.3594728238439982,196
199,154,9.207009784446932,0.12060015153888032,0.3596472929853029,197
200,8168,9.235400093989947,0.1198610538133757,0.36285393609470434,198
201,18477,9.23551910083993,0.11985714810650092,0.3628626147665327,199
202,20063,9.235519681165226,0.11985712221336192,0.36286173374342495,200
203,14021,9.23594720251359,0.11984593057932355,0.3628588460683138,201
204,1667,9.237011939976522,0.11981372052507308,0.362991317825978,202
