step,action,psnr_value,mse_value,ssim_value
1,5660,38.32082358612575,9.571896682341782,0.05277587575386641
2,9012,38.45713894217239,9.27612231580166,0.03257333065136199
3,15778,38.03808485692277,10.215788079729984,0.10416402414994007
4,13036,38.76562691243521,8.640078128302134,0.060436623697389086
5,11413,38.76605673754924,8.639223054394371,0.19747699060571777
6,11061,38.789825696665275,8.592069695600607,0.18462205601497997
7,13519,38.745728099337214,8.679756683663983,0.1825727575724239
8,786,38.54182507786926,9.096992844014629,0.24909551885084116
9,4820,39.21779052081229,7.78576531629014,0.21266253261262338
10,17705,39.35763491830939,7.5390542602417145,0.15290246035950153
11,16197,39.493013163946,7.307671972648182,0.1283082834339912
12,10568,39.562318928394674,7.19197995065767,0.14610749806133053
13,4152,39.654672023378026,7.040656533752491,0.15805542923532728
14,8470,39.70714514974802,6.956100466990015,0.18355106174403657
15,20047,39.99435449196953,6.5109582668979,0.15254900181810602
16,11002,39.890417423748715,6.668660658858234,0.1833709094699171
17,1594,39.90440037752152,6.647224139573424,0.19857678714229574
18,785,40.05964988914634,6.413799389348485,0.15074309678028802
19,15995,40.05413743778067,6.421945522101197,0.1606327771695946
20,10978,40.0740627892924,6.392549239702213,0.17640372878764177
21,13288,40.06830094852419,6.4010359454917936,0.20270276628450146
22,20131,40.08956164967428,6.369776524013878,0.19279587816982127
23,6040,40.19296668833356,6.219904147984951,0.18669593733320833
24,5013,40.19616899022847,6.215319546953051,0.17980448337536656
25,17870,40.18642430981828,6.229281111101341,0.18936567775547425
26,8118,40.31641378356866,6.045594060140412,0.19646459507753963
27,14541,40.317603143691144,6.043938638692443,0.1903658368759223
28,2574,40.481564322082626,5.820012650731244,0.16135494752684518
29,16777,40.494322147428825,5.802940881377228,0.20193948958694063
30,14554,40.50195432769315,5.792751896888083,0.2046693714633547
31,5189,40.495416000737656,5.801479484321096,0.19176658118684053
32,19306,40.52212216326967,5.765913788207097,0.20660117656264274
33,15250,40.52284840531301,5.764949673053542,0.21227942872134453
34,12070,40.51017709519805,5.781794495919774,0.2225711609905813
35,13357,40.63794778248456,5.614170303246248,0.20814688047710322
36,19570,40.668072238690854,5.575362850698988,0.22669297673996402
37,19681,40.87350831223634,5.317769755174132,0.22067665508451906
38,9428,40.88158894755317,5.307884525675125,0.21739723377596987
39,4246,40.914895247976716,5.267333737569633,0.23854445202167993
40,18227,40.91841672574077,5.263064449957485,0.2351291087944388
41,9756,40.918655456504425,5.262775148362659,0.23416791148206562
42,17783,40.94917368597449,5.225922829500527,0.21933887716083364
43,15747,40.9959737311144,5.169910059287899,0.23319448091220274
44,12091,40.99837376866553,5.167053806003121,0.2315857195810182
45,1961,41.00182684711797,5.162947110755243,0.22536295495572858
46,5747,41.003852531578374,5.1605395132697005,0.2272172970571149
47,2522,41.01901893121248,5.142549346364869,0.2244212231526631
48,6116,41.11103187981671,5.034741448006721,0.2104592400524295
49,2659,41.12299930984808,5.0208867991066315,0.21225664572984074
50,16562,41.14011221065175,5.00114146951468,0.20876177684981345
51,18414,41.23690771448292,4.890909078650184,0.19696123682108146
52,4968,41.235442418775044,4.892559534162264,0.19644268570666917
53,877,41.2615978135046,4.863182633618387,0.18333868389188987
54,13824,41.28208808540511,4.840291891178255,0.1756640407343693
55,15834,41.3759939804373,4.73675544285992,0.19028779559881126
56,10682,41.37357125918305,4.7393985894049315,0.19119320095148706
57,14305,41.370577791619226,4.742666447296788,0.19085702741517668
58,9941,41.376637390653244,4.736053741313432,0.1966049083756725
59,15848,41.38340929906533,4.7286746168631915,0.20000299370750793
60,11925,41.39829147749336,4.7124983713266175,0.2134312266847281
61,11460,41.40511274824064,4.705102468938766,0.21509921563287865
62,8691,41.40516811480435,4.705042485746272,0.21504142486062824
63,16624,41.40664882106176,4.703438597456394,0.21306190257358956
64,10434,41.42345632163182,4.685271138064975,0.21885546599920033
65,1080,41.49801749962067,4.605519345569751,0.23828475774158475
66,3560,41.49676275460951,4.606850144723336,0.23792821883517556
67,20046,41.53270342736786,4.568882803800757,0.2554941255046095
68,19070,41.53254894384595,4.569045327086152,0.2550801637554938
69,16524,41.6473128769929,4.449887927077382,0.2624827984281837
70,3614,41.638391175132064,4.459038717933173,0.2549024375540469
71,7299,41.65016588376565,4.446965626243655,0.2546857372520422
72,16347,41.64998274391127,4.447153156558487,0.2542571185609524
73,8223,41.65148320501245,4.445616957497586,0.2546958905146519
74,14090,41.70639474920567,4.3897611028109,0.26493595819560767
75,12851,41.70635109009329,4.389805232783678,0.27164114807135803
76,10435,41.80929051835931,4.286978535378555,0.27683008195610515
77,15978,41.834324631351365,4.262338115646755,0.2900077392083712
78,18172,41.836973220841855,4.259739477465604,0.2911780776231441
