step,action,psnr_value,mse_value,ssim_value,rank
1,172,5.885964101477135,0.2579495298105949,0.030931666612990835,1
2,683,5.9219997305198815,0.2558128588632134,0.03211995253561211,2
3,3141,5.088259956197611,0.3109869894530704,-0.009550470493117153,3
4,0,5.2450488604432985,0.2989725489331453,-0.021268064024683012,4
5,447,5.199228003818003,0.30214290419792367,-0.023452741008736726,5
6,914,5.077059399789644,0.3155891308006502,-0.007074657158402223,6
7,201,4.465313597221909,0.37183396176185474,-0.018246139382419736,7
8,218,4.430033410116115,0.37956727995949374,-0.019682806986199505,8
9,222,4.722524045262396,0.3488958616666034,-0.08166275417186392,9
10,673,4.765562435827041,0.34318058164339693,-0.08091426544053529,10
11,446,4.7557529804363154,0.349329745225007,-0.08782674104541825,11
12,1118,4.760856039446498,0.34914415484334693,-0.08886517905024185,12
13,436,4.809001646754361,0.3471599415365632,-0.09354180463038113,13
14,3138,4.805222154428406,0.34506343185472826,-0.08770798701254284,14
15,2684,4.804900718404063,0.34508465368579166,-0.08771311501383912,15
16,13,4.697789558278586,0.34974067632293127,-0.0661473947721044,16
17,422,4.591375928660102,0.3621113695568622,-0.07789513787816996,17
18,895,4.5819819707061695,0.36465218734753113,-0.08526177309528502,18
19,220,4.581515994105976,0.364714479879285,-0.08528188710885996,19
20,103,4.599858947087957,0.3628888865894764,-0.08562424315628873,20
21,3470,5.777811755780723,0.2650071836005934,-0.015147097605983003,21
22,1224,5.8320342381106896,0.2620605380768757,-0.013808098708242077,22
23,2014,6.13157159849135,0.24396569011209993,0.012777520516167061,23
24,2245,6.142928877182074,0.24325959523428595,0.01585774421761834,24
25,237,6.221875793498665,0.23930528917536673,0.007951949387240507,25
26,1108,6.2869464642560455,0.23570746049367491,0.011522203631830995,26
27,1568,6.348601346072394,0.23235629783699016,0.006390118776051483,27
28,444,6.33997436108192,0.23297070745490525,-0.005193520972951819,28
29,3592,6.332105213208918,0.233453752695248,-0.0020403557808788596,29
30,686,6.318389950456178,0.23414309967118715,-0.002411514887467196,30
31,14,6.339756685324342,0.23306379569909502,-0.0027229205746820756,31
32,721,6.316422855102736,0.23499639343471984,-0.009930170447432387,32
33,1343,6.303723707721169,0.23616019398339896,-0.014042392593684129,33
34,2736,6.357330550850644,0.232697862127221,-0.01092783233878853,34
35,23620,6.5873091827774575,0.2210076029603628,0.023742331235728085,35
36,446,6.65113472364265,0.21890123753536878,0.013607246671363479,36
37,422,6.651380794818744,0.2188881090632814,0.013591187197989938,36
38,625,6.6524472868010935,0.21896035696195568,0.014325540863125406,36
39,672,6.631929626928605,0.2208518715307522,-0.022294607679714806,37
40,2917,6.666139767539198,0.21897509637734308,-0.011467341635398247,38
41,17097,6.687346615016176,0.2183193998279128,-0.011773419754769148,39
42,2920,6.689890590319153,0.21849520301015649,-0.011634575846891598,40
43,222,6.69451851822966,0.21834942345908648,-0.012343477717978175,41
44,218,6.700836674534775,0.21820723188907723,-0.011735943279940696,41
45,430,6.695143241145802,0.2187761659118544,-0.012724730187906494,41
46,1651,6.705168553698434,0.21857443479600008,-0.01356695579202403,42
47,215,6.720714924329762,0.21805945243568114,-0.011039909209579122,43
48,441,6.706502268363153,0.21751251895464993,-0.01850352263489795,44
49,1123,6.72051336991392,0.21709664148893082,-0.01428044954423751,45
50,10346,6.711365101173243,0.21823537495757325,-0.01941363012313668,46
51,898,6.761766873305256,0.21529448851895608,-0.005528415188168792,47
52,222,6.7581207343046295,0.21584518659402827,-0.007645578957619251,48
53,5,6.761454588820398,0.2158053340502195,-0.007153015562271217,48
54,672,6.755216153409611,0.21655232448289977,-0.007705581297345648,49
55,226,6.771298224914162,0.21530634654373101,-0.0033945837339711443,49
56,12,6.777716409516625,0.21480971371818902,-0.003133653658137981,50
57,1109,6.776666747956225,0.214880360110806,-0.003124856083408336,50
58,228,6.780540693444613,0.21440928270832355,-0.002519604036980035,51
59,2471,6.781600204125642,0.2143102471676949,-0.0024395744813165894,51
60,56,6.778739237471957,0.2141623130528264,-0.0014239313183018894,52
61,3563,6.892618175363191,0.20820246195401895,0.030135965088011876,53
62,445,6.892591570874234,0.20802259068100726,0.026615483644125103,54
63,672,6.892193390098498,0.20802514891242152,0.026677274996709854,55
64,2910,6.899669042326063,0.20756687192742115,0.029563940637555842,55
65,447,6.899393136149927,0.20767973259290473,0.028481998251251906,56
66,445,6.8993343546604455,0.20767826686542645,0.028440861099496995,56
67,238,6.899128380698175,0.20768150986082926,0.02847841570424239,56
68,666,6.900786644057639,0.20761847842042944,0.028456869554540968,56
69,8,6.900716830352227,0.20760207373495657,0.0284233690583861,57
70,2247,6.909665114226708,0.20738493721478504,0.031344732514783015,58
71,223,6.9103331253931515,0.20733977519751376,0.031618284311532234,59
72,448,6.910136037674992,0.20731566563171136,0.030780820899125108,60
73,2915,6.909482738531649,0.20741087330450278,0.03178247903243865,61
74,1123,6.905070641366036,0.20771089017884348,0.030709837222251225,62
75,874,6.902227882335365,0.20795131694539937,0.02959573003360701,62
76,447,6.907172815934251,0.20726924218902482,0.030314851370073347,63
77,427,6.907164543305982,0.20727012476599574,0.030305422788598914,63
78,2922,6.933053329074392,0.20599778751756637,0.03357152574096375,64
79,3364,6.9595883140124,0.20507814628971194,0.03285232417797328,65
80,2246,6.950089218557269,0.20518096606237668,0.03204973397244754,66
81,668,6.952010764237545,0.2050796460885375,0.03274573769793274,67
82,280,6.953782854558568,0.20502439898465116,0.03344931781724445,68
83,3371,6.968438577162038,0.20457651236262586,0.042371589820346944,69
84,1118,7.026945263373097,0.2021862531674461,0.04335225350482953,70
85,2922,7.029465935002943,0.20194115356016376,0.04376127681233848,70
86,671,7.040117586746037,0.20158714134367137,0.04342831164171368,70
