step,action,psnr_value,mse_value,ssim_value,rank
1,9100,6.000266682386101,0.25121365793702777,0.04241137459808294,1
2,20532,5.923821843232383,0.2569157046681784,0.04678856941962624,2
3,22275,5.934631551611593,0.2562012766061744,0.047143720377302044,3
4,3039,5.953094803908966,0.2561082666193609,0.03301262052006056,4
5,2528,6.012132410242441,0.25056003137050603,0.038479120915565636,5
6,15310,6.00799671021476,0.25087763948049385,0.03968015636182195,6
7,10811,6.029802268658907,0.24955065039691313,0.03681831569329266,7
8,4494,6.038175036416101,0.24903201204026615,0.029602240036380092,8
9,18770,6.038868492360228,0.2490351689478279,-0.011488351895656149,9
10,14207,6.031952894833933,0.24939983848876654,-0.017513973055942413,10
11,12791,6.034412168198605,0.24950207042180095,-0.010408806640168211,11
12,21005,6.026357725271339,0.24980777400912074,0.003697062818869203,12
13,19094,6.017388548872853,0.2503636592649279,-0.0012552058523980826,13
14,24817,6.093679333222509,0.24595883742911603,0.0009500543885656493,14
15,15142,6.109052540857909,0.24578762788878003,0.019260795403376715,15
16,16080,6.097901184772116,0.24714108073455918,0.01676962865919385,16
17,18841,6.152697665080965,0.24273728587511045,0.04294886835962976,17
18,4280,6.169309280342383,0.2420089310535032,0.0563209462664239,18
19,349,6.186428545436265,0.24103485784586182,0.06154498784549722,19
20,14296,6.278187474244793,0.23603428859366588,0.07630079229101278,20
21,18349,6.2863763097747665,0.23553573210788326,0.08288877815695075,21
22,1698,6.289549267833027,0.23509792777461339,0.07334233042489348,22
23,9139,6.2913239893137,0.2350823880772681,0.08150671225956135,23
24,14697,6.247339239488003,0.23915958670262186,0.09014147690737027,24
25,1799,6.248847328090472,0.2391165446515463,0.09284934846794672,25
26,16925,6.251419659455357,0.23897048589489295,0.08209394660786802,26
27,20067,6.277061717166767,0.23763915233210223,0.0885468526683182,27
28,20359,6.367173779134304,0.2327618482661123,0.08274810151149499,28
29,18586,6.395071724781566,0.23201301927328608,0.10665460131914792,29
30,1333,6.394156789519157,0.23236394241578542,0.11047848059901463,30
31,17527,6.421899085667581,0.23085315631207265,0.11867941391029509,31
32,713,6.430320241453495,0.2317138594355215,0.1375930821148973,32
33,364,6.427912290283465,0.23189685269356794,0.1363093823688612,33
34,20469,6.415978911747258,0.23287958847272283,0.1326253714232968,34
35,21810,6.453568135589839,0.22901198815451354,0.11471703567049103,35
36,463,6.464729805625059,0.22602068070064302,0.10896746442837538,36
37,25026,6.587421150547943,0.21964663583422736,0.09799157025282991,37
38,12281,6.55641018329248,0.22115366829858618,0.09156814322381765,38
39,14066,6.581430833643738,0.2198903743804382,0.10759561836711648,39
40,8420,6.667227614277442,0.21566190868813104,0.160232297473338,40
41,18063,6.700581538723264,0.21397036046740892,0.15908055185928166,41
42,25134,6.700406090724953,0.21397791357050652,0.15853207209486173,42
43,18905,6.689028003417984,0.21454616615828986,0.15730248544472653,43
44,4282,6.692350243477206,0.21441468894728227,0.15995073122404652,44
45,6698,6.703974632316393,0.2138562941248172,0.15947165007490005,45
46,4810,6.732706122855889,0.21247657809577694,0.16146095698076932,46
47,17108,6.734446318945925,0.21239200031042843,0.16265040911639703,47
48,24229,6.744312162203054,0.21202632680673295,0.16960467317402791,48
49,8604,6.798310767707517,0.20928082360333652,0.17406716603072123,49
50,1815,6.799730020080011,0.20923106437406577,0.1750020288285688,50
51,10808,6.795467711511195,0.20945339540942295,0.17439669071003194,51
52,11748,6.802536768832221,0.2091722031782161,0.17250893039511633,52
53,10342,6.807878269937567,0.2088291815711659,0.1744632910846885,53
54,13523,6.7671490755465955,0.21075819854683345,0.17932480365507206,54
55,8519,6.770668533610254,0.21061464481743725,0.18074181038673653,55
56,7022,6.786160702935925,0.20987144986238782,0.18251178304779483,56
57,12474,6.787621743001733,0.20982670521744143,0.18415315372734192,57
58,5042,6.80864197911845,0.20887212276121883,0.18760646848496537,58
59,8752,6.808159586053758,0.2088941455984168,0.18753974212324895,59
60,5799,6.832278578104077,0.2077849864065811,0.19015096840140125,60
61,9258,6.916948934953739,0.20392438734135637,0.20345441299819259,61
62,7772,6.918612222469439,0.2038911971377529,0.20358748864403045,62
63,5058,6.919218069214415,0.20385926330445203,0.2045449227776918,63
64,4652,6.920613682722588,0.20379803481564668,0.20522635946855713,64
65,24754,6.9324050912589446,0.20353217253332925,0.21110572867701097,65
66,11462,6.936322732188436,0.20333529256842486,0.21090390050986116,66
67,14765,6.947152261086201,0.20282319161394827,0.2092863527072657,67
68,12323,6.976254190576303,0.2013746908483427,0.20919035669081404,68
69,9000,7.115680364744615,0.19501938514243844,0.22080224873637028,69
70,15476,7.13105611742087,0.19427727179567664,0.2217485516221816,70
71,1023,7.1801438242294635,0.19202115396009423,0.22628641341060673,71
72,20983,7.187367820935677,0.19161711311826043,0.2235243672134151,72
73,4111,7.195178659231868,0.19130548932064642,0.23169835998981794,73
74,13490,7.2150632008800075,0.1905317578156759,0.23676448288399518,74
75,1058,7.361125967145476,0.1842148668265604,0.248556310764916,75
76,11981,7.385110898613464,0.18313121832754536,0.25267447446224583,76
77,10774,7.38523134927317,0.18311928803545052,0.2526819375769486,77
78,4621,7.382923832740503,0.18322696589816947,0.2518274422074735,78
79,10120,7.3828284901595715,0.18323196956063176,0.25180092498830203,79
80,17233,7.4093295911299,0.1821331145029108,0.24703895523917918,80
81,17295,7.4521078811688515,0.1805008300125006,0.2807365406827429,81
82,4482,7.550545684344963,0.17639241897278757,0.2784170246951996,82
83,18778,7.565968212590968,0.17576509558568232,0.2797539568638234,83
84,5348,7.541553318786045,0.17672907931238332,0.27490578434573665,84
85,16549,7.595964314985656,0.1743327814085048,0.27756707135764874,85
86,593,7.56397992187047,0.17570180410666467,0.2668752233226579,86
87,23904,7.5875396384081455,0.1747157531633362,0.268555295198381,87
88,14265,7.594153082001278,0.17449716736417203,0.2727693455972738,88
89,3457,7.59219883181283,0.17458273401627372,0.26906205216987694,89
90,6882,7.5943734559516045,0.1744913480977158,0.265865811572752,90
91,913,7.594291792683339,0.17448553360106303,0.2647424313616459,91
92,16932,7.5847157230011675,0.17490112767693178,0.2635235341649798,92
93,18210,7.583652530439812,0.1749434675956435,0.26281316932954696,93
94,5794,7.59213781784946,0.17460905166540563,0.2608506156930773,94
95,3532,7.60628567603198,0.1740341456322596,0.26539276835419157,95
96,10284,7.603991086560809,0.17412504469086337,0.2642675429166735,96
97,14201,7.602978847244545,0.1741729932304273,0.26360650922946116,97
98,24193,7.615408190299664,0.17365762141636493,0.2644687463647104,98
99,25024,7.961401321072351,0.16093767647789914,0.4348381482386166,99
100,21594,7.967899016263807,0.1606724529385714,0.43720449368739284,100
101,15486,7.9860245706087865,0.1600124601287421,0.4385487231510062,101
102,943,7.987298852713273,0.15995990569386923,0.4389739744367888,102
103,19962,8.000805793632368,0.1593647124660497,0.4396546789556201,103
104,2573,8.043059962929828,0.15803468136643076,0.45508362946958497,104
105,2631,8.071922048579408,0.15702667434822384,0.45490117204233144,105
106,14540,8.072903253128924,0.15699009731162802,0.4551251328802114,106
107,15490,8.083869623260806,0.15664798655567652,0.4562232670474154,107
108,4355,8.108702129396033,0.15585937943313244,0.4574060579080086,108
