step,action,psnr_value,mse_value,ssim_value,rank
1,1574,5.263122317668278,0.31108921719842997,0.005830785243456706,1
2,9,5.315115909976299,0.3232090655154102,0.008346369681768936,2
3,20,5.383926124777303,0.3837589647953784,0.019889959025468036,3
4,8,5.431551692956825,0.34179692746281837,0.022255241672255937,4
5,21,5.416267779642809,0.3433364158809117,0.016961895900246753,5
6,439,5.503101703438423,0.3279657766158218,0.027045146053531113,6
7,2249,5.501318156392635,0.32864025155299803,0.03132182121266131,7
8,19,5.461869248556235,0.3528486478731159,0.029268783045337293,8
9,0,5.466182619026764,0.35244237227366193,0.032960474346161124,9
10,439,5.5130314512718055,0.3395389540890873,0.038781209194908794,10
11,2265,5.513031180489747,0.3395389716090204,0.038781189161174054,10
12,2015,5.254287793568614,0.36532695170000845,0.020638324381703592,11
13,1123,5.419869760401914,0.3722682729748549,0.020543723135849835,12
14,1338,5.422891182900669,0.39108056267946684,0.01743373363185234,13
15,230,5.4901141208976085,0.38319622690969457,0.02407934282755709,14
16,687,5.434049008962315,0.3666144496580613,0.03150415895167188,15
17,891,5.417136239978484,0.38848495198271243,0.014515478730876448,16
18,2268,5.473196951509091,0.3886596911951359,0.03449839257606147,17
19,673,5.549967823512553,0.38292406723841077,0.039903973492763874,18
20,2922,5.512611492846142,0.3622804397654128,0.02997148484228672,19
21,2923,5.556910742639683,0.37520220365138673,0.04366147180773123,20
22,448,5.690278639262354,0.3645065450005806,0.04867195396583843,21
23,244,5.477217948482317,0.3711251044929601,0.026840642184694365,22
24,235,5.525970434318824,0.3801308441649845,0.03195321267020967,22
25,1346,5.545186060209626,0.37773149379617493,0.032975639558160734,23
26,442,5.562732383595721,0.34201996638103477,0.013996453692717174,24
27,231,5.499668542082011,0.3550966566755617,0.01637023235390565,25
28,246,5.5370767087407895,0.35868700460356606,0.022923305498655514,26
29,458,5.616721397839224,0.3507556980180435,0.04092587713733112,26
30,2016,5.520065918957147,0.3363635943790256,0.02935834735449429,27
31,661,5.559269002747717,0.34670534506042716,0.016784221791467994,28
32,3366,5.750855072515488,0.35542048307421187,0.030919694163088252,29
33,3820,5.716774727828769,0.3379356275414634,0.09487013688260817,30
34,2683,5.6849352404281746,0.33800123725318104,0.07041421110231696,31
35,2055,5.434863954653882,0.35055955280447987,0.002031740480844406,32
36,662,5.795786448629638,0.31343289330080737,0.08105572291631676,33
37,1793,5.795731970744949,0.31342230603461385,0.08105389255025436,34
38,236,5.7262168743603645,0.36679331286781935,0.016636192729381983,35
39,3146,5.940833542667628,0.3577955804908571,0.0777471797496161,36
40,470,5.980211737937582,0.34259748588679295,0.041249750159432726,37
41,239,5.922013380194432,0.348864192864647,0.03688402793455392,38
42,1566,5.871528036876499,0.35496315363671405,0.039451025125521406,39
43,2225,5.88601106410762,0.3402530008671132,0.03219917047290448,40
44,2016,5.9459347140767544,0.3138446546448339,0.039572329176434926,41
45,226,5.80818452169459,0.3380841043675554,0.02489933237610218,41
46,459,5.813514970438149,0.3447259554608712,0.026248331872892272,41
47,690,5.842755795469627,0.3317913245251207,0.024227407237183533,41
