step,action,psnr_value,mse_value,ssim_value
1,993,37.23519031842769,12.290267317020714,0.0028635526633617437
2,17423,37.17962235650231,12.448531575278622,0.004306843906928275
3,35,34.51782989278158,22.977214131908948,0.004510306953872801
4,6,34.020103910299255,25.767362654223447,-0.0030910615353683824
5,1280,34.2915900879076,24.205906537246427,0.009004492656836272
6,705,34.05396088380219,25.56726497884946,0.012347915534244991
7,19,33.76579721692917,27.321254648943263,-0.008344911067579132
8,302,34.06320260441335,25.512916074638756,0.001719747675158225
9,150,33.92074572069738,26.363665262488787,-0.0007761332012621929
10,441,34.15275892738956,24.992198876553775,-0.0021174550346976535
11,18708,34.17687215282363,24.853819821767733,0.001043822797596398
12,15694,35.342926065634224,19.00149423772312,0.0036920821127645986
13,286,35.29746701064133,19.201433820599238,-0.004901399284285729
14,558,35.22378720080499,19.529972905883042,-0.017397933792245926
15,286,35.47329226287297,18.439584658377523,-0.013644087019560389
16,15694,35.21222299591572,19.582045767636618,-0.027174139136108735
17,299,35.47299834338408,18.44083264492251,-0.013526283810307824
18,1031,35.47289388047415,18.44127621634423,-0.012892357509379053
19,19150,35.260173037111386,19.367031421180528,-0.0008682738200702203
20,1294,34.60098046634856,22.541474146757253,-0.021680047076243384
21,12088,34.52867612841153,22.919901560194333,-0.005215139401731968
22,17278,35.086330359646496,20.157994617522878,0.0011804528347095311
23,1308,35.02830130590415,20.429146850787763,-0.004353840055970131
24,161,34.380391128749324,23.71598942350682,-0.02181246890251673
25,35,34.45768888664216,23.297615432369522,-0.05124994116566488
26,284,35.24052311714003,19.454857278574764,-0.01530551980313268
27,566,35.903238987037504,16.701537852204744,-0.01819464163385544
28,151,35.98807928725425,16.37843615582762,-0.0216691449927944
29,1006,35.63706715580662,17.757165617494195,0.003016618265926441
30,718,36.110554232646464,15.923001558194354,0.009240123348910946
31,574,36.096518766152926,15.974544528266076,0.02022267497727384
32,852,35.93221351199183,16.590482228792894,0.017824722653795994
33,732,34.85564933006665,21.257658595042358,-0.038227386920444965
34,430,35.94112809347089,16.55646256601612,0.004471135969170695
35,1604,36.2849202802974,15.296368335461466,0.02437778541182996
36,1749,35.824398798747126,17.00750005328247,0.0003762433135779381
37,413,35.79991768414096,17.103641795405437,0.03608954623814971
38,145,36.00470081416581,16.31587162002782,0.03273991507181644
39,1032,36.26822910042284,15.355269771776225,0.0342741180305476
40,1864,35.889903928182186,16.752898916110237,0.05295397471547317
41,277,36.55643699528329,14.369334718807872,0.042634658029653674
42,153,36.10733282883905,15.934816915895103,-0.0008427440676178401
43,146,36.02378851189981,16.244319009720073,-0.029856941337708706
44,17278,35.9188148621065,16.641745444062163,-0.01941098347818236
45,165,35.66238555683423,17.653946461528815,-0.02459712282839838
46,265,35.77547984431484,17.200155627587478,-0.03569141732969288
47,155,35.60217123863718,17.900420659228207,0.014140347535569213
48,574,36.05518415018358,16.12731043776627,0.03255634083698327
49,280,36.055188123531664,16.12729568294176,0.03255634083698327
50,167,35.93570355480044,16.577155272852277,0.005567534708165497
51,1176,35.95271211628433,16.512360029119808,0.003199238634585814
52,2014,35.60165970011176,17.902529204112007,-0.06254060915079512
53,430,35.76249245739285,17.251668927994054,-0.0017265983207467325
54,286,35.79739020803064,17.1135985481034,0.013003348978249764
55,155,36.333402402368336,15.126558128511205,0.11185688268002007
56,152,36.042771564535016,16.173469892484498,-0.006824420224450049
57,1143,36.03993904669895,16.184021853546774,-0.006907912320439021
58,164,35.984457665288645,16.39209998205262,0.0719041671846597
59,279,35.90446888040447,16.696808756349416,0.04941711949330049
60,1847,35.64560388821013,17.722295433792326,0.03331845990390407
61,164,35.93854570946108,16.56631022928046,0.11380395769359228
62,1327,35.01604996302206,20.486858345809143,-0.0598240152685425
63,286,35.717115571150885,17.432866475376944,0.03689894735058125
64,313,36.32815232146897,15.144855315879353,0.08455599058937374
65,310,35.97569161013716,16.425220175001975,0.08482848741487589
66,2297,36.297036146788315,15.25375428183285,-0.059020251711621
67,282,36.313474284857584,15.196127626845389,0.0847454326860871
68,2299,36.09595750044174,15.976609151202284,0.06860114917200734
69,1752,36.187778136370746,15.642369743695335,-0.04237957225806129
70,277,36.17788215436042,15.678053620070841,-0.040782593135395784
71,146,36.09393649189793,15.98404566697433,0.08572632648521146
72,17276,35.55624131697088,18.090735716700618,0.033508817312493056
73,19150,36.83839843831785,13.46605912676625,0.07596490089089941
74,280,36.120470708904584,15.886685201479736,-0.013047598061051711
75,17422,36.35979384841029,15.034914960893458,0.013046920674292079
76,161,37.007425246250456,12.952029837954898,0.10594310791092884
77,1422,36.92107493251547,13.21213089319656,0.03800946534104877
78,20435,37.17158362365058,12.471594979392222,0.17560153222423808
79,1870,36.66511158959766,14.014228744701178,0.03736539230465448
80,154,36.89001390122598,13.306963656299144,0.001046259816748821
81,17278,37.01096603490902,12.941474394027225,0.0026505893402631936
82,1610,37.01099778176801,12.941379792396715,0.0029176256754547447
83,994,37.18453319070951,12.434463212214897,0.038939747136683314
84,19149,36.88331237411842,13.327513265044391,-0.01288772636781659
85,285,37.013177917787516,12.934884916464833,-0.006254923769484198
86,430,37.242720351553174,12.268976248522037,-0.018350100388837012
87,284,37.28465128961118,12.151089841136903,-0.05220587693970278
88,18852,37.169437763030324,12.477758750383009,-0.04766229080740418
89,12238,37.33034064580119,12.023926042106739,0.09754488928375254
90,299,37.22507908872522,12.31891481212695,-0.08224490813228966
91,718,37.30022000907768,12.10760823174553,0.05051757587989129
92,147,37.55711780947914,11.41217913069482,-0.015415207926959905
93,566,36.47531477766838,14.640263154186975,0.08440488872685042
94,568,37.189004679170274,12.421667298891958,0.07051783010970433
95,409,37.12893231828916,12.594679751315466,-0.03983371113336355
96,1429,37.66634923686317,11.128725676810573,0.17485992674437692
97,13963,37.03793649237123,12.86135457974461,0.00596832862178881
98,146,37.93740451526435,10.45538210652592,0.03374993295445901
99,574,37.999145565421124,10.307795748815867,0.03071932740568528
100,7053,37.99330715166336,10.321662295426536,0.028014099535874082
101,1598,37.528992589208066,11.486325044332217,-0.019100479547075343
102,1285,37.91049723340841,10.520360876310857,0.024189902217399424
103,3450,37.46623626247395,11.653509502079665,0.022362090880433647
104,718,38.247280146865386,9.73536740698902,0.11369111209850484
105,286,38.49162716569724,9.202750425186126,0.146288841874195
106,1150,38.43107397242197,9.33196204209852,0.13409672039174056
