step,action,psnr_value,mse_value,ssim_value,rank
1,1756,5.301995245518981,0.29572813025646755,0.022507633852153965,1
2,8252,5.359279471743381,0.30902286587788197,0.022388148458372906,2
3,22196,5.297425228082879,0.300433455010729,0.018757242029960836,3
4,14785,5.234893479164587,0.30471944361539965,0.0034607804925065005,4
5,5461,5.174195546213896,0.3089392091213489,-0.011121025165379347,5
6,23610,5.1729520888404945,0.3089125973681368,-0.014466909631347195,6
7,1446,5.232092331542101,0.32112823601429225,0.0012456576391584016,7
8,18713,5.232073583076042,0.3209873563721087,0.0011681752750906118,8
9,1776,5.232088666652526,0.3209862611309151,0.0018470734287261124,9
10,12066,5.234584042148302,0.37093608971345343,0.0029628595871838983,10
11,25006,5.238143069881786,0.3411310549653015,-0.002456169229091027,11
12,19049,5.2386980051992404,0.3416801312720417,-0.009299491637750927,12
13,15946,5.1747531123917945,0.37829803735741385,-0.014761310112400613,13
14,18127,5.339067582337207,0.3275669715377645,0.04400310673278149,14
15,76,5.425672129591714,0.3241254274901403,0.10833549144134595,15
16,8826,5.379962539325965,0.34096662670220046,0.10563043764629396,16
17,18597,5.3162567300634915,0.3451287542423422,0.09873734814512494,17
18,14644,5.1120774778053715,0.3462303705871693,0.057374126580237876,18
19,22995,5.1701248277296035,0.3352987528341513,0.056902409191883045,19
20,20841,5.595841319835602,0.31194441473038775,0.1767531720263235,20
21,4092,5.49744171820293,0.31761577834691135,0.2103799827245695,21
22,4870,5.6838208269640305,0.3026375813780146,0.2227534038805833,22
23,7332,5.489589391279903,0.3266790581637921,0.1010289725762326,23
24,20190,5.238007570562619,0.38243999398029277,0.15271256529792565,24
25,14524,5.42633657454199,0.3429104746051099,0.18941396261934265,25
26,15179,5.449578795137356,0.3425299901466142,0.19075236843876164,26
27,2203,5.548137156099955,0.3205046721348093,0.14087912313080805,27
28,10832,5.454478703715328,0.32269629067961014,0.1688474513584956,28
29,7571,5.457431871626003,0.32163947418776095,0.17360437149068889,29
30,19204,5.585273810408795,0.3024518218460283,0.1464783387257808,30
31,17740,5.636617041780312,0.3016605161135468,0.16738034636891888,31
32,22870,5.625199479808154,0.3011397770384784,0.18982365018897446,32
33,14017,5.765720660502454,0.28883100552390645,0.20098458684611117,33
34,5415,5.791246693841881,0.2846976295097626,0.19486623231764685,34
35,20080,5.663676761656613,0.295298834511357,0.26934090396553706,35
36,11312,5.449414594336252,0.3147367297067586,0.21626322675491313,36
37,12536,5.456814971555185,0.31434128469150147,0.21682346010733455,37
38,1027,5.475938368955084,0.3105654360716431,0.21856918497744765,38
39,24728,5.4875897036764325,0.3064571597435223,0.112126373136772,39
40,15306,5.335269505789415,0.3536585008166968,0.13120138898255188,40
41,12898,6.037719142948123,0.27646558598532517,0.2772929393729321,41
42,20875,6.03771766657702,0.27646568653436265,0.27729152978327537,42
43,5897,5.995689974008473,0.27943377089570987,0.19486804125637497,43
44,19433,6.033020013665311,0.28307280455081746,0.21949300314098952,44
45,17060,6.089891235114325,0.2776577415070163,0.26614580009009486,45
46,18317,6.170822631376644,0.2765504598862682,0.27100177869232006,46
47,17875,6.1527305651419955,0.27895395423534486,0.2699455370454821,47
48,21183,6.091817375263129,0.2790720335334746,0.2288492441601754,48
49,7826,6.120425556280069,0.2789663091445276,0.23098708751627633,49
50,8622,6.13175116280925,0.27793639980765383,0.2325434470069912,50
51,24800,6.039761843202573,0.2826539353557687,0.20073653404666006,51
52,6846,6.272404159884571,0.2591072579080943,0.20353956934416573,52
53,9678,6.171962990496142,0.27264055724914665,0.2552132486254807,53
54,22974,6.330482488010696,0.25749431888482394,0.33558422764331797,54
55,23677,6.314542503568433,0.2624151134500589,0.30742590244304063,55
56,4,5.850210991588605,0.28798272653004137,0.18450619063574555,56
57,1630,6.422943896689139,0.2540089027512567,0.337122337058906,57
58,6352,6.557647156820593,0.23715797905928787,0.3084995955321556,58
59,1643,6.300704604458187,0.25055455076214955,0.19507282976528895,59
60,18757,6.51408171042587,0.2438393202852722,0.3055770177755023,60
61,18146,6.285944406486747,0.2586468993745809,0.2909868653539702,61
62,20376,6.519275836230066,0.23097048808872941,0.23055171550057182,62
63,5960,6.846915023663632,0.22113934016549372,0.3737651782776154,63
64,6469,6.288128628039553,0.250655792904508,0.16057285758797848,64
65,12680,6.294688051334938,0.2607186269192535,0.1851227786003884,65
66,21051,6.499908344028251,0.2477304100025731,0.22289763950844824,66
67,10409,6.513758899776098,0.23409474108027403,0.2232190201815489,67
68,9024,6.533077484670665,0.2339857858914605,0.233761920606062,68
69,16452,6.519818561509569,0.23408239789414406,0.2242301141559277,69
70,5080,6.416929716286307,0.2394735388608463,0.2351620704306483,70
71,13899,6.9907925209892765,0.21167296262099775,0.4225732055461172,71
