step,action,psnr_value,mse_value,ssim_value,rank
1,899,5.325455500990195,0.29364092388569285,0.012968523715673022,1
2,30,5.397343947133439,0.2888134745519138,0.023790392179317783,2
3,4263,5.419717684851561,0.28732828336308247,0.02209250738776478,3
4,2246,5.434546364807915,0.28634413166634254,0.01842815973261802,4
5,2913,5.466686455181292,0.2842259738802548,0.014079234782957643,5
6,1347,5.515513750029644,0.28104781602959406,0.016075373626438766,6
7,3585,5.53156788738748,0.28000591504613115,0.011015804992292464,7
8,2919,5.909743947346183,0.25744676859566146,0.017921467995435588,8
9,441,5.927698832432627,0.2563824137805483,0.01965085822691618,9
10,1569,5.951585726859961,0.2549769888357734,0.023089457179243655,10
11,916,6.126365367281448,0.24494924527283618,0.008723579012049185,11
12,240,6.145345106280425,0.24388532547706043,0.011102464719347246,12
13,3372,6.1607389110336666,0.24361967724592123,0.01284469868256048,13
14,2698,6.325229300318761,0.23461279180149988,0.01203868249227521,14
15,682,6.358445614027516,0.23282798605476482,0.013739897788888402,15
16,249,6.423618900643114,0.22934883855998311,0.018609046308043792,16
17,1787,6.435918445606149,0.22837887241222365,0.018462204422888033,17
18,891,6.457401903050259,0.22726439017378033,0.015554658255614754,18
19,227,6.477538104859048,0.22628049065982586,0.011976210981376289,19
20,671,6.6244921895911535,0.21795691696378489,0.024942695463308663,20
21,2248,6.627267397625287,0.21783581016711695,0.02481303890513348,21
22,1122,6.628561111699342,0.21777720114248433,0.024849887339140272,22
23,448,6.633927277930031,0.21750735333297838,0.023898813664410948,23
24,662,6.633900737222223,0.2174951006909824,0.022859930500799278,24
25,2470,6.649067827168633,0.21681268803199388,0.03268058875112447,25
26,2023,6.648996796887556,0.2168124450729767,0.03267471593077117,26
27,671,6.648924309403855,0.21680783234795664,0.03280116995903182,27
28,235,6.648923360312002,0.2168078192130653,0.03280083077064379,27
29,2465,6.728084893817964,0.21309153372565826,0.04001187585177006,28
30,448,6.753982984690998,0.2119186343682716,0.03843493865065497,29
31,2455,6.753985807846763,0.21191855100311152,0.03843552634952961,29
32,671,6.852462280315411,0.20705489312935033,0.047995878556394554,30
33,1571,6.8524627116229775,0.20705492254005478,0.04799586810793679,30
34,673,6.912099446338617,0.2045101991280188,0.05189396899007108,31
35,235,6.91325297368018,0.20442331039242276,0.053787531538194,32
36,249,6.9132520065696115,0.20442331206557846,0.05378760205093834,32
37,1568,6.913253294494476,0.20442328697043297,0.05378841082000357,32
38,1971,7.107707195499153,0.19584594592813775,0.055566770982170326,33
39,645,7.182558964867647,0.19241969219009553,0.05310281986557127,34
40,477,7.194605130009509,0.1919314743864929,0.04644474044021087,35
41,6069,7.206863995163216,0.19140534146449548,0.04829847333609056,36
42,477,7.211735929568617,0.19131379224686484,0.050171285900248885,37
43,2923,7.211736727695239,0.1913137831203994,0.050171488779544436,37
44,446,7.21398464490275,0.19127016866344304,0.05000890833887803,38
45,3174,7.252425493280211,0.18956050111302963,0.06053853829957535,39
46,448,7.301820191289856,0.18721977046552132,0.060890366235302654,40
47,3823,7.301815008689251,0.18721983786427038,0.06088958689917048,40
48,898,7.302517245480966,0.18720875446464813,0.06085265830819569,41
49,388,7.310169778398304,0.18687894482773182,0.06657970316259924,42
50,239,7.309315531341737,0.18663211588356907,0.06920234112415605,43
51,2023,7.372847797628897,0.18399687093348777,0.07835936051093138,44
52,1798,7.372849562876976,0.1839968861115173,0.07836037108143473,44
53,3148,7.392148465238806,0.18318141765904258,0.08055706640806716,45
54,447,7.431031175765625,0.18195952017331785,0.08034713779427025,46
55,831,7.435035232025353,0.1817722831818749,0.0811354544091438,47
56,2737,7.439423723886895,0.1815997183820278,0.07851565490970808,48
57,233,7.457157532590774,0.1805604843722473,0.07696124493070187,49
58,442,7.460462495143226,0.1804091381802302,0.07753800579961641,50
59,673,7.47447827269104,0.1798173534382718,0.07594459195904622,51
60,233,7.474482590722397,0.17981734028704308,0.0759451642578835,51
61,2688,7.474477468370207,0.1798173279231458,0.07594567690751086,51
62,448,7.474685019847134,0.17981647972081483,0.07622331330432479,52
63,664,7.474686072431399,0.17981648425050942,0.07622251101169471,52
64,2013,7.4756249089124704,0.1797893239609047,0.07637297833380627,53
65,440,7.526303096419151,0.1775959400725411,0.08570563182277476,54
66,448,7.526553474787075,0.17759551913134014,0.0856584980154135,55
67,2698,7.5265465668085785,0.1775956053299968,0.08565483367103917,55
68,1115,7.526547925437735,0.1775955210559151,0.08565612083161568,55
69,664,7.5265607081182715,0.1775954465606435,0.08563519019960598,56
70,252,7.52656167675716,0.17759548462628205,0.0856351173929273,56
71,673,7.55860134239601,0.17657166686487036,0.08578640798975759,57
72,448,7.558602246926775,0.1765718311965611,0.08578451008767364,57
73,2720,7.558600766161071,0.17657181197404012,0.0857834785909978,57
74,2021,7.571114670699957,0.17607416402470707,0.08637978864949167,58
75,2473,7.573087923504527,0.1759964853288279,0.08622315951353558,59
76,3823,7.5744797413954235,0.17592562016241403,0.08547508850488837,60
77,673,7.574485784596545,0.1759255116357952,0.08547709142822774,60
78,1123,7.574480572065344,0.1759258111555068,0.08547474441787424,60
79,17098,7.590043086536607,0.1752963113611733,0.0837251249620859,61
80,1120,7.593407458935005,0.1751481481821047,0.08594701254796644,62
81,829,7.613178551854851,0.17450996767140528,0.09319610941365207,63
82,2021,7.614150780918713,0.17447843818849318,0.09360578822268996,64
83,226,7.614147414868083,0.17447836906671194,0.09360587058072461,64
84,666,7.614038573187907,0.1744178330883185,0.09299522053807603,65
85,898,7.626507125507062,0.17424367739286248,0.09849091792211374,66
86,601,7.626521148705125,0.17424322835374303,0.09849100469512234,66
87,2248,7.629271718286584,0.17416910181467016,0.09785114004550852,67
88,17098,7.629248464317863,0.1741691328363728,0.09784248859164184,67
89,2950,7.629253317544073,0.1741695586783835,0.09784233216608988,67
90,1795,7.638652228659724,0.1739703523236856,0.09792776047885764,68
91,3359,7.647003976508014,0.1735890999529076,0.09409254480675748,69
92,226,9.044620313775095,0.12593871006311508,0.12420234607169606,70
93,1348,9.044644184389359,0.1259386407635267,0.12420653144297152,70
94,448,9.050115856775616,0.12590207594127178,0.1250182277859338,71
95,1572,9.050139722136667,0.1259017759747498,0.12500594264623308,71
96,2698,9.064917855892599,0.12550847271553484,0.12941105987220175,72
97,397,9.064861913244687,0.1255083529271618,0.12940416847387082,72
98,669,9.062731647388354,0.1255011858039335,0.12803539251168666,73
99,245,9.107339256586876,0.12383981762519593,0.13059639967213793,74
100,2014,9.125002060209745,0.12324664464190062,0.13502740621164244,75
101,1789,9.158168059654837,0.12232725587385113,0.13600607627766284,76
102,232,9.169140758230572,0.12201824298966912,0.13806742481537337,77
103,474,9.16910320868168,0.1220184534129159,0.13809336003659387,77
104,673,9.169116164774584,0.1220183078988327,0.13808888592519977,77
105,2473,9.169099229190916,0.12201859093836188,0.13808961303375836,77
106,1084,9.169117160923037,0.12201822425405812,0.13808768402666544,77
107,4272,9.175293145492041,0.12184941252806548,0.14044121453645622,78
108,2241,9.175456502818585,0.12184361655136572,0.14030203608277067,79
109,1832,9.310892331586047,0.11816284107276791,0.14630005121384204,80
110,671,9.340080697316548,0.11743944043282485,0.1525235514024508,81
111,692,9.340056139545194,0.11743956156516154,0.15253478667932643,81
112,231,9.353022916153527,0.11713022630375147,0.15054761349954618,82
113,6743,9.59328853994019,0.11082464861593987,0.1618834863206377,83
114,3598,9.592920352518323,0.11082127424216331,0.16201186094388073,84
115,1798,9.594339829964172,0.11080473529640324,0.16243265546375524,85
116,3823,9.594351559941016,0.11080441110846752,0.16244263944885073,85
117,2248,9.594362555404853,0.11080424883326746,0.16244741256539227,85
118,3373,9.594299432595578,0.11080518023585559,0.1624341261354309,85
119,2750,9.600644652782412,0.11062883947126434,0.14615602067004183,86
120,23848,9.456152026324048,0.11438007633644039,0.1515645651941106,87
121,448,9.45804805512872,0.11433819653595255,0.15385318626806085,88
122,3369,9.458028527637703,0.11433796612773736,0.1538221708630984,88
123,471,9.458704741604482,0.11431553600753211,0.15412219506156746,89
124,1346,9.484557059643484,0.11382314499096051,0.158579970393608,90
125,665,9.48603268960266,0.11380360077361008,0.15988673266227357,91
126,665,9.490481678081798,0.11364461244995958,0.1593629132704687,92
127,898,9.490375338838104,0.11364834175172338,0.159378189495807,92
128,2017,9.490413519789549,0.11364776810392303,0.15937923179471505,92
129,3598,9.623218408756015,0.11052299534691518,0.16344370885770446,93
130,458,9.623196939131933,0.11052305529307435,0.16343722550400663,93
131,1120,9.624529555040741,0.11050420032361855,0.1635529876432319,93
132,448,9.624483975495139,0.11050635463742572,0.16355256398156098,93
133,1880,9.624459476140862,0.11050668417330908,0.16354480185430673,93
134,233,9.634124355381411,0.11031362295363606,0.16852183223038655,94
135,2698,9.628574530280002,0.11045247624497573,0.16835389693825928,94
136,448,9.628550887643536,0.11045260748036545,0.16834981130483945,94
137,448,9.628577260036414,0.11045276649339365,0.16835614163280094,94
138,241,9.628566601355043,0.1104530140723766,0.16836142921339264,94
139,442,9.625510792477188,0.11062848486721678,0.16910705770010873,95
140,439,9.625543772594053,0.1106282154455289,0.16910419531181703,95
141,448,9.626333909934052,0.11060771841483612,0.1688890018052454,96
142,232,9.626325970658964,0.11060740170386901,0.16889361916845966,96
143,2698,9.597690962149969,0.11138960517555073,0.1658364106358812,96
144,250,9.59764484879673,0.11138947708546419,0.16583107794952892,96
145,1571,9.628219180399222,0.11088111933958726,0.16697187396037194,97
146,458,9.627979193621295,0.1108856179117819,0.16697554163283457,97
147,2193,9.628686246305584,0.11087504274483577,0.16704015993732668,97
148,448,9.648306031156777,0.1106373011542353,0.16512689662315377,98
149,229,9.6482487195001,0.1106369434514112,0.16513847018017536,98
150,1348,9.732340330839385,0.1084059060433527,0.16706801251444878,99
151,1594,9.732345343167063,0.10840737264127792,0.16703712976637744,99
152,1794,9.693470858076873,0.10942679796652433,0.1646256641760168,100
153,448,9.67527623394971,0.10984487209582139,0.1642268781925505,101
154,227,9.675402889570453,0.10984390986674959,0.16422450721959922,101
155,889,9.670911398836935,0.10987880409416272,0.16539117520962954,101
156,447,9.669949956002228,0.10991834686362441,0.16442375147328964,102
157,6973,9.669827377331984,0.10992054117666086,0.16443822806307268,102
158,290,9.675879389402436,0.10978204668745134,0.16476378987064197,103
159,2240,9.679858125424586,0.10965620743989032,0.16578418329790087,104
160,882,9.766396568124062,0.1077745290162506,0.18006685652694543,105
161,3373,9.818088907213262,0.1060579535277034,0.17246472801646,106
162,2248,9.818053468555702,0.106057047180437,0.17244860061272638,106
163,457,9.818102372100391,0.10605758315151212,0.17247216956436934,106
164,3148,9.81369510222634,0.10615625982341874,0.17175574188142295,106
165,2016,9.813725340374738,0.10615580131483095,0.1717194794992279,106
166,276,9.836703263396489,0.10581951446498043,0.17043396452544218,107
167,673,9.933970528482284,0.10358354071825823,0.17815712802409644,108
168,3366,9.87630226920521,0.10521929988394745,0.18337303951601672,108
169,2663,9.91366489151899,0.10419408912203611,0.18830222898818566,109
170,228,9.932025940591977,0.10379731407166999,0.1861792768260802,110
171,448,9.976346243451859,0.10256750339629546,0.1793999006348003,110
172,1123,9.976438024242112,0.10256669808230218,0.17941066691826918,110
173,9902,9.976307151782414,0.10256691525158884,0.17937785122501373,110
174,1038,10.010720758287722,0.10194771312415062,0.1863313270798696,111
175,6905,10.05435170050312,0.10086072420761015,0.19704447419298282,112
176,443,10.074829405509186,0.10051277404948472,0.19328466824833948,113
177,467,10.09540773672426,0.09981247748458906,0.1931488499540194,114
178,2248,10.069850519810624,0.10053373827332646,0.18914271484923298,114
179,1758,10.069863282158897,0.10053385549925571,0.18914630329386595,114
180,2265,10.048142979348267,0.1009465631641856,0.19267332582830546,115
181,444,10.099590459374934,0.09974960881404321,0.18554257706908123,116
182,234,10.07717833901912,0.10005925586965042,0.1893495307879207,117
183,232,10.127796158527978,0.09893769967361776,0.1903654935606621,118
184,2923,10.123565205610134,0.09902765646152988,0.18990591226805045,118
185,673,10.123649412077162,0.09902791400977198,0.18987217208113677,118
186,1978,10.123645654223273,0.09902617226424468,0.18988650286397443,118
187,230,10.160573210523168,0.09841117051105719,0.19685652511812854,119
188,452,10.142862836896384,0.09892762048504453,0.20147007862501715,119
189,2020,10.144735954560593,0.09886288443192652,0.20169046905980634,119
190,1333,10.167632316537132,0.0986392381365517,0.19973448049156356,120
191,896,10.170808976584498,0.09854176229286711,0.1999655053502955,121
192,447,10.201162292566007,0.09803825073373837,0.1948217851513468,122
193,452,10.201159571492184,0.09803874856261963,0.19481272992985588,122
194,452,10.199412457829744,0.09805418265741092,0.19529791893464168,122
195,2022,10.198620386118272,0.09805704721835261,0.19557846682953015,122
196,13723,10.221092752342471,0.09774130666010343,0.19690894109278081,123
197,448,10.195618061497402,0.09807499313826575,0.19731540489588936,124
198,2473,10.195574107475842,0.09807508862647767,0.1973044488349437,124
199,1123,10.195392380590016,0.09807731210603038,0.19730181001487423,124
200,447,10.195488717824288,0.09807666098688789,0.19726883641567902,124
201,233,10.195441858723896,0.09807722921030511,0.19728533998415473,124
202,494,10.195050522795759,0.09808039271566825,0.19746424670551788,124
203,1798,10.21028433842474,0.09786746224553103,0.1979726252925138,125
204,367,10.210611376758207,0.09786604199641513,0.19800543412886337,125
205,898,10.264497721525743,0.09674614861889282,0.20228730952360077,126
206,1342,10.264501761246256,0.09674695177927387,0.20228290465546606,126
207,3373,10.366217579301335,0.09387295077325317,0.19374729232334975,127
208,4498,10.366210905883818,0.09387252120058406,0.19377001171828903,127
209,898,10.370548218581256,0.0935739812776603,0.19070303052564413,128
210,448,10.370533605299352,0.09357196646958767,0.19065118473214598,128
211,228,10.353731765611215,0.09385804527192666,0.19225583212005898,128
212,448,10.337082947323708,0.09422547582059335,0.19173953640130323,128
213,17098,10.33446105738898,0.09446181428264393,0.1886128111187211,128
214,659,10.334428392469368,0.09446290567519448,0.18861404697506323,128
215,448,10.335780513140564,0.09425308314992438,0.18808746154261385,129
216,2013,10.335776825375476,0.09425239547003061,0.18808185590187765,129
217,296,10.335454277656526,0.09425807073222627,0.18806725118633497,129
218,2040,10.365962979791606,0.09372538576097443,0.19109862851871545,130
219,447,10.376125336630595,0.0935252786655856,0.19261981124506886,130
220,461,10.376121248369989,0.09352591389505889,0.19262620762271584,130
221,231,10.38418397687268,0.09329523233533103,0.19352127931674207,131
222,283,10.404195800035348,0.09281545283921348,0.19517835746321707,131
223,630,10.425705272584636,0.09239398715077694,0.19669420467420864,132
224,672,10.430924326791136,0.09228379449666345,0.19744102771896477,133
225,231,10.430904511888333,0.0922407578308374,0.19730214837856822,134
226,459,10.444785071080176,0.09192771596361954,0.1981406089372491,134
227,2023,10.431701813594994,0.09217578418719495,0.1968108143627984,134
228,1793,10.431698396959657,0.09217685796726391,0.19681321949120675,134
229,232,10.408421705301015,0.09276135986517339,0.1931619992559545,135
230,448,10.408511353381911,0.09276003379661601,0.1932027119285392,135
231,673,10.408491391392625,0.09276001957300341,0.19319497376492417,135
232,892,10.408645702101353,0.09275715699642056,0.19319796375645726,135
233,898,10.387168601066621,0.0931498646510959,0.18996057492579263,136
234,2698,10.387144221477023,0.0931496610903665,0.189935386602094,136
235,1798,10.387223744950315,0.09314859156692337,0.18991440605164467,136
236,2288,10.38709685883694,0.09314994436880694,0.1899291474599887,136
237,663,10.392745036180287,0.09311768213143365,0.19003587266176739,137
238,23848,10.407453044378517,0.0929097145839542,0.19055868689468614,138
239,697,10.407494173756186,0.0929084642978037,0.19056806366064583,138
240,673,10.40920540186631,0.09287597394034043,0.19035120271458025,139
241,291,10.409224405454228,0.09287590815136537,0.19035990747082615,139
242,3070,10.442606976126426,0.09225873733839633,0.20169107758832217,140
243,3139,10.447970871445953,0.09213270610423346,0.19957895129225778,141
244,446,10.45447846842033,0.09193890059113714,0.20031507106873947,142
245,20472,10.456094409181345,0.09190905642897017,0.20041073501732984,142
246,891,10.48161143234569,0.09130367189560357,0.2203118335174955,143
247,915,10.481537125431215,0.09130870249694727,0.2203380847005188,143
248,1346,10.48637245736192,0.09127341773379682,0.22027141397852582,143
249,927,10.48637783007823,0.09127354350410476,0.22048725764242724,143
250,448,10.484016646928467,0.09137541932337234,0.22042472619541886,144
251,690,10.484013011112609,0.09137621730690856,0.22043239598860329,144
252,693,10.490360004804366,0.0912992248806655,0.22018720839930628,144
253,673,10.492480767304022,0.09129473881371056,0.22141651525371175,144
254,2013,10.492497080808857,0.09129536246121124,0.2214312955806154,144
255,1815,10.492436495949615,0.09129597179187686,0.22139095812177317,144
256,229,10.482803156748751,0.09142890016162668,0.22116749165417302,144
257,431,10.50513995086277,0.09107476495384798,0.22307677235310833,144
258,2473,10.666951219978952,0.08807167280857628,0.21698273434745072,145
259,2292,10.666871411482258,0.08807179084579012,0.21694241676951095,145
260,13492,10.67890393003059,0.0878860712178869,0.21996365808975069,146
261,448,10.680235921475337,0.08782399493847833,0.21541612426274764,147
262,2245,10.680367725039996,0.08782244253140524,0.21541095347040162,147
263,893,10.677462842783259,0.0877719990344165,0.2129116161605558,148
264,448,10.694750374464082,0.08751486922937278,0.21931801948271562,149
265,2392,10.694835050742755,0.08751313017750104,0.2193288488609274,149
266,448,10.712275738766934,0.08727701933258475,0.22033936162623277,150
267,673,10.712251101703622,0.08727725637301717,0.22033845151219172,150
268,447,10.712236083025337,0.08727826899465477,0.22032004027228244,150
269,1798,10.71067457073784,0.08730622030259692,0.22032889449508034,150
270,448,10.710554795071157,0.08730755205527992,0.22036323269950345,150
271,672,10.708023396387718,0.08740982299834887,0.22187422346260632,150
272,231,10.707462394699691,0.08743178847837141,0.22203723815626414,150
273,1348,10.709322699146039,0.08739748533352196,0.222032952230345,150
274,831,10.709542258180097,0.08739494251972224,0.22201329430863262,150
275,2697,10.7020292495282,0.08754047303830165,0.22303730786307624,150
276,892,10.701971218600153,0.08757193101399836,0.2227545996730093,151
277,673,10.70250863285732,0.08756896743567642,0.22295072931414986,151
278,1798,10.702413531572555,0.08756993720380582,0.22293630949284843,151
279,1796,10.702340223910529,0.08757264559225104,0.22294316737033215,151
280,1123,10.724145670017677,0.08721045072838107,0.22289401578794543,152
281,1170,10.723924122588587,0.08721851311308786,0.22285468584214657,152
282,448,10.87296578689167,0.08454421271052201,0.23046093591569092,153
283,2068,10.87303574892072,0.08454457484131486,0.23044691041951676,153
284,1123,10.842290224680497,0.08490940780455555,0.22452444307198624,154
285,3583,10.842249527811527,0.08491336186463766,0.22453702571188267,154
286,673,10.887498943534057,0.08402832087632145,0.21779433137283308,155
287,239,10.887475242411924,0.08402966627123382,0.2178203017587678,155
288,6741,10.888527140124637,0.08401654991732732,0.21757799716266663,155
289,2692,10.893162995254954,0.08385877544219786,0.21568464286664588,156
290,3592,10.8611884909072,0.08441926775470608,0.21433539982725933,157
291,448,10.87495546952171,0.08397653369368975,0.21236144649828134,158
292,665,10.874957719122351,0.08397679469647254,0.2123192180529653,158
293,890,10.869793203421791,0.08405393061854773,0.21221599045117326,158
294,3365,10.879960078848313,0.08391574663753798,0.21441220014308454,159
295,915,10.877674952507533,0.0839642376340915,0.21589628740715078,160
