step,action,psnr_value,mse_value,ssim_value
1,559,37.40806750208063,11.81064485904054,-0.007729906606474308
2,1151,37.577286585321644,11.359303475810648,0.03612827120252323
3,15,37.72067446408228,10.990385206620203,-0.01416438903927982
4,569,37.72544601103762,10.97831681902991,-0.01938341716762387
5,1148,37.85471514031308,10.656359095739733,-0.01566753194115505
6,290,37.93911985277469,10.451253348616326,-0.05191658680689255
7,2147,37.93916821424625,10.45113696786582,-0.05236767550691887
8,2008,37.97743143162448,10.359462381950017,0.01744384651782436
9,569,38.02387651807671,10.249264690304344,-0.06466058602017488
10,1294,38.023876261284826,10.249265296328186,-0.06466058602017488
11,16980,38.073428840346125,10.132986798286455,-0.1352321956677068
12,279,38.1646889229214,9.922279776271287,-0.13260061660290448
13,857,38.17245648572075,9.90454916900967,-0.13943403994797768
14,279,38.84885132727708,8.476083533915647,-0.034098736897419275
15,1003,38.84885181254165,8.476082586829508,-0.034098736897419275
16,710,39.2761642275999,7.681816666244329,-0.026842399836972487
17,13669,39.36864713391183,7.519962025346384,-0.07376146673213715
18,145,39.369584806892036,7.518338586794321,-0.07396885270717164
19,145,39.38146780442883,7.49779531738754,-0.07898832018342
20,436,39.38146788339422,7.497795181059233,-0.07897942521934787
21,1114,39.50668204245745,7.28470814112091,-0.05838584372230041
22,19150,39.54090172605796,7.22753474710019,-0.03662574210799799
23,284,40.15444142009724,6.275324941449109,-0.007721818113943592
24,430,40.15669485890366,6.272069686487582,-0.004767550190488014
25,282,40.16353242678986,6.262202658016399,0.008777254736355529
26,280,40.232754551487716,6.163180765304322,0.04034324708722656
27,1468,40.23289580075911,6.16298031821778,0.03969309713521289
28,415,40.28943335362763,6.0832690598036345,0.049170086721397416
29,285,40.427291582970184,5.893200303845791,0.15194697783886874
30,5180,40.45108055423394,5.861007882197645,0.17468760553496004
31,1000,40.73338556840593,5.4921425890658435,0.1861363097387924
32,748,40.7598036060325,5.458835412843403,0.16548411533999474
33,146,40.76023380595326,5.458294702714389,0.16483121194159367
34,330,40.760231190162855,5.4582979902899345,0.16477831872226478
35,294,40.760295111720595,5.458217653017186,0.16442830803612235
36,444,40.776220464928336,5.438239304391642,0.16848969786748821
37,991,40.79130880423403,5.419378455031283,0.16688917168092274
38,303,40.816515449357944,5.38801524592501,0.17569868071877054
39,333,40.846492990728834,5.350952081120686,0.1749981889460639
40,146,40.84713031089283,5.350166895126752,0.17643563346047933
41,1003,40.847126524744645,5.350171559365964,0.1764618193476491
42,12238,40.84712702264923,5.35017094598612,0.1764618193476491
43,284,40.84713851000512,5.350156794473964,0.17581970612908704
44,5323,40.84713500406472,5.350161113510743,0.17585579471933313
45,856,41.05331943360482,5.102093551247593,0.18689083007540894
46,283,41.056450590617295,5.098416392293479,0.18296063177183372
47,150,41.12954885136077,5.013320568359649,0.18490666184633325
48,145,41.12954731112819,5.0133223463424095,0.18490666184633325
49,13814,41.1295504591976,5.0133187123379095,0.18490666184633325
50,857,41.17921658769548,4.9563127381745415,0.19695017601045858
51,853,41.179217372072785,4.956311843017229,0.1967916851647279
52,159,41.24700365899577,4.879552499457365,0.18956165446054735
53,3597,41.247006955936484,4.87954879515306,0.1895563378320536
54,5144,41.26744398602276,4.856640557100498,0.17436220156744933
55,713,41.34130315492698,4.774743491196386,0.1935619062293461
56,19149,41.34287678872113,4.773013711766233,0.20260900634424642
57,430,41.347301102025966,4.768153747819734,0.20211236001260732
58,430,41.34729936268977,4.768155657451192,0.20210146151899758
59,290,41.34730065312582,4.7681542406708,0.20210146151899758
60,149,41.34729968200236,4.768155306875224,0.2021050088547669
61,19150,41.34729881373228,4.76815626015628,0.2021050088547669
62,424,41.34730207796288,4.768152676330924,0.20219004738135804
63,290,41.35970372643125,4.754556232785379,0.19942945303741302
64,1006,41.359706272890804,4.754553444980763,0.19942945303741302
65,426,41.361250809388885,4.752862823537681,0.20501068220842547
66,423,41.39866167177758,4.712096693275514,0.2082176061728567
67,1006,41.40153074050241,4.708984780696113,0.20987499182651959
68,312,41.40153407082488,4.7089811696827475,0.20968319589229906
69,1582,41.41535968665917,4.694014125859569,0.20980898752439842
70,177,41.415544873166354,4.6938139737545,0.20795826975048
71,146,41.44233456894244,4.664949041151011,0.21497665285765602
72,1294,41.4423394770619,4.664943769125882,0.21507723580862112
73,286,41.442332000858016,4.664951799644845,0.2150525448049856
74,156,41.47443797943666,4.630592488275472,0.2120058244255101
75,356,41.47940688225609,4.625297508164157,0.2136925863724963
76,420,41.486303908335316,4.617957907626106,0.22591394214773722
77,290,41.5017599879036,4.601552295901637,0.22945446651273052
78,1005,41.50176751431058,4.601544321329835,0.22951769820514706
79,19149,41.53856899987478,4.562716245115873,0.20664900969788869
80,12238,41.538577754955256,4.562707047000469,0.20660107685074908
81,1865,41.53856417767223,4.5627213113451415,0.20660107685074908
82,430,41.54022705733958,4.560974615394058,0.20701625781094893
83,898,41.540209401228424,4.5609931579364655,0.20701625781094893
84,19148,41.5432565270451,4.557794165974864,0.20469930836387296
85,242,41.54634981452545,4.554549006637662,0.1981457281566907
86,152,41.564788720424566,4.535252682002021,0.2004667165621575
87,1141,41.81732557081837,4.279054361008036,0.2474454158144176
88,286,41.85627376835836,4.2408507071052695,0.28391993756228956
89,1006,41.85625541828847,4.240868625838877,0.2837718419774517
90,862,41.85627089697299,4.240853510990935,0.283762186598335
91,574,41.95353672485535,4.14692984558536,0.3253598807565405
92,12238,41.97015936604043,4.131087789719795,0.3418054163152422
93,1598,41.97017049918089,4.131077199688473,0.34173967440373354
94,153,42.056566839580675,4.0497076915356205,0.3840057168540909
95,977,42.095315397265395,4.013736160744966,0.38090391208916985
96,1150,42.154047893740355,3.959821155003024,0.4001935649975199
97,279,42.17849457422108,3.937593717599766,0.4097547766877627
98,285,42.17847892241733,3.9376079085595226,0.4096892016303767
99,477,42.17847833468883,3.9376084414340204,0.4096892016303767
100,19149,42.181373529420526,3.9349843362196646,0.40804467169077335
101,1471,42.18137650399568,3.934981641066245,0.4076993223301789
102,17278,42.21074719019082,3.908459731757552,0.3860961049602279
103,297,42.27649995397546,3.849730833650532,0.3882278758628205
104,175,42.27651939679251,3.8497135989289637,0.3882278758628205
105,706,42.27735405140628,3.848973807702978,0.39095067357259006
106,19150,42.4097484582628,3.733408526864543,0.41818730577884505
107,308,42.40977040833006,3.733389657557046,0.4182698480024913
108,421,42.424235895263365,3.720975164427396,0.41140434369302964
109,935,42.42429288355096,3.720926337969688,0.411248220556241
110,823,42.431595092833305,3.7146752447175646,0.4139071138187124
111,1006,42.544955493873815,3.6189685709539514,0.43959179773684276
112,291,42.54497651973041,3.618951050185626,0.4396506794728088
113,1006,42.560597515011864,3.6059575462246847,0.4195806124365682
114,146,42.56058850649323,3.6059650260271616,0.4195489110390735
115,146,42.56057584689904,3.6059755373558398,0.4195676799329289
116,426,42.56054763805178,3.6059989594226067,0.41906066505727346
117,862,42.56054046873945,3.6060049121931903,0.41967693767484815
118,1869,42.5605662491553,3.605983506434157,0.4197486023090942
119,293,42.57497511464153,3.5940395291817566,0.41208324657733064
120,429,42.574975595774504,3.5940391310162503,0.41192904050583756
121,1925,42.635334763530636,3.5444339235941738,0.4522133417604133
122,718,42.64141847277841,3.5394722650492643,0.4599255707081798
123,286,42.65417550391643,3.5290906212843236,0.46164929462055476
124,152,42.6445927118537,3.536886225671837,0.47562633546602673
125,5179,42.64453370405527,3.5369342818401726,0.47567921816857084
126,19150,42.69908285608849,3.4927867853955625,0.4582061337622609
127,161,42.699070875853764,3.4927964204392916,0.45832022708034387
128,1148,42.74663876065482,3.4547488807540123,0.4864061686987783
129,169,42.746693483409324,3.4547053498799833,0.48640043656715104
130,999,42.753620466509396,3.4491994979684706,0.4882175952549589
131,154,42.807436710713006,3.4067219582420436,0.47446848495650973
132,717,43.01163797244499,3.250248478219868,0.500503534408915
133,276,43.11571638473707,3.1732823955738896,0.5034603814878723
134,718,43.13892639822282,3.156368648962049,0.48827763376208455
135,1006,43.13879910307283,3.1564611659812165,0.4883573362892174
136,1751,43.138955091301526,3.1563477954539656,0.48836605050744303
137,1714,43.2255113949566,3.09406349156991,0.4747099762753639
138,19150,43.607979141406574,2.833234012089383,0.511807236314604
139,169,43.608118659257535,2.8331429954203102,0.5117541703720061
140,19150,43.608010844741266,2.8332133296625863,0.5119430040291175
141,430,43.608315652469685,2.833014488772211,0.512065719641439
142,859,43.60853968570826,2.832868349903963,0.5118006117388197
143,146,43.56980090339096,2.858250384120978,0.5002764954860679
144,282,43.56641037955185,2.8604826827819108,0.49957036474130134
145,1579,43.56654501365053,2.860394007342905,0.4996381561829612
146,1438,43.6157768315849,2.8281515483970434,0.48596950275817974
147,1150,43.7017185301799,2.7727359151111233,0.47547801768763404
148,18855,43.70187803383484,2.772634082504526,0.47543627936783994
149,710,43.79014915910902,2.7168486469318305,0.46638748002565955
150,854,43.789988614420295,2.716949081936331,0.46633569396784136
151,13966,43.86983772387377,2.6674518483707774,0.44830766203615713
152,430,43.96187883539207,2.611514715280433,0.47310500350369306
153,176,43.9619218818451,2.611488830565549,0.47314196736177117
154,13966,43.821484008470094,2.697316816536861,0.47389801399438675
155,1579,43.82148761630087,2.6973145757857178,0.47414724229189237
156,5326,43.820887073608276,2.69768758641041,0.47413553284251286
157,17422,43.85393047759145,2.6772400495585758,0.45218628604930877
158,1048,43.86642739540923,2.6695473066320172,0.45465924973941924
159,1438,43.88885635690975,2.655796077771463,0.45611494553818094
160,19150,43.88887959856754,2.6557818650791476,0.45576698352118833
161,574,43.8895708224812,2.655359203974646,0.45598157912309645
162,145,43.88968107798472,2.655291792514914,0.4558769155651501
163,19150,43.891768338315806,2.654015940798421,0.4566192667970294
164,12238,43.892186347435256,2.653760503641317,0.45684401377644623
165,2014,43.892189712404495,2.653758447474505,0.45677375666849124
166,422,43.8444644846857,2.683081794108746,0.44896829509654546
167,430,43.84045263048659,2.685561472460464,0.4543418958459994
168,2296,43.84056897671378,2.6854895280142435,0.4544381378931044
169,1355,43.85889707517067,2.6741801042228617,0.46991767997676387
170,2296,43.99232434079903,2.5932711393752275,0.4865444597017622
171,19150,43.992341433510276,2.5932609329486263,0.48628820719180177
172,13966,43.99266813163215,2.593065862173704,0.4863233322986782
173,574,43.992792014310005,2.5929918959193134,0.48611753660288826
174,290,43.992802563240296,2.5929855975990113,0.48597603840405107
175,286,43.99327996292407,2.5927005784425092,0.4860474757196468
176,286,43.99325244670274,2.5927170054412247,0.4860711178278476
177,989,43.99332049375246,2.5926763820006458,0.4862905544392139
178,430,44.01609564122041,2.5791155311885015,0.4504249653873399
179,453,44.015952421598136,2.5792005854680915,0.45047499100804367
180,17422,44.184450987777325,2.4810485460753617,0.4334093498887712
181,629,44.18526692944781,2.480582456630814,0.4331252925909898
182,2158,44.18000852819412,2.483587744138017,0.43476469367907505
183,19150,44.26796400910974,2.43379480612785,0.47761442757768247
184,444,44.26856267002756,2.433459338495828,0.4780632585357425
185,10508,44.27226882441933,2.4313835744021066,0.4780323910881811
186,17422,44.326402249474775,2.4012652495380626,0.5053805133228706
187,420,44.32665688300639,2.401124463792039,0.5059029082745131
188,300,44.3268106092333,2.4010394732414184,0.5056346491928831
189,148,44.32775495635045,2.4005174384702617,0.50934798082794
190,295,44.312234172928044,2.409111737550978,0.511788768599765
191,170,44.33373251289697,2.3972156792177683,0.516896521054247
192,718,44.22947703883993,2.4554588308530296,0.4851037565547088
193,1726,44.229219295944006,2.455604560508018,0.48521615194427437
194,7054,44.22938446342929,2.4555111726491705,0.48523024973346957
195,15694,44.789149829975784,2.158566227391079,0.49392130028908404
196,424,44.80815969187767,2.1491384377846847,0.5009899741166085
197,146,44.804731593362476,2.150835527457075,0.5002429316956886
198,154,44.80419757721903,2.1511000142419814,0.49977557588943494
199,286,44.80574095922337,2.1503356989352804,0.5014357960447076
200,274,44.80549899739766,2.150455505579728,0.5012907268358603
201,19149,44.77931977527806,2.1634575757758325,0.5058162668243418
202,1337,44.779311568714526,2.163461663916383,0.5059159797203221
203,147,44.74684370855436,2.1796963151752657,0.4923756261269173
204,427,44.74803204231844,2.1790999796251502,0.49261925137989326
205,451,44.73961296921835,2.1833283999078947,0.4902470709912149
206,998,44.73952421139366,2.1833730215799836,0.4915416834507724
207,286,44.72599398471358,2.1901858176315097,0.4866518207597661
208,1574,44.72594936017936,2.1902083222978495,0.48648939546161984
209,269,44.72349626398084,2.191445802767849,0.485692441141317
210,1721,44.80512820328764,2.150639116081105,0.49069862996827074
211,1006,44.788544099141355,2.158867313719151,0.49238007180211113
212,290,44.78844780285086,2.158915182901806,0.4926150119644162
213,248,44.78828599968779,2.1589956181426952,0.4919046326551417
214,1006,44.809918378108044,2.1482683150575763,0.49511203105222407
215,285,44.81003068631317,2.148212761729343,0.4952013568847844
216,1545,44.8099326099635,2.148261275181339,0.49550087699234535
217,5326,44.81102818823758,2.147719409779463,0.4931906413521124
218,10509,44.81089507039285,2.1477852416452823,0.4935463630556445
219,1685,44.8369016306451,2.134962237649305,0.4958591877152233
220,147,44.8313733504132,2.1376816331797435,0.49830832614265347
221,318,44.83142596769294,2.1376557340914997,0.4995646499278171
222,1150,44.87367284944101,2.1169620659495485,0.4924043530370957
223,286,44.87320593739548,2.1171896737744604,0.49242864430257544
224,1293,44.87310203126141,2.117240328718273,0.4925717836921437
225,146,44.87062269188819,2.1184493829922006,0.49152717291629217
226,19150,44.87213208159808,2.117713244210682,0.4921358350400385
227,712,44.87228258021024,2.1176398591239995,0.4919890969395086
228,1285,44.87110986012395,2.118211760040678,0.4906865961921462
229,820,44.86642050890123,2.1205001620157784,0.49347888247887917
230,286,44.87826543810344,2.1147245986091434,0.49661172811540727
231,1438,44.87821635390934,2.1147484994744716,0.496442450325983
232,998,44.87824639026813,2.1147338736554264,0.4964964123517621
233,1150,44.87882328128692,2.1144529836127504,0.495743528879617
234,1103,44.87847559652123,2.1146222679461237,0.49570287347829417
235,17422,45.616926628226445,1.783970621193073,0.5253748242676192
236,430,45.61681733980648,1.7840155146448085,0.525280694673045
237,1582,45.616533992419754,1.7841319132281315,0.5252923478942495
238,159,45.62020220476053,1.7826256054445997,0.5252700428794214
239,713,45.62336106793862,1.7813294750026114,0.526167295236662
240,1006,45.62417033209812,1.7809975730655379,0.5258347767084061
241,15694,45.62419636369096,1.7809868978056242,0.5255622350150544
242,148,45.6230739663743,1.7814472382726874,0.5252159972431208
243,1294,45.621532530941344,1.7820796371130174,0.5243890577426318
244,277,45.6197713602976,1.782802460666463,0.5243129794500941
245,269,45.649268540596125,1.7707347360226326,0.5289322269798133
246,152,45.657794967715695,1.7672616940801318,0.5279743979075746
247,423,45.6464597206061,1.7718803374639502,0.5253871608443823
248,282,45.670764378768276,1.7619919624497684,0.5285223079179686
249,146,45.67098333573634,1.7619031308599833,0.5285959793335393
250,17419,45.67135401012257,1.7617527572037166,0.5286191732227559
251,899,45.941150036077964,1.6556378915164007,0.5988050639499852
252,1073,45.943817751622014,1.6546212047133015,0.5995810457195221
253,1434,45.94093625855153,1.6557193907983714,0.5977460946632417
254,286,46.02158446280299,1.6252565111103257,0.5967631058646412
255,430,46.021410596409964,1.6253215782837667,0.596953128267924
256,1005,46.02159785240187,1.6252515003399561,0.5968820779185363
257,1582,46.02196846341041,1.6251128132456165,0.5983851450308442
258,1130,46.02325158721533,1.6246327443029709,0.5986308941122352
259,1575,46.168723721812455,1.571115049489479,0.5815187033708262
260,574,46.202746728620106,1.5588548840764207,0.5877913792889449
261,862,46.202717151911195,1.5588655003646896,0.5878818731737845
262,859,46.19971101690097,1.5599449021482235,0.5877044660109599
263,573,46.198267667564146,1.56046342580406,0.5874111904264847
264,277,46.30072775415627,1.5240793733627795,0.6155206492224702
265,283,46.298946828260334,1.5247044858470666,0.6154815134151012
266,12238,46.308035526651956,1.5215169967885016,0.6156239469885023
267,286,46.307913677123906,1.521559686423426,0.6156630989000528
268,1870,46.30721342185179,1.5218050420841944,0.6157069604695384
269,1287,46.28132548887932,1.5309034860026833,0.6110523212510176
270,179,46.299566114100024,1.5244870848394858,0.6173142755080826
271,19150,46.31152744868746,1.5202941207056404,0.609457657739526
272,893,46.31237295297841,1.5199981717265476,0.6092241454708467
273,439,46.19806084477879,1.5605377410649277,0.6093122131153301
274,1572,46.188862858926655,1.5638463290079545,0.6067991178295031
275,306,46.146964665387046,1.5790064146989982,0.6086827166487724
276,284,46.14547619403325,1.579547685362941,0.6059454002527132
277,19150,46.14613725822848,1.579307271773426,0.6062999103672976
278,17422,46.14653501172523,1.5791626357601216,0.6064946767031811
279,1003,46.14629625688152,1.5792494531404808,0.6061179522023786
280,1142,46.141580289093056,1.5809652784658579,0.604843138128756
281,156,46.211626087830204,1.5556709863421194,0.6296794984062644
282,430,46.20707407583523,1.557302401372023,0.628921674573376
283,17422,46.207245194438535,1.5572410425076813,0.6291340457654127
