step,action,psnr_value,mse_value,ssim_value,rank
1,10597,5.294905431514577,0.29571678140454066,0.015699543288756855,1
2,1497,5.305353726315024,0.2950045205106696,0.00941206378092988,2
3,4860,5.395349646221714,0.28895278507579003,0.019801225315211446,3
4,23641,5.4313843033765945,0.28656215131025786,0.03233436493005311,4
5,24413,5.512972265227917,0.28122612404781683,0.02961360789353395,5
6,21522,5.914631688190188,0.2563832865554624,0.2846248386839,6
7,1312,5.91686605429987,0.2563103161491031,0.28522935602397387,7
8,21207,5.9554019745712194,0.2541758158209946,0.2706087746595262,8
9,11966,5.957862578114148,0.2540188147900479,0.26915368936537404,9
10,1335,5.962652174735412,0.2538621486789886,0.27082718318685967,10
11,18520,5.976971481389746,0.25302108779805127,0.2655618047224653,11
12,4348,5.982239340266673,0.25272020742861595,0.26350166691603566,12
13,2377,5.987370021435021,0.2524203758653396,0.2599008223021177,13
14,7924,5.989741368953084,0.25230895094005307,0.2584891226693606,14
15,19546,6.001987410020732,0.2517224749293776,0.25770539249446844,15
16,19382,6.017065013709056,0.25080803396906326,0.26066140788402836,16
17,6224,6.016945050095713,0.2508012993426995,0.259986826347833,17
18,21202,6.089477926834209,0.24673275938480627,0.2678690029455412,18
19,4074,6.104745053375783,0.24585450469382536,0.2635783380000198,19
20,18920,6.105825618361288,0.24577357337885739,0.2642772182160288,20
21,17042,6.106023990225244,0.2457654750707908,0.2642549726172811,21
22,6988,6.1459257002023655,0.24351241026237405,0.2749773089791745,22
23,7365,6.160964273647376,0.24283466423736533,0.2751093019310154,23
24,21968,6.26282179604373,0.23759379274349865,0.28271586020899636,24
25,6684,6.290459133351036,0.23615818363516908,0.2759387380421899,25
26,18800,6.313193098497053,0.23495443044205652,0.2785882226136041,26
27,13916,6.317503227027603,0.23471465975580658,0.2774557821171759,27
28,20396,6.3198571176130365,0.2345764251181879,0.2733109700668174,28
29,8886,6.335020573057997,0.23365742051478286,0.280178098294795,29
30,22071,6.370229251981908,0.23230130660354695,0.2822202893104502,30
31,3594,6.422353073253388,0.22937751131338435,0.27812356902962687,31
32,5638,6.423420025476537,0.22937609087588037,0.2785062690853151,32
33,20048,6.43086313271784,0.2288984363353173,0.2799274090011631,33
34,15337,6.432350028555048,0.2288169758264989,0.2780339324940741,34
35,7195,6.4323337562251846,0.22881696438980265,0.2780506609987782,35
36,8464,6.434254006746673,0.22879032805604538,0.2773135187499173,36
37,4049,6.444793871725784,0.22794109180860275,0.27428329384696376,37
38,16422,6.461601826981673,0.22704701889145698,0.2692749706893738,38
39,17261,6.473627236795401,0.22644574110271024,0.27126696123129723,39
40,2789,6.4764718718836765,0.22629486631870432,0.27325060132061146,40
41,2018,6.543019651832208,0.2228341372456078,0.2710838356261446,41
42,13758,6.543642997639583,0.2228159405637361,0.27107919765944344,42
43,3885,6.551066041730285,0.2224775655259275,0.27094062346026637,43
44,7024,6.583761822099823,0.22138299651904264,0.27626158598959993,44
45,10249,6.6015044294380445,0.22068511731138238,0.27458638299596494,45
46,22387,6.602415357712258,0.2206674259476965,0.27569532449958156,46
47,843,6.602380471412839,0.22066568899696837,0.2755415307416564,47
48,15006,6.604917672217688,0.22050720676116056,0.2715890748964479,48
49,18360,6.693751638685272,0.21700811550400712,0.27862560762241845,49
50,20630,6.694521237684361,0.21693249850952817,0.2810113922731734,50
51,9352,6.697072726132957,0.21686868623448366,0.2796422015294508,51
52,17687,6.705427865878725,0.21666443183801307,0.2766541169198826,52
53,9080,6.735325524329989,0.2154445859927881,0.2810699523375833,53
54,5172,6.7362111837132215,0.2154052424515759,0.2808333603440933,54
55,18410,6.764615569601946,0.2140807576054203,0.2889397943237767,55
56,9542,6.764587357500802,0.2140807619989149,0.2889589312191363,56
57,17337,6.764664118644373,0.21407056238145777,0.2888647828364354,57
58,655,6.766491126162217,0.2140481917256258,0.2888990743824223,58
59,15642,6.799541902571567,0.21279008043717818,0.28917050674039857,59
60,2983,6.824806256170235,0.2118398396184068,0.3096173283394678,60
