step,action,psnr_value,mse_value,ssim_value,rank
1,3263,5.493460295610876,0.3275121301396151,-0.06290726363658905,1
2,25793,5.377914226358149,0.41176904636900874,0.016372648999094963,2
3,9227,4.950500714479026,0.5206670265256728,-0.006743250414729118,3
4,28223,3.720128553044516,1.976091950498004,-0.023400263860821724,4
5,6028,3.3581892204174,4.3067952361289,-0.00856843963265419,5
6,41486,4.410678126302176,1.0024623133495656,0.0003750910400412977,6
7,8723,4.107949278044413,1.582123544920683,-0.010941777378320694,7
8,18028,4.131124542323015,2.2947246842067073,-0.03129756823182106,8
9,10817,4.112304868225919,2.3034057529703973,-0.028546078130602837,9
10,46631,4.8372257097147155,0.8079178905216718,0.013281007297337055,10
11,46046,4.625793177186354,0.7996338516271821,-0.01863197423517704,11
12,38105,4.658427911458436,0.7964146256444251,-0.019616490229964256,12
13,46010,4.582509125328352,0.8836286265643786,-0.03987422212958336,13
14,45634,4.731040285925755,0.8688859850874885,-0.006063161417841911,14
15,27481,4.532427646855261,0.9256118443829069,0.00731967156752944,15
16,45479,4.809843347496945,0.8478589230258997,0.021355485543608665,16
17,43781,4.628076103019504,1.0234430214699377,-0.011979209259152412,17
18,40188,4.6426597264962055,1.0846158862212762,-0.01520664431154728,18
19,9276,4.5411939561501065,1.303018099141385,-0.06165574491024017,19
20,39029,4.5715319357772275,1.2403138451965707,-0.05835430696606636,20
21,33324,4.576781298256806,1.229267107670731,-0.058072689920663834,21
22,47236,4.5418399394604405,1.4482896252333497,-0.012096856720745564,22
23,31132,4.338632287099768,3.044421152449866,-0.0013968993443995714,23
24,19744,4.408611131720354,2.514471123601931,0.08044853806495667,24
25,14159,4.458507499027349,2.4829372016184625,0.08159832656383514,25
26,7497,4.294631890499204,2.4845573882732745,0.039087388664484024,26
27,49587,4.320704569342154,2.469552548198133,0.035617031157016754,27
28,28522,4.225158903978741,2.458735507417328,0.03895131126046181,28
29,30788,4.0225280227101265,2.6927140851492166,0.009996648877859116,29
30,21612,4.0181355674413926,2.7479982790367083,0.03371388092637062,30
31,34888,4.131485634861,2.587982192917455,0.024469880387187004,31
32,33859,4.114837222091668,2.624409487303085,0.024450965225696564,32
33,3070,4.231554128897152,2.762996053107652,0.035897739231586456,33
34,8832,4.179935382575604,2.8463459971099576,0.017726154997944832,34
35,15755,4.216208685177566,2.634012894149766,0.041896793991327286,35
36,34526,3.9883653024824106,2.7844250259108634,-0.008915050886571407,36
37,28592,3.990462274513275,2.849462805912804,0.0004661946150008589,37
38,25758,3.9886800366703357,2.8563894241299326,-0.0004406711086630821,38
39,27562,3.902536983114533,3.2917838400135913,0.009861652739346027,39
40,8990,3.989162696292418,3.0405124155723753,0.02751082554459572,40
41,42700,4.106882069938116,3.2548599704345946,0.02505645342171192,41
42,17481,4.221758367726078,2.924744956476255,0.038406744599342346,42
43,33955,4.1913048584593,2.9411787376021676,0.026111358776688576,43
44,17481,4.266306220461139,2.9419057334415264,0.031043026596307755,44
45,7135,4.266158505394406,2.942981291480634,0.030993515625596046,44
46,42975,4.3166401526816935,2.8380336586976935,0.044036488980054855,45
47,49924,4.328784692451815,2.8750323156743414,0.04494243487715721,46
48,18260,4.556589116412027,3.6868188701117175,0.09767375141382217,47
49,33343,4.617154711499958,3.832885101502244,0.10823271423578262,48
50,29220,4.605061917991648,3.7351762984540415,0.09952335804700851,49
51,17876,4.7411836168818,3.8862666275079634,0.14768674969673157,50
52,18816,4.501168353316626,3.6161624039322766,0.11571148037910461,51
53,17299,4.516954700188985,3.6245736163213715,0.1193530261516571,52
54,36567,4.722459469776149,3.277636053189635,0.09577225893735886,53
55,37713,4.727819080429635,3.335748959058814,0.09231526404619217,54
56,10943,4.709439965272168,3.339691227084372,0.09011492133140564,55
57,36956,4.6807076016320694,3.325889175459874,0.0886324793100357,56
58,11047,4.573587954993434,3.268751228925531,0.08373989909887314,57
59,15777,4.585782667804176,3.303882524258418,0.0768471285700798,58
60,33323,4.586571860717109,3.273878746781718,0.0747363418340683,59
61,46128,4.643117093982712,3.1674735675090404,0.09036628901958466,60
62,41570,4.709472961866426,3.512434206931438,0.089911088347435,61
63,21317,4.645139507070334,3.900460698126505,0.0860154777765274,62
64,13490,4.784763934384845,3.6415722329065576,0.12974990904331207,63
65,39101,4.7808896595678005,3.944177485349516,0.13333958387374878,64
66,27962,4.85311838981762,4.436891742267673,0.12203790992498398,65
67,33099,4.852968745086708,4.437008006712632,0.12201687693595886,66
68,9165,4.7107721510812635,4.453079256603297,0.13162800669670105,67
69,7744,4.666241852629669,4.378419284680341,0.1277790516614914,68
70,9171,4.6546007904203055,4.369820843304513,0.12886179983615875,69
71,3977,4.468261985044199,4.3712039218080445,0.09744379669427872,70
72,17616,4.4716326013149565,4.378776028023012,0.09848672896623611,71
73,50444,4.449487706580232,4.375162333980803,0.08974531292915344,72
74,4376,4.21769807452361,6.980671381057991,0.05670107156038284,73
75,32654,4.200428777261141,6.997649450315577,0.05711837485432625,74
76,50144,4.181960912500787,7.21605147397253,0.06291181594133377,75
77,39059,4.133290762720277,6.961284977746828,0.054335467517375946,76
78,9282,4.3108630355223685,5.560988193703298,0.08076314628124237,77
79,12605,4.398689589155868,5.328925401652296,0.09277065098285675,78
80,48119,4.409444136667571,5.343813034790801,0.09518866240978241,79
81,34113,4.4668455588906895,4.5678201822473135,0.10632631927728653,80
82,35541,4.454144283262663,4.634798590681878,0.10575642436742783,81
83,16182,4.475818104795051,4.5505395085525056,0.07586539536714554,82
84,12011,4.529254914628971,4.470927503361778,0.08849136531352997,83
85,18503,4.610363596481307,4.024647821840287,0.08332742005586624,84
86,41203,4.576460759469242,4.079101101695899,0.08023319393396378,85
87,40157,4.5232143157248395,3.8224792335945112,0.07316760718822479,86
88,47966,4.652824501419039,3.8376632155477517,0.04070001840591431,87
89,30064,4.783436564595902,2.394258214391035,0.08104993402957916,88
90,23437,4.749380526272376,2.3872987398848635,0.0686802938580513,89
91,41662,4.778711245326227,2.3285977386219745,0.0638728141784668,90
92,40566,4.814593480173595,2.3674285265158366,0.0648001953959465,91
93,15234,4.787652500744048,2.380282144738307,0.06853660941123962,92
94,4422,4.784396548178826,2.373274163779966,0.06797877699136734,93
95,46709,4.692445755845858,2.397001538651271,0.0719393715262413,94
96,27488,4.598229274422842,2.3792381504906452,0.05981741100549698,95
97,5546,4.639551555721047,2.4519806813891853,0.06306397914886475,96
98,2247,4.665211902488816,2.474006304178523,0.06298759579658508,97
99,23539,4.748244213304598,2.47603232357134,0.06768739968538284,98
100,50586,4.691834840318071,2.485963947988898,0.053076453506946564,99
101,17801,4.661278800288305,2.5095765830468046,0.016467563807964325,100
102,48873,4.657337244237806,2.5147443567410743,0.016702063381671906,101
103,47418,4.656421224163669,2.4081566849565843,0.014284682460129261,102
104,13881,5.03049802123873,1.8983304588277083,0.06829245388507843,103
105,6818,5.000647196915109,1.8899887875981707,0.04970597103238106,104
106,11392,4.961083754927747,1.8770985148035269,0.052573930472135544,105
107,3351,4.968125051723475,1.8672900985608833,0.051641546189785004,106
108,7599,5.017199632346853,1.9827403857579662,0.0560256727039814,107
109,28402,5.071942084282869,1.8715468551594918,0.06192629784345627,108
110,19609,5.088195625532938,1.8091747863948047,0.06303098797798157,109
111,2179,5.093278517548998,1.786391008637907,0.06143587827682495,110
112,15571,5.085683861725824,1.8022745460145406,0.0611269474029541,111
113,27101,5.348098584419643,1.7464213290161408,0.10645034164190292,112
114,35134,5.234511517695372,1.9362973636236307,0.07822900265455246,113
115,49126,5.204156837648,1.9434694368407752,0.07795039564371109,114
116,9591,5.217807954831847,2.1424190064972453,0.1124209389090538,115
117,3429,5.22767308902549,1.9961582479716728,0.1262878030538559,116
118,29592,5.2137997426551665,2.013893403433433,0.13002529740333557,117
119,495,5.210941714194652,2.0276543109668372,0.13019058108329773,118
120,14891,5.264476835342209,1.9207529327680524,0.13481761515140533,119
121,8755,5.257520294477345,1.9173694860316592,0.1363266110420227,120
122,12700,5.304515699015364,1.8112051892633068,0.12347971647977829,121
123,1537,5.342802498153696,1.7663246381045206,0.1272035390138626,122
124,47553,5.2580062107592465,1.7618701969816601,0.12921901047229767,123
125,39134,5.244570706336812,1.7577887687363747,0.1289943903684616,124
126,39466,5.220766634732554,1.7788384439297704,0.12548141181468964,125
127,4138,5.500675309763375,1.718924713037753,0.12695682048797607,126
128,9235,5.498239908796787,1.7005083910453445,0.11761822551488876,127
129,50160,5.496264230744416,1.7002540650232145,0.1180025190114975,128
130,38941,5.135414996620269,1.890843597783306,0.05448206886649132,129
131,25808,5.134317185288099,1.7666159023107522,0.05399278551340103,130
132,24974,5.098872848561385,1.7833508843477952,0.04711119830608368,131
133,4247,5.099562235710446,1.7834917480214183,0.04738529026508331,132
134,39379,5.095865062445181,1.7827371649592856,0.04562757536768913,133
135,11348,5.084156111964342,1.8029868532047193,0.04688354954123497,134
136,44166,5.087945882551588,1.8016435758928613,0.04684862866997719,135
137,13137,5.117914523629512,1.771688618740906,0.04680326208472252,136
138,47060,5.102203909218451,1.7751051934333777,0.0453948974609375,137
139,15900,5.154770825377963,1.7435782167694642,0.04874483495950699,138
140,34386,5.168522677314162,1.7827553187504075,0.05640975758433342,139
141,7278,5.174006766445371,1.7849142319380513,0.05721006914973259,140
142,39077,5.167643172776702,1.7771765414083105,0.05492947995662689,141
143,28603,5.204238141857296,1.7549161383638339,0.056594863533973694,142
144,41007,5.194091342873478,1.7563484099003512,0.05963623896241188,143
145,4929,5.186617072923397,1.7582408594840673,0.06341856718063354,144
146,26155,5.15680077601001,1.8364815967586288,0.05456521362066269,145
147,47057,5.126657647512891,1.8381918119783869,0.0641949474811554,146
148,46553,5.183206483676282,1.836345815932695,0.06174825504422188,147
149,28851,5.183807587277608,1.8365316547717279,0.06187444552779198,148
150,44347,5.193284148813536,1.7351518771258654,0.08911265432834625,149
151,42757,5.182668866792257,1.7272385417244518,0.08333630859851837,150
152,3020,5.0883564890099,1.7221702408207218,0.07665913552045822,151
153,49476,5.066440755828413,1.7526075590759864,0.07832254469394684,152
154,21011,5.053764448989545,1.7655473973165257,0.08011085540056229,153
155,21218,4.9669613214990385,1.8362038343315685,0.06016160920262337,154
156,6509,4.982790751391983,1.8683634685107002,0.05888723209500313,155
157,16808,4.966434167801897,1.9209054589680656,0.08569999784231186,156
158,27936,4.957771266956171,1.8315204136410708,0.07336588948965073,157
159,5535,4.958110838762048,1.8280342332062942,0.0719662606716156,158
160,20128,4.952610577492539,1.8367294075512999,0.09692440927028656,159
161,39849,4.916490495010193,1.7684775086642346,0.07203206419944763,160
162,6239,4.938577931855622,1.7643115157318405,0.07480435073375702,161
163,38567,5.015257889218412,1.7843365526604855,0.07859528809785843,162
164,11098,5.014530573254388,1.7832311843811637,0.07875853031873703,163
165,37954,5.036769858781174,1.7795306779155644,0.08394364267587662,164
166,23865,5.044908014424868,1.781353773916829,0.08325803279876709,165
167,42693,5.01309217505192,1.7180673769346968,0.07041331380605698,166
168,7588,5.0453933291154325,1.7056347971328067,0.07660358399152756,167
169,27044,5.041224149450612,1.7046262990298175,0.07660277932882309,168
170,44307,5.034541834343652,1.6237537018073271,0.06502319127321243,169
171,2654,5.206364788682734,1.6574217675059064,0.08412957191467285,170
172,36210,5.212101576334125,1.6559364718614475,0.08561020344495773,171
173,9002,5.289695815152573,1.609821351148518,0.08135883510112762,172
174,33828,5.290342761918932,1.610505797190999,0.08138826489448547,173
175,23092,5.291580670994889,1.60936834135552,0.0810922309756279,174
176,24015,5.495764591467327,1.5934142685322648,0.17480888962745667,175
177,38243,5.574591236392732,1.6052692476936095,0.2074376940727234,176
178,24887,5.570521745963257,1.5754450965324638,0.21192236244678497,177
179,5500,5.587269424195349,1.560799241501534,0.21598920226097107,178
180,46183,5.572264416991793,1.567730151304697,0.21857576072216034,179
