step,action,psnr_value,mse_value,ssim_value,rank
1,41352,5.265434708961422,0.4321876196270912,-0.01870650425553322,1
2,38608,4.639389216342464,0.6910556065724651,-0.010403182357549667,2
3,22611,4.845934817329754,0.6055723432697186,0.019932635128498077,3
4,1697,4.40517077835811,0.807951802479058,-0.01917305588722229,4
5,48966,4.6834185754992586,0.7423335356956038,0.03012203238904476,5
6,5350,4.135850363029167,1.1782695953036415,0.0049534691497683525,6
7,34478,4.450608597184925,0.9352159347012116,0.02536226250231266,7
8,24470,4.57492966636263,1.0343482697031383,0.041858069598674774,8
9,47093,4.571219639313446,1.1811369994714105,0.07175830006599426,9
10,47125,4.360021699300178,1.5388531825619025,0.0547848604619503,10
11,41619,4.472998487825752,1.22883770180567,0.0706089437007904,11
12,20437,3.6581332343204034,5.864335506686151,-0.042324602603912354,12
13,1083,4.114833862048139,2.421369301857517,0.01910298503935337,13
14,6013,4.071222934191328,1.9128908391600432,0.0258078183978796,14
15,31581,4.02466428805551,2.178482657927153,0.04950204864144325,15
16,15626,4.066724455890522,2.054863037495072,0.05312632396817207,16
17,39421,4.052438241955153,2.114682765724461,0.05742759630084038,17
18,14699,4.0964956207232035,2.03509232871101,0.055796779692173004,18
19,18507,4.383382657143856,1.6538769803694837,0.05468761920928955,19
20,12406,4.463021151162108,1.4655783156965563,0.00451508816331625,20
21,31414,4.695121361471679,1.3743216696063325,0.014064688235521317,21
22,38663,4.699905566893809,1.2279793908962489,0.0051825204864144325,22
23,18569,4.907281198543734,1.1137629149288275,0.019170455634593964,23
24,49511,4.8506511214086565,1.188122742336992,0.01763046346604824,24
25,34065,4.5670693336178845,1.3392778572286221,0.00928288884460926,25
26,28565,4.39374049161853,1.577537433358174,-0.04479066655039787,26
27,6345,4.36413858931365,1.6213194738444872,-0.05469050630927086,27
28,18985,4.338455698704731,1.6993528430983658,-0.04997086152434349,28
29,16762,4.398567697025596,1.747806942636089,-0.03553498908877373,29
30,22539,4.163036917788072,1.8190231282380247,-0.06293860822916031,30
31,32574,4.34489178223617,1.7130013771846926,-0.05614371597766876,31
32,32477,4.222717704677706,1.7179136188109179,-0.056753747165203094,32
33,13776,4.233003719441541,1.9018710959991505,-0.07247679680585861,33
34,24550,4.305664366075259,1.9064052235697293,-0.046038735657930374,34
35,36418,4.034747971416579,1.791021821740364,-0.06807292252779007,35
36,10239,4.065679642293781,1.7519719120476576,-0.06514571607112885,36
37,21864,3.9938981686168558,1.8854486607181995,-0.06341610103845596,37
38,42007,3.987135027229768,1.8748396794497966,-0.05297190696001053,38
39,47906,4.046435753341604,1.7781063752187463,-0.04650021716952324,39
40,2633,4.045654460881194,2.9279489211852745,-0.03239902853965759,40
41,11238,3.96351587863066,2.952215546604453,-0.024074824526906013,41
42,2350,4.023881578996267,3.032707761189797,-0.04323754832148552,42
43,21173,3.909532378175876,3.235928673100037,-0.049968648701906204,43
44,32980,3.9303510083409416,2.8760254947633723,-0.05129016563296318,44
45,33556,3.9473131454548023,2.8973805250534657,-0.04031055048108101,45
46,21597,4.043504415460648,3.5061324494982706,-0.033968474715948105,46
47,2919,4.111580301934835,2.655713118934599,-0.03227568417787552,47
48,16372,4.3848476296196495,2.2727006002966985,-0.0006305424612946808,48
49,905,4.337027587969845,2.266697050104465,-0.002883036620914936,49
50,27556,4.388818875179759,2.259788770807823,0.0016464961227029562,50
51,800,4.390886295949582,2.259315424470066,0.0027810046449303627,51
52,41314,4.392928437796325,2.27022255406909,0.004846468102186918,52
53,31006,4.387958459788938,2.2700572338531493,0.005079368595033884,53
54,20465,4.367667464077394,2.2478999754841467,-0.0076770964078605175,54
55,2875,3.995623548479634,1.9957312437928825,-0.04158952087163925,55
56,43458,4.0093956295636435,2.0110540737107576,-0.03792447969317436,56
57,14531,4.06635761155479,1.8808173497001797,-0.031467873603105545,57
58,37750,4.2531808645064375,1.8283814078604337,-0.010437912307679653,58
59,16042,4.199646477734001,1.833119109735399,-0.023573528975248337,59
60,12900,4.140734926099289,1.7923021464021358,-0.028000203892588615,60
61,21754,4.099316722627694,2.083776610106013,-0.027395831421017647,61
62,35748,4.2209079923787405,1.8608858752082194,-0.02368699200451374,62
63,3302,4.30315044163493,1.810250898596061,-0.027145398780703545,63
64,7926,4.372389750648583,1.7110926621740348,-0.01703840121626854,64
65,34437,4.37271918679561,1.7051355510260813,-0.016073020175099373,65
66,36225,4.352488437529062,1.7614091733171113,-0.026638109236955643,66
67,12635,4.201227793887028,1.9009325453557417,-0.04143352061510086,67
68,5978,4.281373620782357,1.8150296236385193,-0.037304989993572235,68
69,14655,4.280684186877069,1.8026558555627707,-0.026688378304243088,69
70,36327,4.282951162956047,1.7431914711037177,-0.04458218067884445,70
71,39601,4.270299271659869,1.7594643454122383,-0.037090592086315155,71
72,30751,4.255374767814003,1.802134121407289,-0.02017471008002758,72
73,24186,4.2441263306657975,1.796848974351823,-0.02066665329039097,73
74,5264,4.595566115926938,1.571750970012379,0.053041279315948486,74
75,36476,4.726377824216159,1.5080687512517195,0.04574913904070854,75
76,15045,4.709194547135469,1.5810508533367666,0.0362156480550766,76
77,20532,4.915880418231002,1.6954538771905452,0.08087858557701111,77
78,46302,4.986283895729585,1.6354701918378447,0.07955697178840637,78
79,20391,5.0186236147363905,1.5540873843177299,0.08391693234443665,79
80,20159,5.073142467328971,1.4546451695238,0.045150026679039,80
81,5077,4.877017459539906,1.3559997556621157,0.04030106961727142,81
82,16637,4.532054830722562,1.776858537987282,0.005529577843844891,82
83,18583,4.523592460248884,1.8066793510114885,-0.003596261143684387,83
84,11631,4.566923241889094,1.9018494359058846,-0.00862864963710308,84
85,41666,4.561755750814025,1.8465345815346033,-0.013418304733932018,85
86,33364,4.556370342337414,1.8768051093968097,-0.018185803666710854,86
87,17162,4.455764974938688,1.8878597289532384,-0.017899958416819572,87
88,4746,4.670706350805968,1.668724852419101,0.009769690223038197,88
89,20739,4.690364544175451,1.6545882843343902,0.012497350573539734,89
90,20338,4.5753809167237645,1.7356363636444117,-0.00013999268412590027,90
91,7599,4.750443896223752,1.3542577292440952,0.0036068991757929325,91
92,46922,4.708213191178398,1.3572853699965506,0.0008381280349567533,92
93,16296,4.661304044609597,1.392127718965801,-0.012437352910637856,93
94,35335,4.582938990596287,1.4348117932704432,-0.016814984381198883,94
95,20743,4.438023294519878,1.5710767122714444,0.0039224340580403805,95
96,17107,4.408973740816823,1.5349705155024356,0.0036371175665408373,96
97,6152,4.440277746000225,1.5626467880988035,-0.004105493426322937,97
98,21362,4.44412226299746,1.5317918513102793,-0.0016085227252915502,98
99,8250,4.460026116080197,1.51695637531488,-0.008096026256680489,99
100,39048,4.4881016628760815,1.5706035969021166,-0.015826720744371414,100
