step,action,psnr_value,mse_value,ssim_value,rank
1,634,3.9614538797699317,7.053916798785665,-0.014275136403739452,1
2,11005,3.1886753359880293,6.6941732785757635,-0.02358458749949932,2
3,34617,3.631361097178607,2.525563812826036,-0.010557821951806545,3
4,11679,4.5644369923625465,1.3111559528923116,-0.0002613826945889741,4
5,21468,3.526610236698101,5.14929678665985,0.012432335875928402,5
6,38461,4.07344955875096,1.9409163904171307,-0.044419433921575546,6
7,43501,3.980204503053905,2.6221003672485113,-0.04592480883002281,7
8,11502,3.909777256908913,2.851008662617993,-0.03869692608714104,8
9,18908,4.122385216880348,2.2125854440284374,-0.04478324577212334,9
10,2446,4.185507471469484,1.5429878581678207,-0.057873547077178955,10
11,6539,4.058167248263552,1.7115472745895386,-0.05236278846859932,11
12,43362,3.792386675934373,3.924860480096249,-0.0318061001598835,12
13,10965,4.0010040167880225,3.199891715096015,-0.010697666555643082,13
14,39918,3.7691657060378363,4.574661043540885,0.01316308043897152,14
15,9379,3.7685529654107857,4.5694161657161185,0.013107237406075,15
16,41564,3.768064478222239,3.9966004510976685,-0.013843413442373276,16
17,42678,4.070674141851509,4.42961970081265,-0.00608404166996479,17
18,7797,4.063146859292777,4.4272457062084385,-0.006649800110608339,18
19,30636,4.051559232169012,4.103599637550715,0.01331247016787529,19
20,3036,3.9846020545248217,3.2851820533326825,-0.006562964059412479,20
21,39626,4.008264493970559,3.35524330200123,0.0027045265305787325,21
22,28808,4.0157286108698775,3.4247231469714703,0.005688382312655449,22
23,8087,3.9760491115813092,3.603391407976742,0.012861178256571293,23
24,50585,4.313673939940758,3.014190657927447,0.022074462845921516,24
25,2200,4.200314227480696,3.238542632043051,0.014549610204994678,25
26,1066,4.004076512499719,3.994193870635742,0.020026762038469315,26
27,2586,3.9707914779912876,3.9325590765231753,0.023461736738681793,27
28,42945,3.848465958570626,4.400966003448185,0.01238053198903799,28
29,1020,3.8379960857752082,4.7319225519781725,0.007304396014660597,29
30,34045,3.8503427301974273,4.657247910786876,-0.00020501315884757787,30
31,36738,3.8654892903014892,4.691819763791799,0.0011428982252255082,31
32,6242,4.096284535217697,3.4599571102276565,0.03265668824315071,32
33,9710,4.2450182669195735,3.500605103655267,0.04386930540204048,33
34,46898,4.254380025607812,3.5604755782832065,0.04301474615931511,34
35,21002,4.434605705082407,3.6631365110173486,0.054665759205818176,35
36,409,4.085904397831745,4.396928299361478,0.08078005909919739,36
37,1604,4.243173302851412,4.12728637216451,0.08354230970144272,37
38,8962,4.0967275140963935,4.656788297089774,0.060524508357048035,38
39,25973,3.947662167118549,3.190638736097349,0.005025019869208336,39
40,21812,3.9784944545648084,3.557047098690592,0.007064364850521088,40
41,23206,4.027632748155696,3.4743159538643127,-0.030255280435085297,41
42,16427,4.019485770961817,3.5026470182804528,-0.0305000189691782,42
43,44776,3.9246623042412225,3.4265379016928557,-0.03959424048662186,43
44,29338,4.015668733756433,3.286147735616412,-0.013327819295227528,44
45,36999,4.043302137559512,2.0551567928503713,0.028069427236914635,45
46,40113,3.997063371298304,2.2814669771733316,0.02742348425090313,46
47,34188,3.949379851762605,2.3384829210063134,0.023633480072021484,47
48,1806,3.950720008770896,2.4993325711547127,0.02159387804567814,48
49,40646,3.9643057147893983,2.5532290322095306,0.02560417540371418,49
50,7541,4.008727488439332,2.4584972768056548,0.016008250415325165,50
51,25388,3.9719361423717814,2.496837060079496,0.012272735126316547,51
52,33842,3.862972107673006,3.5103853397981664,-0.0029946593567728996,52
53,43751,3.659731143786831,3.838000644007051,-0.019106777384877205,53
54,39065,3.9410805867787735,3.3452952162193914,0.017445925623178482,54
55,14009,3.9266641702419074,3.514155858390085,0.018442006781697273,55
56,13656,4.127610751032464,3.1623280241466514,0.009183225221931934,56
57,44737,4.225815181011995,3.3052944420156485,0.01534107606858015,57
58,37003,4.193806160194618,3.586046196670189,0.015600746497511864,58
59,13054,4.213290509193107,3.4994719786952353,0.01816529780626297,59
60,19647,4.3543447910308295,2.9679124092295144,0.0036472631618380547,60
61,40992,4.33541026784662,2.9282250488318082,-0.0010875312145799398,61
62,43860,4.323406203417443,2.9509298707271228,0.010297896340489388,62
63,3647,4.221051993215655,2.848438773496022,-0.028522785753011703,63
64,22859,4.203910509810445,2.8773320497473467,-0.028203846886754036,64
65,17998,4.166686931463828,2.853868460977489,-0.026478715240955353,65
66,50426,4.229625322530377,2.575613699133327,-0.01965099386870861,66
67,32389,4.071721609390961,2.736051127802865,-0.03659238666296005,67
68,36677,4.2422656174709585,2.539701412812978,-0.008785723708570004,68
69,36204,4.3998342808861155,2.4775189467784124,-0.007365785073488951,69
70,26353,4.478460739022292,2.419714014786142,0.0037575243040919304,70
71,21361,4.506332621597422,2.299288931566678,0.003070582402870059,71
72,47007,4.503424908234238,2.2929687289060245,-0.0018185811350122094,72
73,36345,4.377575871789277,2.2540924800766837,0.002080273814499378,73
74,33835,4.369583408003335,2.236556928116204,-0.03870606794953346,74
75,11269,4.364655297533735,2.2385071406005914,-0.0390910729765892,75
76,41820,4.2680920139541625,2.2138137219859506,-0.029696740210056305,76
77,41357,4.2871170117616835,2.220818912302569,-0.027250437065958977,77
78,22547,4.281890897678435,2.218236576491205,-0.02713225595653057,78
79,37885,4.274874290767881,2.305723277543584,-0.03526422008872032,79
80,24275,4.552428007837829,2.1247812669570463,0.01788586750626564,80
81,41101,4.555721469887446,1.9912686263435084,-0.012208600528538227,81
82,14616,4.605794660216657,2.0793550253264645,0.020489443093538284,82
83,48404,4.605282108002241,2.13805081580578,0.021822236478328705,83
84,11699,4.623011606946265,2.133557927202176,0.014816513285040855,84
85,34643,4.575732110287566,2.1436558582114857,0.005059330724179745,85
86,3800,4.5773477395863456,2.14611475895317,0.005589102860540152,86
87,20929,4.569989706039914,2.146976689464193,0.0074845850467681885,87
88,46840,4.568018166563631,2.1234209379697857,0.0066946423612535,88
89,23320,4.3573482730737485,1.9429836052296094,-0.005361234303563833,89
90,3027,4.309826321972153,1.9171033502394856,-0.012035981751978397,90
91,10016,4.336740265219224,1.9251833117660782,-0.014212843030691147,91
92,47280,4.170299562272575,1.9231674055530716,-0.023072807118296623,92
93,4318,4.0790847198372076,2.323576834307233,-0.029783695936203003,93
94,43343,4.084475659779381,2.3195613068758334,-0.029849449172616005,94
95,35142,4.088479753735369,2.2773545565129867,-0.025659868493676186,95
96,14504,4.094345687156333,2.279170330675309,-0.02614537999033928,96
97,39407,4.132772538794676,2.2848829226940928,-0.019170712679624557,97
98,509,4.113430201349862,2.270087181793287,-0.020353805273771286,98
99,47253,4.120790603555572,2.25388790150878,-0.017448900267481804,99
100,19813,4.119237712101364,2.2380563701118183,-0.017289601266384125,100
101,34649,4.116508780341254,2.2459882210473694,-0.018595794215798378,101
102,46696,4.098246830944448,2.2332731301203763,-0.008402836509048939,102
103,146,4.085577178159149,2.1908252637025565,-0.019013192504644394,103
104,45939,4.088549503235381,2.212580005475158,-0.01569918729364872,104
105,9809,4.1836075906812065,2.063518496930515,-0.027554936707019806,105
106,41802,4.194155268201615,1.9856513762024244,-0.020014608278870583,106
107,47232,4.251394979220564,1.9576234957220489,-0.01490714494138956,107
108,45417,4.218543399728107,1.9719859685422287,-0.021895881742239,108
109,14168,4.206348171166268,2.0218131153041194,-0.00927356444299221,109
110,5541,4.201310075677477,1.973139505200088,-0.012000191025435925,110
111,22190,4.198152317970744,1.9832786906949695,-0.012386330403387547,111
112,7059,4.1890094150485,1.980377269967438,-0.013008104637265205,112
113,28144,4.241626647122043,1.9763518139254301,-0.0011971130734309554,113
114,42705,4.230886630869498,1.8961687095002142,0.0024522633757442236,114
115,35722,4.18748171469861,1.907628440591248,-0.0072377342730760574,115
116,25027,4.207513119702238,1.9095009835886352,-0.0034971379209309816,116
117,47621,4.14021458533851,1.9466785240247877,-0.004086337983608246,117
118,31584,4.189072367255029,1.915389312928342,-0.014851409010589123,118
119,4415,4.205002451345184,1.919603765381603,-0.0099174277856946,119
120,32058,4.247703389947782,1.9428262264691714,-0.014288429170846939,120
121,11332,4.283125688535334,1.9382973731553406,-0.0185947697609663,121
122,4640,4.243452178738646,1.90085331823923,-0.023306041955947876,122
123,940,4.4099469103833115,1.8348095916574432,-0.027025073766708374,123
124,2734,4.359028558636513,1.8205535310662788,-0.026550615206360817,124
125,41528,4.377743515344006,1.847117495302389,-0.02697703242301941,125
126,3954,4.375812493093325,1.8398121944834394,-0.02617688849568367,126
127,42997,4.5323417161899195,1.7862210366996594,-0.01993725635111332,127
128,37330,4.517907044454565,1.7935923667265483,-0.02144484594464302,128
129,27725,4.510681453847917,1.7943766327874133,-0.02214171551167965,129
130,41798,4.49824153778584,1.7998966278819393,-0.022000601515173912,130
131,38194,4.491924869549211,1.8045140683219587,-0.02385852299630642,131
132,10121,4.506512149118102,1.8000552541705677,-0.025644393637776375,132
133,43871,4.433767830746199,1.7524370916173453,-0.0343041867017746,133
134,20979,4.4785727198077465,1.7646667165756742,-0.0337304063141346,134
135,29262,4.565581376048399,1.674415346232001,-0.04034794867038727,135
136,35448,4.5802770182920245,1.6111016291571387,-0.031392697244882584,136
137,45317,4.555062444732715,1.606316910930521,-0.027111347764730453,137
138,46495,4.562544299041308,1.6132935118356384,-0.026793580502271652,138
139,47656,4.563524044434718,1.6140650656613678,-0.026545168831944466,139
140,26154,4.562081766188243,1.5649535045874756,-0.029339540749788284,140
141,27944,4.568535124406242,1.5148513781120547,-0.03027961589396,141
142,31382,4.50729539006725,1.580231988136258,-0.03313843533396721,142
