step,action,psnr_value,mse_value,ssim_value,rank
1,15121,5.381990872205571,0.28989014555985526,0.029057467905359083,1
2,13955,5.752859035046816,0.28957229413963037,0.008984559305832779,2
3,20661,5.7193658056471826,0.2943782929860533,0.011047938892078207,3
4,15335,5.96055527583252,0.27309632558887614,0.004569255637376027,4
5,5584,6.020260379451807,0.27209736643321314,0.015037029482821542,5
6,24194,5.995437435687155,0.27195663861296404,0.01915402865738191,6
7,17681,5.191939526762362,0.49870188336601573,0.09891826984016497,7
8,3701,5.43423972045926,0.581586900846436,0.06994976834899973,8
9,20144,5.658622213061898,0.6260263199873086,0.0935643778225337,9
10,20388,5.867104341957525,0.6829910008483796,0.16385343122978024,10
11,16729,5.836421315965802,0.7165584997596587,0.1760302781682154,11
12,24316,5.745131185593055,0.6826881927849047,0.17786836475689474,12
13,10074,5.8332700437206615,0.6781772836137939,0.1911679050494027,13
14,23565,5.85693847922861,0.6970125689176405,0.1936947866461363,14
15,15397,5.9258280719448635,0.6741976497402205,0.21624193690333096,15
16,5743,5.899765424036145,0.6834950146083866,0.21282698304154954,16
17,24503,6.114615240041061,0.6301038875273302,0.22987313329329348,17
18,5883,6.069151502957411,0.5638943143754181,0.2265560775299525,18
19,7004,5.979063867849725,0.5545901422481228,0.21232418365277347,19
20,15715,6.246075698244099,0.4897052663796361,0.22915371499557324,20
21,12909,6.181967159964544,0.5015765366802922,0.2324798959574024,21
22,20075,6.184703700850313,0.49699773557006804,0.2328361134195935,22
23,20514,6.181530631470933,0.4968089172019945,0.23512134986956842,23
24,4284,6.321396194032024,0.47736428031954947,0.2602117787513417,24
25,4703,6.354127820627182,0.45713074728868114,0.2617735713181911,25
26,13367,6.361216464749962,0.4523317828209485,0.25999979452011984,26
27,24320,6.375586390487836,0.44988310581847385,0.26264926302713065,27
28,13955,6.546717285497479,0.44037933724407446,0.28159899375666003,28
29,2069,6.542404969256275,0.4436106960003618,0.28090329056848795,28
30,5862,6.539451779237391,0.4282125025781994,0.283756087213208,29
31,21267,6.559928890631779,0.426829235226485,0.28729113143958973,30
32,5572,6.528293435216774,0.43691438338606897,0.2791162515739984,31
33,20686,6.569603410649748,0.46683352885867674,0.2827665070881478,32
34,19752,6.7862346568244245,0.4049361657472601,0.2950168976566089,33
35,5810,6.934291545674956,0.4505217092674743,0.326038597999095,34
36,1702,6.865799262647423,0.48042083090102045,0.3157867590978946,35
37,5403,6.930745544913403,0.527263459173008,0.2995320303736424,36
38,18136,6.944413298325992,0.5099515353825186,0.30401779737991397,37
