step,action,psnr_value,mse_value,ssim_value,rank
1,37705,nan,nan,nan,1
2,36522,nan,nan,nan,2
3,32420,nan,nan,nan,3
4,21315,nan,nan,nan,4
5,50362,nan,nan,nan,5
6,24448,nan,nan,nan,6
7,11953,nan,nan,nan,7
8,45941,nan,nan,nan,8
9,39492,nan,nan,nan,9
10,3832,nan,nan,nan,10
11,36055,nan,nan,nan,11
12,15898,nan,nan,nan,12
13,39932,nan,nan,nan,13
14,2568,nan,nan,nan,14
15,19621,nan,nan,nan,15
16,34141,nan,nan,nan,16
17,50095,nan,nan,nan,17
18,33372,nan,nan,nan,18
19,7053,nan,nan,nan,19
20,19853,nan,nan,nan,20
21,11801,nan,nan,nan,21
22,45952,nan,nan,nan,22
23,33556,nan,nan,nan,23
24,19337,nan,nan,nan,24
25,22069,nan,nan,nan,25
26,34329,nan,nan,nan,26
27,13586,nan,nan,nan,27
28,12523,nan,nan,nan,28
29,930,nan,nan,nan,29
30,16993,nan,nan,nan,30
31,48042,nan,nan,nan,31
32,14906,nan,nan,nan,32
33,38464,nan,nan,nan,33
34,43020,nan,nan,nan,34
35,6412,nan,nan,nan,35
36,38804,nan,nan,nan,36
37,38170,nan,nan,nan,37
38,35875,nan,nan,nan,38
39,20220,nan,nan,nan,39
40,18213,nan,nan,nan,40
41,11443,nan,nan,nan,41
42,6496,nan,nan,nan,42
43,45450,nan,nan,nan,43
44,28448,nan,nan,nan,44
45,38136,nan,nan,nan,45
46,15584,nan,nan,nan,46
47,24875,nan,nan,nan,47
48,21585,nan,nan,nan,48
49,1001,nan,nan,nan,49
50,15224,nan,nan,nan,50
51,12059,nan,nan,nan,51
52,18093,nan,nan,nan,52
53,48848,nan,nan,nan,53
54,48195,nan,nan,nan,54
55,285,nan,nan,nan,55
56,8291,nan,nan,nan,56
57,8455,nan,nan,nan,57
58,16132,nan,nan,nan,58
59,27822,nan,nan,nan,59
60,23911,nan,nan,nan,60
61,45333,nan,nan,nan,61
62,5724,nan,nan,nan,62
63,23535,nan,nan,nan,63
64,28478,nan,nan,nan,64
65,6971,nan,nan,nan,65
66,19726,nan,nan,nan,66
67,35121,nan,nan,nan,67
68,5775,nan,nan,nan,68
69,5699,nan,nan,nan,69
70,4041,nan,nan,nan,70
71,45724,nan,nan,nan,71
72,19605,nan,nan,nan,72
73,23489,nan,nan,nan,73
74,31604,nan,nan,nan,74
75,24800,nan,nan,nan,75
76,19267,nan,nan,nan,76
77,47159,nan,nan,nan,77
78,942,nan,nan,nan,78
79,22651,nan,nan,nan,79
80,19864,nan,nan,nan,80
81,35758,nan,nan,nan,81
82,12923,nan,nan,nan,82
83,38001,nan,nan,nan,83
84,29684,nan,nan,nan,84
85,49775,nan,nan,nan,85
86,21251,nan,nan,nan,86
87,4323,nan,nan,nan,87
88,30794,nan,nan,nan,88
89,8543,nan,nan,nan,89
90,3465,nan,nan,nan,90
91,11218,nan,nan,nan,91
92,31987,nan,nan,nan,92
93,1568,nan,nan,nan,93
94,35310,nan,nan,nan,94
95,43364,nan,nan,nan,95
96,6077,nan,nan,nan,96
97,46589,nan,nan,nan,97
98,1499,nan,nan,nan,98
99,4140,nan,nan,nan,99
100,20846,nan,nan,nan,100
101,2833,nan,nan,nan,101
102,19712,nan,nan,nan,102
103,15825,nan,nan,nan,103
104,42484,nan,nan,nan,104
105,44986,nan,nan,nan,105
106,43361,nan,nan,nan,106
107,29008,nan,nan,nan,107
108,10082,nan,nan,nan,108
109,37372,nan,nan,nan,109
110,46926,nan,nan,nan,110
111,31617,nan,nan,nan,111
112,3184,nan,nan,nan,112
113,28233,nan,nan,nan,113
114,47817,nan,nan,nan,114
115,49715,nan,nan,nan,115
