step,action,psnr_value,mse_value,ssim_value,rank
1,219,nan,nan,nan,1
2,11268,nan,nan,nan,2
3,48915,nan,nan,nan,3
4,10116,nan,nan,nan,4
5,26614,nan,nan,nan,5
6,28822,nan,nan,nan,6
7,32694,nan,nan,nan,7
8,41178,nan,nan,nan,8
9,27831,nan,nan,nan,9
10,13053,nan,nan,nan,10
11,14782,nan,nan,nan,11
12,6884,nan,nan,nan,12
13,34366,nan,nan,nan,13
14,8507,nan,nan,nan,14
15,5410,nan,nan,nan,15
16,35900,nan,nan,nan,16
17,23850,nan,nan,nan,17
18,9880,nan,nan,nan,18
19,28064,nan,nan,nan,19
20,43627,nan,nan,nan,20
21,8108,nan,nan,nan,21
22,36400,nan,nan,nan,22
23,5163,nan,nan,nan,23
24,48160,nan,nan,nan,24
25,19731,nan,nan,nan,25
26,47864,nan,nan,nan,26
27,44524,nan,nan,nan,27
28,33457,nan,nan,nan,28
29,49634,nan,nan,nan,29
30,6521,nan,nan,nan,30
31,35814,nan,nan,nan,31
32,20559,nan,nan,nan,32
33,38197,nan,nan,nan,33
34,48583,nan,nan,nan,34
35,22425,nan,nan,nan,35
36,24341,nan,nan,nan,36
37,23923,nan,nan,nan,37
38,33878,nan,nan,nan,38
39,32994,nan,nan,nan,39
40,880,nan,nan,nan,40
41,44905,nan,nan,nan,41
42,12096,nan,nan,nan,42
43,33464,nan,nan,nan,43
44,2272,nan,nan,nan,44
45,1496,nan,nan,nan,45
46,25003,nan,nan,nan,46
47,38663,nan,nan,nan,47
48,45193,nan,nan,nan,48
49,25930,nan,nan,nan,49
50,265,nan,nan,nan,50
51,18045,nan,nan,nan,51
52,28874,nan,nan,nan,52
53,31444,nan,nan,nan,53
54,19412,nan,nan,nan,54
55,27871,nan,nan,nan,55
56,24705,nan,nan,nan,56
57,21361,nan,nan,nan,57
58,6101,nan,nan,nan,58
59,11371,nan,nan,nan,59
60,38663,nan,nan,nan,60
61,30685,nan,nan,nan,60
62,38662,nan,nan,nan,61
63,23650,nan,nan,nan,62
64,50216,nan,nan,nan,63
65,41381,nan,nan,nan,64
66,15286,nan,nan,nan,65
67,9078,nan,nan,nan,66
68,49691,nan,nan,nan,67
69,21300,nan,nan,nan,68
70,31892,nan,nan,nan,69
71,10737,nan,nan,nan,70
72,9866,nan,nan,nan,71
73,6926,nan,nan,nan,72
74,31781,nan,nan,nan,73
75,24467,nan,nan,nan,74
76,33983,nan,nan,nan,75
77,20327,nan,nan,nan,76
78,21791,nan,nan,nan,77
79,32277,nan,nan,nan,78
80,8955,nan,nan,nan,79
81,806,nan,nan,nan,80
82,26990,nan,nan,nan,81
83,21710,nan,nan,nan,82
84,17798,nan,nan,nan,83
85,41469,nan,nan,nan,84
86,33548,nan,nan,nan,85
87,45764,nan,nan,nan,86
88,17959,nan,nan,nan,87
89,20784,nan,nan,nan,88
