step,action,psnr_value,mse_value,ssim_value,rank
1,23911,nan,nan,nan,1
2,1846,nan,nan,nan,2
3,8343,nan,nan,nan,3
4,19804,nan,nan,nan,4
5,45313,nan,nan,nan,5
6,45200,nan,nan,nan,6
7,2410,nan,nan,nan,7
8,18460,nan,nan,nan,8
9,42698,nan,nan,nan,9
10,29424,nan,nan,nan,10
11,26228,nan,nan,nan,11
12,11347,nan,nan,nan,12
13,139,nan,nan,nan,13
14,33283,nan,nan,nan,14
15,42169,nan,nan,nan,15
16,50500,nan,nan,nan,16
17,4098,nan,nan,nan,17
18,14714,nan,nan,nan,18
19,50435,nan,nan,nan,19
20,40243,nan,nan,nan,20
21,30650,nan,nan,nan,21
22,49423,nan,nan,nan,22
23,4463,nan,nan,nan,23
24,49961,nan,nan,nan,24
25,26818,nan,nan,nan,25
26,29938,nan,nan,nan,26
27,25192,nan,nan,nan,27
28,912,nan,nan,nan,28
29,8699,nan,nan,nan,29
30,49735,nan,nan,nan,30
31,23659,nan,nan,nan,31
32,14086,nan,nan,nan,32
33,1550,nan,nan,nan,33
34,18315,nan,nan,nan,34
35,5722,nan,nan,nan,35
36,19581,nan,nan,nan,36
37,37493,nan,nan,nan,37
38,23681,nan,nan,nan,38
39,34417,nan,nan,nan,39
40,47165,nan,nan,nan,40
41,18292,nan,nan,nan,41
42,32317,nan,nan,nan,42
43,20170,nan,nan,nan,43
44,50524,nan,nan,nan,44
45,21414,nan,nan,nan,45
46,13017,nan,nan,nan,46
47,6858,nan,nan,nan,47
48,20707,nan,nan,nan,48
49,29410,nan,nan,nan,49
50,38054,nan,nan,nan,50
51,26623,nan,nan,nan,51
52,15632,nan,nan,nan,52
53,45740,nan,nan,nan,53
54,18990,nan,nan,nan,54
55,42161,nan,nan,nan,55
56,40616,nan,nan,nan,56
57,35519,nan,nan,nan,57
58,20648,nan,nan,nan,58
59,15894,nan,nan,nan,59
60,31893,nan,nan,nan,60
61,47605,nan,nan,nan,61
62,24853,nan,nan,nan,62
63,49323,nan,nan,nan,63
64,46320,nan,nan,nan,64
65,45295,nan,nan,nan,65
66,24143,nan,nan,nan,66
67,15955,nan,nan,nan,67
68,47863,nan,nan,nan,68
69,6060,nan,nan,nan,69
70,41099,nan,nan,nan,70
71,32261,nan,nan,nan,71
72,2924,nan,nan,nan,72
73,47658,nan,nan,nan,73
74,32792,nan,nan,nan,74
75,44125,nan,nan,nan,75
76,36906,nan,nan,nan,76
77,2849,nan,nan,nan,77
78,29173,nan,nan,nan,78
79,13752,nan,nan,nan,79
80,40731,nan,nan,nan,80
81,45287,nan,nan,nan,81
82,41911,nan,nan,nan,82
83,1578,nan,nan,nan,83
84,46185,nan,nan,nan,84
85,15123,nan,nan,nan,85
86,9107,nan,nan,nan,86
87,45430,nan,nan,nan,87
88,15739,nan,nan,nan,88
89,10245,nan,nan,nan,89
90,32305,nan,nan,nan,90
91,15178,nan,nan,nan,91
92,5384,nan,nan,nan,92
93,40379,nan,nan,nan,93
94,16382,nan,nan,nan,94
95,46541,nan,nan,nan,95
96,28448,nan,nan,nan,96
97,24866,nan,nan,nan,97
98,21986,nan,nan,nan,98
99,5900,nan,nan,nan,99
100,7486,nan,nan,nan,100
101,12615,nan,nan,nan,101
102,7486,nan,nan,nan,102
103,48546,nan,nan,nan,102
104,14166,nan,nan,nan,103
105,6922,nan,nan,nan,104
106,7340,nan,nan,nan,105
107,23198,nan,nan,nan,106
108,16517,nan,nan,nan,107
109,36655,nan,nan,nan,108
110,43472,nan,nan,nan,109
111,9960,nan,nan,nan,110
112,5992,nan,nan,nan,111
113,37178,nan,nan,nan,112
114,39361,nan,nan,nan,113
115,6090,nan,nan,nan,114
116,34706,nan,nan,nan,115
117,29746,nan,nan,nan,116
118,24029,nan,nan,nan,117
119,8479,nan,nan,nan,118
120,41513,nan,nan,nan,119
121,31824,nan,nan,nan,120
122,48229,nan,nan,nan,121
123,48613,nan,nan,nan,122
124,49268,nan,nan,nan,123
125,35902,nan,nan,nan,124
126,42701,nan,nan,nan,125
127,27362,nan,nan,nan,126
128,909,nan,nan,nan,127
129,42212,nan,nan,nan,128
130,23329,nan,nan,nan,129
131,20147,nan,nan,nan,130
132,36360,nan,nan,nan,131
133,877,nan,nan,nan,132
134,4820,nan,nan,nan,133
135,22492,nan,nan,nan,134
136,1368,nan,nan,nan,135
137,39836,nan,nan,nan,136
138,25714,nan,nan,nan,137
139,5125,nan,nan,nan,138
140,36300,nan,nan,nan,139
141,5945,nan,nan,nan,140
142,40158,nan,nan,nan,141
143,44917,nan,nan,nan,142
144,44549,nan,nan,nan,143
145,5402,nan,nan,nan,144
146,425,nan,nan,nan,145
147,8093,nan,nan,nan,146
148,3346,nan,nan,nan,147
149,15338,nan,nan,nan,148
150,45829,nan,nan,nan,149
151,11804,nan,nan,nan,150
152,16044,nan,nan,nan,151
153,28588,nan,nan,nan,152
154,5093,nan,nan,nan,153
155,36780,nan,nan,nan,154
156,11784,nan,nan,nan,155
157,15932,nan,nan,nan,156
158,9598,nan,nan,nan,157
159,18690,nan,nan,nan,158
160,1758,nan,nan,nan,159
161,2484,nan,nan,nan,160
162,47574,nan,nan,nan,161
163,42014,nan,nan,nan,162
164,34998,nan,nan,nan,163
165,13528,nan,nan,nan,164
166,27610,nan,nan,nan,165
167,31651,nan,nan,nan,166
168,48621,nan,nan,nan,167
169,4374,nan,nan,nan,168
170,37797,nan,nan,nan,169
171,39908,nan,nan,nan,170
172,26483,nan,nan,nan,171
173,24946,nan,nan,nan,172
174,36281,nan,nan,nan,173
175,21374,nan,nan,nan,174
176,1478,nan,nan,nan,175
177,22875,nan,nan,nan,176
178,20628,nan,nan,nan,177
179,38088,nan,nan,nan,178
180,20148,nan,nan,nan,179
181,13762,nan,nan,nan,180
182,48420,nan,nan,nan,181
183,5018,nan,nan,nan,182
184,41920,nan,nan,nan,183
185,14126,nan,nan,nan,184
186,36554,nan,nan,nan,185
187,1144,nan,nan,nan,186
188,5812,nan,nan,nan,187
189,46238,nan,nan,nan,188
190,9380,nan,nan,nan,189
191,30649,nan,nan,nan,190
192,44199,nan,nan,nan,191
193,22653,nan,nan,nan,192
194,23077,nan,nan,nan,193
195,1175,nan,nan,nan,194
196,7949,nan,nan,nan,195
197,45390,nan,nan,nan,196
198,18143,nan,nan,nan,197
199,15233,nan,nan,nan,198
200,41614,nan,nan,nan,199
201,9933,nan,nan,nan,200
202,2751,nan,nan,nan,201
203,1697,nan,nan,nan,202
204,13667,nan,nan,nan,203
205,2538,nan,nan,nan,204
206,14177,nan,nan,nan,205
207,21681,nan,nan,nan,206
208,23540,nan,nan,nan,207
209,32063,nan,nan,nan,208
210,15704,nan,nan,nan,209
211,20180,nan,nan,nan,210
212,22094,nan,nan,nan,211
213,38630,nan,nan,nan,212
214,8563,nan,nan,nan,213
215,47305,nan,nan,nan,214
216,6997,nan,nan,nan,215
217,647,nan,nan,nan,216
218,26023,nan,nan,nan,217
219,34600,nan,nan,nan,218
220,12334,nan,nan,nan,219
221,4247,nan,nan,nan,220
222,29140,nan,nan,nan,221
223,45442,nan,nan,nan,222
224,33678,nan,nan,nan,223
225,27355,nan,nan,nan,223
226,1252,nan,nan,nan,223
227,27585,nan,nan,nan,223
228,49772,nan,nan,nan,223
229,10949,nan,nan,nan,223
230,27823,nan,nan,nan,223
231,328,nan,nan,nan,223
232,15791,nan,nan,nan,223
233,33112,nan,nan,nan,223
234,40143,nan,nan,nan,223
235,38772,nan,nan,nan,223
236,30866,nan,nan,nan,223
237,14201,nan,nan,nan,223
238,29038,nan,nan,nan,223
239,34285,nan,nan,nan,223
