step,action,psnr_value,mse_value,ssim_value,rank
1,23328,nan,nan,nan,1
2,47020,nan,nan,nan,2
3,16965,nan,nan,nan,3
4,47496,nan,nan,nan,4
5,11776,nan,nan,nan,5
6,41966,nan,nan,nan,6
7,36890,nan,nan,nan,7
8,49044,nan,nan,nan,8
9,14780,nan,nan,nan,9
10,11787,nan,nan,nan,10
11,29274,nan,nan,nan,11
12,7549,nan,nan,nan,12
13,4187,nan,nan,nan,13
14,25912,nan,nan,nan,14
15,15227,nan,nan,nan,15
16,21058,nan,nan,nan,16
17,24867,nan,nan,nan,17
18,27452,nan,nan,nan,18
19,6309,nan,nan,nan,19
20,34371,nan,nan,nan,20
21,16921,nan,nan,nan,21
22,41594,nan,nan,nan,22
23,7282,nan,nan,nan,23
24,40283,nan,nan,nan,24
25,5773,nan,nan,nan,25
26,24232,nan,nan,nan,26
27,41241,nan,nan,nan,27
28,17572,nan,nan,nan,28
29,9070,nan,nan,nan,29
30,12952,nan,nan,nan,30
31,10927,nan,nan,nan,31
32,16584,nan,nan,nan,32
33,21402,nan,nan,nan,33
34,40953,nan,nan,nan,34
35,18463,nan,nan,nan,35
36,7308,nan,nan,nan,36
37,22230,nan,nan,nan,37
38,35991,nan,nan,nan,38
39,50473,nan,nan,nan,39
40,16607,nan,nan,nan,40
41,45297,nan,nan,nan,41
42,18266,nan,nan,nan,42
43,40703,nan,nan,nan,43
44,19707,nan,nan,nan,44
45,28977,nan,nan,nan,45
46,29844,nan,nan,nan,46
47,3237,nan,nan,nan,47
48,25185,nan,nan,nan,48
49,33487,nan,nan,nan,49
50,16188,nan,nan,nan,50
51,32791,nan,nan,nan,51
52,47008,nan,nan,nan,52
53,40211,nan,nan,nan,53
54,25196,nan,nan,nan,54
55,37090,nan,nan,nan,55
56,31746,nan,nan,nan,56
57,13808,nan,nan,nan,57
58,35102,nan,nan,nan,58
59,21036,nan,nan,nan,59
60,29532,nan,nan,nan,60
61,11785,nan,nan,nan,61
62,35076,nan,nan,nan,62
63,35028,nan,nan,nan,63
64,47554,nan,nan,nan,64
65,48406,nan,nan,nan,65
66,8418,nan,nan,nan,66
67,47986,nan,nan,nan,67
68,32830,nan,nan,nan,68
69,36837,nan,nan,nan,69
70,38425,nan,nan,nan,70
71,10119,nan,nan,nan,71
72,10177,nan,nan,nan,72
73,41765,nan,nan,nan,73
74,8641,nan,nan,nan,74
75,40754,nan,nan,nan,75
76,8720,nan,nan,nan,76
77,26462,nan,nan,nan,77
78,25910,nan,nan,nan,78
79,21449,nan,nan,nan,79
80,48230,nan,nan,nan,80
81,32911,nan,nan,nan,81
82,31326,nan,nan,nan,82
83,36482,nan,nan,nan,83
84,23137,nan,nan,nan,84
85,6733,nan,nan,nan,85
86,47548,nan,nan,nan,86
87,22288,nan,nan,nan,87
88,29381,nan,nan,nan,88
89,49476,nan,nan,nan,89
90,43288,nan,nan,nan,90
91,29035,nan,nan,nan,91
92,44865,nan,nan,nan,92
93,40947,nan,nan,nan,93
94,45115,nan,nan,nan,94
95,36020,nan,nan,nan,95
96,20329,nan,nan,nan,96
97,19807,nan,nan,nan,97
98,11445,nan,nan,nan,98
99,20309,nan,nan,nan,99
100,12652,nan,nan,nan,100
101,19872,nan,nan,nan,101
102,24787,nan,nan,nan,102
103,48823,nan,nan,nan,103
104,5072,nan,nan,nan,104
105,8632,nan,nan,nan,105
106,11912,nan,nan,nan,106
107,28381,nan,nan,nan,107
108,29403,nan,nan,nan,108
109,29095,nan,nan,nan,109
110,41487,nan,nan,nan,110
111,18209,nan,nan,nan,111
112,16726,nan,nan,nan,112
113,28621,nan,nan,nan,113
114,25790,nan,nan,nan,114
115,7197,nan,nan,nan,115
116,4851,nan,nan,nan,116
117,36469,nan,nan,nan,117
118,37104,nan,nan,nan,118
119,39278,nan,nan,nan,119
120,16802,nan,nan,nan,120
121,40676,nan,nan,nan,121
122,14657,nan,nan,nan,122
123,25561,nan,nan,nan,123
124,47547,nan,nan,nan,124
125,36326,nan,nan,nan,125
126,45446,nan,nan,nan,126
127,32520,nan,nan,nan,127
128,4353,nan,nan,nan,128
129,46899,nan,nan,nan,129
130,23504,nan,nan,nan,130
131,38247,nan,nan,nan,131
132,19936,nan,nan,nan,132
133,41226,nan,nan,nan,133
134,8544,nan,nan,nan,134
135,7997,nan,nan,nan,135
136,15568,nan,nan,nan,136
137,6303,nan,nan,nan,137
138,45633,nan,nan,nan,138
139,6377,nan,nan,nan,139
140,12976,nan,nan,nan,140
141,49924,nan,nan,nan,141
142,10658,nan,nan,nan,142
143,21665,nan,nan,nan,143
144,9761,nan,nan,nan,144
145,29661,nan,nan,nan,145
146,32875,nan,nan,nan,146
147,2186,nan,nan,nan,147
148,41002,nan,nan,nan,148
149,15101,nan,nan,nan,149
150,38398,nan,nan,nan,150
151,1760,nan,nan,nan,151
152,3794,nan,nan,nan,152
153,49047,nan,nan,nan,153
154,13913,nan,nan,nan,154
155,2439,nan,nan,nan,155
156,48286,nan,nan,nan,156
157,27785,nan,nan,nan,157
158,5582,nan,nan,nan,158
159,32745,nan,nan,nan,159
160,48914,nan,nan,nan,160
161,24988,nan,nan,nan,161
162,15356,nan,nan,nan,162
163,17380,nan,nan,nan,163
164,6181,nan,nan,nan,164
165,1378,nan,nan,nan,165
166,15123,nan,nan,nan,166
167,49852,nan,nan,nan,167
168,17945,nan,nan,nan,168
169,42840,nan,nan,nan,169
170,38278,nan,nan,nan,170
171,47732,nan,nan,nan,171
172,18455,nan,nan,nan,172
173,46518,nan,nan,nan,173
174,33066,nan,nan,nan,174
175,31621,nan,nan,nan,175
176,10577,nan,nan,nan,176
177,3090,nan,nan,nan,177
178,5242,nan,nan,nan,178
179,47304,nan,nan,nan,179
180,43741,nan,nan,nan,180
181,32813,nan,nan,nan,181
182,14703,nan,nan,nan,182
183,45017,nan,nan,nan,183
184,10817,nan,nan,nan,184
185,28739,nan,nan,nan,185
186,10084,nan,nan,nan,186
187,20792,nan,nan,nan,187
188,48697,nan,nan,nan,188
189,18977,nan,nan,nan,189
190,17840,nan,nan,nan,190
191,33985,nan,nan,nan,191
192,17580,nan,nan,nan,192
193,10226,nan,nan,nan,193
194,41395,nan,nan,nan,194
195,996,nan,nan,nan,195
196,38641,nan,nan,nan,196
197,22116,nan,nan,nan,197
198,17381,nan,nan,nan,198
199,11189,nan,nan,nan,199
200,32896,nan,nan,nan,200
201,35034,nan,nan,nan,201
202,7340,nan,nan,nan,202
203,38274,nan,nan,nan,203
204,40520,nan,nan,nan,204
205,13764,nan,nan,nan,205
206,49350,nan,nan,nan,206
207,46215,nan,nan,nan,207
208,26968,nan,nan,nan,208
209,26336,nan,nan,nan,209
210,45084,nan,nan,nan,210
211,25346,nan,nan,nan,211
212,7438,nan,nan,nan,212
213,37239,nan,nan,nan,213
214,50309,nan,nan,nan,214
215,7510,nan,nan,nan,215
216,31741,nan,nan,nan,216
217,47683,nan,nan,nan,217
218,37635,nan,nan,nan,218
