step,action,psnr_value,mse_value,ssim_value,rank
1,12576,5.453619922586549,0.2851044907886738,0.015462952145891851,1
2,9887,5.497954414498347,0.2822019528475695,0.01538003941131593,2
3,8666,5.507763873300833,0.281560660712804,0.01645043461629448,3
4,11355,5.5122400148570545,0.28126820642703754,0.015382129536918697,4
5,8157,5.522488764028095,0.2806038548832266,0.004465671495579462,5
6,23588,5.523513371503768,0.28053480055425034,0.0033325395406906414,6
7,2197,5.5608951570008704,0.2781272087482099,0.008930603954881497,7
8,14679,5.636149456929097,0.27335210523544345,0.013078006759928134,8
9,4152,5.640498201512808,0.27307573433348964,0.011551407524156402,9
10,23390,5.640779595813471,0.27305491309736935,0.009717749448229781,10
11,14291,5.719576289423287,0.26814174944588126,0.026245274528930964,11
12,22552,5.753081582128694,0.26607793184149403,0.05121769708166486,12
13,19549,5.754354905243433,0.26599996438813245,0.04952291677053699,13
14,21004,5.763511312379643,0.26543724846572336,0.053748118090619884,14
15,17980,5.7635121265664235,0.26543719243771047,0.05372094911917138,15
16,227,5.786743663987557,0.26403440430528863,0.05888232752837398,16
17,7392,5.817594552287689,0.2621634823291756,0.06068431769008414,17
18,15697,5.821911909144719,0.2621168723054877,0.06223279025042386,18
19,11507,5.821955966841985,0.26212088047412263,0.06188486004134874,19
20,15748,5.821998289169795,0.2621176872866783,0.06182235158431796,20
21,24605,5.82544795671933,0.2619443697891233,0.06193511140805665,21
22,719,5.842273100928013,0.2610894237482658,0.06729427389250832,22
23,23001,5.911243002208515,0.25696695326384117,0.06601152762839656,23
24,3751,5.911348522825859,0.25696073359458516,0.06604540866273423,24
25,19138,5.923858015178731,0.25620514794275495,0.06527534372506498,25
26,24196,5.924108370004043,0.256188460512707,0.06448446277782417,26
27,7371,5.948710598725833,0.254745038909871,0.07523672932593767,27
28,3485,5.948586629047506,0.25474498607448925,0.07536075556467184,28
29,2949,5.949608351770196,0.2546720191129744,0.07911149311378293,29
30,5089,5.9703350104898405,0.25345254365338205,0.08377875000179988,30
31,12896,6.01744533443677,0.2507141248564032,0.09374721740245734,31
32,4851,6.030663705792514,0.249969908178313,0.09587446389083089,32
33,22977,6.034269624997139,0.24973109907934118,0.09302419205952095,33
34,1982,6.036052496446672,0.24968306881797933,0.09233499265561304,34
35,21993,6.0419855284763555,0.24932255503840461,0.0941504119060693,35
36,25138,6.072631284716267,0.24761643418976492,0.10104047096054872,36
37,22445,6.072155066799763,0.2474437632054266,0.1019919538584078,37
38,23776,6.132719802362356,0.24445782765799087,0.11208996530020558,38
39,825,6.156038558163067,0.24314011866219137,0.11270236198220314,39
40,23707,6.195521616558728,0.24089451159436154,0.1218486299593289,40
41,17800,6.21360743841791,0.2399063162414196,0.12040004762609952,41
42,21350,6.215628329545701,0.23979325466646728,0.12134857503019113,42
43,4378,6.215739284656587,0.23978726223804311,0.12125959185380947,43
44,18512,6.215782568698725,0.2397784685611216,0.12060622615983578,44
45,21236,6.2268790566774985,0.2391440277251306,0.13502755792674753,45
46,2904,6.255475088680903,0.23784077707226622,0.1497819375727732,46
47,11154,6.255356967571853,0.23784670153698806,0.14972978654590904,47
48,13354,6.260090767316287,0.23761799252376048,0.15076093150677944,48
49,13556,6.260086774751494,0.2376102201589425,0.14967635136738427,49
50,10690,6.272287680389303,0.23690886844161607,0.14875816217288967,50
51,24095,6.282698950473282,0.23636482584266358,0.1512829055498634,51
