step,action,psnr_value,mse_value,ssim_value,rank
1,28670,5.34066016094612,0.29261706684802813,0.004913489334285259,1
2,35617,5.4186324965493355,0.2874096628835616,0.04167921096086502,2
3,8679,5.57629784293235,0.2771592845207272,0.06067829579114914,3
4,22,5.594961443760676,0.2759687421695249,0.06799133867025375,4
5,36003,5.668397805842245,0.271338588153136,0.06684784591197968,5
6,37587,5.6687779530005775,0.27131535764803416,0.06644965708255768,6
7,34287,5.674691393502405,0.2709476390891651,0.06625821441411972,7
8,8293,5.685770660952645,0.2702591790432829,0.07274917513132095,8
9,3761,5.711665553562351,0.2686514518317733,0.06837952136993408,9
10,29238,5.714392913127073,0.26848343968482163,0.06582723557949066,10
11,21831,5.727833456258294,0.26764882979825616,0.05890219286084175,11
12,19020,5.803540888988392,0.2630227716826792,0.061079464852809906,12
13,20215,5.889398302283036,0.2579001558449037,0.11200674623250961,13
14,31447,5.926830987478886,0.25567056737536203,0.10152995586395264,14
15,29825,5.937350689794241,0.2550461238970699,0.09621264040470123,15
16,12975,5.943999728295508,0.25469989444208496,0.10487226396799088,16
17,5315,5.946589198051355,0.2545682124058079,0.09972720593214035,17
18,37701,5.97780757511485,0.252704446452515,0.10660602152347565,18
19,8432,5.991315082426105,0.25212972369934755,0.11054439842700958,19
20,21254,6.01772373481095,0.25059395235987775,0.11739356070756912,20
21,47595,6.048163543844095,0.2498891297759711,0.13347387313842773,21
22,48859,6.186489516504022,0.241956304563159,0.1323210746049881,22
23,36371,6.231659644803881,0.2396707718709303,0.13333992660045624,23
24,28935,6.236747842023296,0.23941550194422764,0.13596108555793762,24
25,17559,6.240295221817886,0.23924422481734686,0.13501819968223572,25
26,30670,6.276685134954464,0.23727029746556177,0.12954792380332947,26
27,42815,6.277994789760393,0.237211338412388,0.13151150941848755,27
28,28773,6.311216937750029,0.2365124460209841,0.14020013809204102,28
29,12872,6.311418088763407,0.23648535949543656,0.13901327550411224,29
30,4276,6.314572160951232,0.23637200560121124,0.13990627229213715,30
31,10719,6.31459870779787,0.23637197536415366,0.14005769789218903,31
32,13676,6.31635200068104,0.2363688597153762,0.14095352590084076,32
33,41231,6.326283935503662,0.23573520948028823,0.1476728767156601,33
34,40025,6.321568734181334,0.23511854593088516,0.1437636762857437,34
35,32181,6.321922486890172,0.2351121544152465,0.14265738427639008,35
36,44613,6.3209754466724295,0.23524716870692425,0.1440303772687912,36
37,28572,6.321108941817601,0.2352323489717714,0.14324842393398285,37
38,46635,6.362704597762966,0.23324477740735952,0.14648279547691345,38
