step,action,psnr_value,mse_value,ssim_value,rank
1,3065,5.375338156921968,0.2902927609252113,0.01166628262652574,1
2,17046,5.389211894089144,0.2893659719297087,0.00286593863019099,2
3,12409,5.426849640011033,0.2868672068929142,0.00383435373518313,3
4,1374,5.433587067420912,0.286420433008485,-0.002693055593242774,4
5,13675,5.49611486565333,0.28232461903354256,-0.0012751112189300423,5
6,3415,5.621207834674412,0.27431154669172114,0.04796276643463429,6
7,20057,5.627541148512602,0.27390975631921405,0.04468952121186352,7
8,21923,5.645831162408054,0.27274382628874116,0.039177803505915716,8
9,17567,5.67377233525804,0.2709935111030535,0.036616131206320505,9
10,17135,5.674737894271436,0.2709612927219757,0.03642482222901955,10
11,12224,5.682100284780805,0.27066827491239853,0.03864716667168235,11
12,8134,5.687496197818806,0.2703265248135607,0.0342890322283391,12
13,5283,5.689230563390685,0.2702236016070284,0.03390298144662074,13
14,8506,5.706028991814037,0.26916183266956517,0.04706536699567351,14
15,13643,5.706587723258913,0.26912424671810004,0.04659981354029423,15
16,319,5.708075377949138,0.26904509022069306,0.04302636643839456,16
17,268,5.71594297107478,0.26857249575295294,0.04106385348395886,17
18,12612,5.754368124855902,0.2661843239370617,0.04147241984695115,18
19,3775,5.760885283078414,0.2658447669208905,0.04221635842338444,19
20,11199,5.768348145266449,0.265323661885368,0.046611945987752985,20
21,13379,5.788593781934689,0.2641678560306701,0.054050667047943465,21
22,14348,6.057573109523156,0.24847559353092113,0.06427548308986686,22
23,13568,6.0908616361315495,0.2466945100386025,0.06295400007757639,23
24,8139,6.106180784470917,0.24577049546955057,0.05349511518791867,24
25,9982,6.120469588245081,0.24512508387979512,0.05232769805058306,25
26,22465,6.156198236608582,0.24352432182696077,0.045870466758704424,26
27,13102,6.160087571621732,0.2432953274844976,0.04481860892559408,27
28,20425,6.170050391206271,0.24292144268149937,0.046178513685709244,28
29,1333,6.230408566003806,0.2394498284267045,0.06658274361402876,29
30,229,6.246429231289233,0.23852105500898782,0.07054436131716788,30
31,9995,6.409485746665926,0.23084559384691672,0.0937742929129522,31
