step,action,psnr_value,mse_value,ssim_value,rank
1,24945,5.53418453389045,0.2798700174045569,0.008398869074881077,1
2,22666,5.544914373560566,0.2791768039181904,0.011078868061304092,2
3,31494,5.594874807163732,0.275981574455739,0.01716083288192749,3
4,2275,5.628444729831573,0.2738536024516317,0.009508665651082993,4
5,49440,5.628444332901069,0.27385364052083244,0.009480761364102364,5
6,15811,5.708318688323707,0.26885954871733664,0.001923121279105544,6
7,13350,5.710728358206922,0.26871108627631113,-0.0015193779254332185,7
8,8154,5.743362244689701,0.2667774777348864,-0.02061360515654087,8
9,17957,5.749714037141795,0.2663787351296787,-0.022686298936605453,9
10,8716,5.749941978487079,0.2663778006479985,-0.022582586854696274,10
11,34136,5.762835061289073,0.265776813857538,-0.020173072814941406,11
12,714,5.765265825573673,0.2656521749522679,-0.022538986057043076,12
13,22913,5.781593761391423,0.2646275247521433,-0.02239319495856762,13
14,38036,5.7912209525468095,0.26403448178169686,-0.018217435106635094,14
15,29602,5.809395904705186,0.26292502392457157,-0.027472728863358498,15
16,41442,5.8155501279024975,0.262552346594601,-0.033956337720155716,16
17,21058,5.826351020064273,0.2618904737473213,-0.030323129147291183,17
18,24498,5.97316048075077,0.253562711441727,0.08170609921216965,18
19,27430,5.969839081212134,0.25344204178572555,0.08019214123487473,19
20,27142,5.969946941493265,0.25344356815246455,0.07945026457309723,20
21,42651,5.992480048917597,0.25235147603011354,0.06899955868721008,21
22,29743,6.0083004756403735,0.25149534229140097,0.07277882099151611,22
23,39443,6.009356004543484,0.2514231176965672,0.07108359038829803,23
24,20662,6.0093835661246615,0.2514215906342022,0.07135454565286636,24
25,45339,6.020890161234204,0.2509939203374582,0.07979391515254974,25
26,35455,6.063645960725511,0.24828772579668262,0.08235754072666168,26
27,5353,6.064205194435597,0.24825579966719438,0.08070400357246399,27
28,24434,6.0674995885876175,0.24806237782241095,0.08599274605512619,28
29,16589,6.239801799296393,0.23874696312286536,0.1983494907617569,29
30,24805,6.3690178011960015,0.2319093783136279,0.2045016884803772,30
31,8279,6.383798317904028,0.23098379941430267,0.1997193545103073,31
32,4226,6.433734764247189,0.22856857479304823,0.20117856562137604,32
33,43250,6.444981232096937,0.22808673938805693,0.19861239194869995,33
34,34492,6.455032245015932,0.22768252508446848,0.19217287003993988,34
35,15090,6.455846533180402,0.22767733373031307,0.19119444489479065,35
36,4777,6.469764249205021,0.2269303000181056,0.1908055990934372,36
37,29309,6.470025008483253,0.22690706549813108,0.19057568907737732,37
38,29745,6.509335053248419,0.22574536821979363,0.1995217353105545,38
39,46087,6.51439187306639,0.22553614883278997,0.20219652354717255,39
40,34160,6.543094225891042,0.22402612224976243,0.2032794952392578,40
41,14248,6.543546681863351,0.2239974405970141,0.20392124354839325,41
42,27571,6.553896434381198,0.22371540395224074,0.2044011950492859,42
43,4956,6.5582866166877025,0.22352689365308467,0.204533651471138,43
44,29528,6.681962340926869,0.21733117719948927,0.21222561597824097,44
