step,action,psnr_value,mse_value,ssim_value,rank,action
1,4770,3.5816688176357196,483.64546115219594,0.01817438820817773,1,[4 7 7 0]
2,433,3.034985856809715,975.2957218861579,-0.013041531589188114,2,[0 4 3 3]
3,2778,3.147884777065117,48.636981344223024,-0.025138718381994652,3,[2 7 7 8]
4,6548,2.9298189468826847,18.232382958466186,-0.037102698325384834,4,[6 5 4 8]
5,5315,3.367085627496045,98.55963577058166,-0.02690979089958795,5,[5 3 1 5]
6,6916,3.1087622854683667,14.704677098728716,-0.010968672995033738,6,[6 9 1 6]
7,8170,3.4397715839659133,1.1552292244508862,-0.012176692500098198,7,[8 1 7 0]
8,3642,3.5188434328095552,0.8459581295121461,-0.011063360819411071,8,[3 6 4 2]
9,5208,3.577354003019915,0.8661481219343841,-0.01141334716680643,9,[5 2 0 8]
10,3780,3.624167594244314,0.8003233212511986,-0.02226024025304722,10,[3 7 8 0]
11,6265,3.6030777252764503,0.8117637529794592,-0.0026288375482828212,11,[6 2 6 5]
12,31,3.6166221228013775,0.8389586775167845,0.005708932067333599,12,[0 0 3 1]
13,2778,3.7353708265732406,0.8400081062345999,0.013370600668161096,13,[2 7 7 8]
14,3391,3.7675088949671753,0.7975677788653411,0.014740481378603681,13,[3 3 9 1]
15,6792,3.6414663717470663,0.9887544881855138,-0.0028123137319476577,14,[6 7 9 2]
16,9617,3.6133505987080667,0.9534357143030502,-0.002886638061355953,15,[9 6 1 7]
17,96,3.5745716570082378,0.8354666684498079,-0.004801549861806883,16,[0 0 9 6]
18,5675,3.496079323236389,0.9266489943186752,-0.006386312553205591,17,[5 6 7 5]
19,5436,3.542148530345588,0.8352316069277004,-0.004891103161769218,18,[5 4 3 6]
20,1673,3.66612836517083,0.7870662163104862,0.011482122570179856,19,[1 6 7 3]
21,8211,3.636053012419496,0.8111425077100285,0.008208633782567564,20,[8 2 1 1]
22,3538,3.737086172918011,0.9364768552733586,0.03271072835049951,21,[3 5 3 8]
23,9277,3.9599273129814487,0.7562693887320348,0.01699068298484297,22,[9 2 7 7]
24,5574,3.7564983870456716,0.8551067263708683,-0.005513122367410081,23,[5 5 7 4]
25,7131,3.7946480137638643,0.8297925635357387,0.00045607662660406445,24,[7 1 3 1]
26,7904,3.8106187965887135,0.8536775045795366,0.007181165972969731,25,[7 9 0 4]
27,6187,3.7753063424626965,0.9262948920833878,0.024226721971162365,26,[6 1 8 7]
28,7645,3.282473177770517,1.6129672912195383,0.024342289602461365,27,[7 6 4 5]
29,6053,3.295232220063663,1.5045173944090493,0.024147279511792904,28,[6 0 5 3]
30,6799,3.7235718619537477,2.8977765247336356,0.07811065341040353,29,[6 7 9 9]
31,4075,3.779556292682744,2.700972381705069,0.07879064125166609,30,[4 0 7 5]
32,3903,3.612854036299944,2.6462784099015697,0.06385212413956823,31,[3 9 0 3]
33,2815,3.2377780831502263,2.3699149900389602,0.04050261732679672,32,[2 8 1 5]
34,5120,3.2273654425465192,2.7303788820543557,0.03263619652509107,33,[5 1 2 0]
35,4700,3.527455895216466,2.492165941115236,0.06742911045198494,34,[4 7 0 0]
36,7243,3.643048344964535,2.5539093431143556,0.0845734476644571,35,[7 2 4 3]
37,9042,3.558268550347041,2.8168469211527554,0.049935474901828286,36,[9 0 4 2]
38,1243,3.493300047164249,2.623295136243105,0.033461487906895244,37,[1 2 4 3]
39,296,3.4553048233856236,2.236784802749171,0.021889336331695906,38,[0 2 9 6]
40,1070,3.497787974926403,2.296626497893594,0.0238879535619827,39,[1 0 7 0]
41,6007,3.1768848140108297,4.259718437891861,-0.01621190668269613,40,[6 0 0 7]
42,5904,3.6706184986335613,4.501678483078868,0.026630921329574203,41,[5 9 0 4]
43,9237,3.4099165006008656,3.6164074240800983,-0.020280695039016444,42,[9 2 3 7]
44,2794,3.52102640288856,2.346171115075558,-0.024657140126079106,43,[2 7 9 4]
45,97,3.4928686967646843,2.398175610612234,-0.028150737949735903,44,[0 0 9 7]
46,7176,3.4376184496217608,2.198510857089168,0.01949744296307669,45,[7 1 7 6]
47,5771,3.5011059555055524,2.237073963396142,0.025578790036694655,46,[5 7 7 1]
48,6913,3.4248637267668007,2.1639716273437535,0.015515214917453408,47,[6 9 1 3]
