step,action,psnr_value,mse_value,ssim_value,rank,action
1,144,5.432980365214207,0.286536398243554,0.08297642149508477,1,[0 1 4 4]
2,4225,5.9362455529879,0.25515249187249955,-0.008551448833577741,2,[4 2 2 5]
3,3462,5.859497582083911,0.2597388056698764,0.016945328057498363,3,[3 4 6 2]
4,9394,5.920761366732177,0.25607223305511584,-0.0060930125496828835,4,[9 3 9 4]
5,2516,5.929770948284238,0.25554545141286966,-0.00523045573327981,5,[2 5 1 6]
6,8444,5.61280280390635,0.27491709458612595,-0.006392196907559561,6,[8 4 4 4]
7,3049,5.2964953411169855,0.34546849744608793,0.11931101030658939,7,[3 0 4 9]
8,753,7.598455342001317,0.1765046914715828,0.02404733343109384,8,[0 7 5 3]
9,6285,7.40002283963213,0.1855316834727825,0.014885126245883992,9,[6 2 8 5]
10,6121,8.610763899902642,0.1404162450555825,0.07352062104452073,10,[6 1 2 1]
11,8920,8.636483217130843,0.13840113574692897,0.027278003032676478,11,[8 9 2 0]
12,6771,9.183223294728961,0.12191833588712868,0.02285212430656721,12,[6 7 7 1]
13,1337,9.253852803376855,0.11978669529224277,0.0293301312399493,13,[1 3 3 7]
14,7108,9.571673533870156,0.1114149027738722,0.03890280741083954,14,[7 1 0 8]
15,3098,9.88669728732518,0.10391920794177167,0.04119705322613607,15,[3 0 9 8]
16,1844,9.8260600902263,0.10512738506506196,0.05365736588143648,16,[1 8 4 4]
17,15,9.834811422640117,0.10499262666852076,0.05412282914350047,17,[0 0 1 5]
18,2244,10.314207233698689,0.09405424052325032,0.07721664997949163,18,[2 2 4 4]
19,1306,10.312746992560056,0.09408890334635558,0.07893932664387568,19,[1 3 0 6]
20,9832,11.014026893290998,0.08068920622310884,0.10187423092897752,20,[9 8 3 2]
21,1150,11.146338777204745,0.07831704336763622,0.10029190109214628,21,[1 1 5 0]
22,9495,11.170151338281418,0.07798763880433601,0.08967788786026851,22,[9 4 9 5]
23,4409,12.256130942875952,0.061594232561648886,0.11293824433566695,23,[4 4 0 9]
24,648,12.492203558895454,0.05841949338059464,0.1083627081265448,24,[0 6 4 8]
25,1679,13.616128357783799,0.04642902724534409,0.133953717512242,25,[1 6 7 9]
26,7255,13.754147336555953,0.04508809742575863,0.16824905650529412,26,[7 2 5 5]
27,1214,13.910714214546447,0.04386368967060264,0.18095222264551003,27,[1 2 1 4]
28,7470,13.735036794200182,0.04448991753858436,0.11829241493132152,28,[7 4 7 0]
29,9537,14.43405760886445,0.038359654356600714,0.14036168030135407,29,[9 5 3 7]
30,9987,14.960825959753963,0.03494114991784301,0.15478267017359998,30,[9 9 8 7]
31,1798,15.184724494478123,0.033925151915033355,0.1605293838885631,31,[1 7 9 8]
32,4565,15.551866791078883,0.03303336265173357,0.16643128704580554,32,[4 5 6 5]
33,715,15.462945602177989,0.0332862620514939,0.15558169245485423,33,[0 7 1 5]
34,6407,15.537193165470812,0.03291128130567159,0.15652936703675344,34,[6 4 0 7]
35,1067,15.75617259163522,0.03147817107139943,0.2128427973617716,35,[1 0 6 7]
36,7710,15.76180626060626,0.031440359504384396,0.21325717274639153,36,[7 7 1 0]
37,6713,15.760760371511168,0.03145011048589837,0.21310857627830818,37,[6 7 1 3]
38,7676,15.812745220398279,0.03106676782634878,0.21325695305197412,38,[7 6 7 6]
39,6423,16.022183016324934,0.029424913155894503,0.20339545180525018,39,[6 4 2 3]
40,889,16.277758417231937,0.027503686033681446,0.23199209025298764,40,[0 8 8 9]
41,3212,16.419467792331343,0.02703451630718817,0.24298391994598606,41,[3 2 1 2]
42,8798,16.430907929226628,0.026971826407270926,0.24295900946582888,42,[8 7 9 8]
43,9948,16.489594089767877,0.02647640836265694,0.244912906217561,43,[9 9 4 8]
44,7862,16.492297916376458,0.02646384796172768,0.2412682220780688,44,[7 8 6 2]
45,3270,16.515298977013867,0.02638021168841661,0.24043949792102418,45,[3 2 7 0]
46,8519,16.57296669162832,0.0261294438923591,0.24435174849971136,46,[8 5 1 9]
47,20,16.59998285776625,0.026039852476445198,0.2499379539885384,47,[0 0 2 0]
48,6774,16.567539116583433,0.026206284073010126,0.25948329307116247,48,[6 7 7 4]
49,2033,16.573432582019457,0.025924924658063765,0.2663950275639618,49,[2 0 3 3]
50,609,16.58741923029861,0.02585676352278071,0.27462452221324307,50,[0 6 0 9]
51,183,16.627429967651427,0.025493048089285823,0.28714171297229235,51,[0 1 8 3]
52,6461,16.600786351382602,0.025335732110791723,0.2900113151923561,52,[6 4 6 1]
53,7264,16.595752546400657,0.02535300525757652,0.28486532617671123,53,[7 2 6 4]
54,505,16.614055898237197,0.02525464222318021,0.28319648399389247,54,[0 5 0 5]
55,2189,16.773709979758213,0.02443303178881866,0.28898028524603936,55,[2 1 8 9]
56,7796,16.863663441999684,0.02385802685661833,0.2909774728642385,56,[7 7 9 6]
57,8642,16.87590803148598,0.02375582999793096,0.2932366842506505,57,[8 6 4 2]
58,7493,16.99060545112433,0.023311766326004176,0.30015234636165095,58,[7 4 9 3]
59,2267,17.279399294731668,0.02196929294454023,0.29007179568751656,59,[2 2 6 7]
60,2737,17.48963435953484,0.02107133223167267,0.29091141993972375,60,[2 7 3 7]
61,5582,17.533460007777993,0.020647818931837775,0.29460399363255496,61,[5 5 8 2]
62,5677,17.808852053502626,0.019683385901304716,0.30828496178807235,62,[5 6 7 7]
63,4547,17.911587417425295,0.019349001082412692,0.3256525158509199,63,[4 5 4 7]
64,9076,17.9150394910611,0.01933869000069279,0.3253096246726065,64,[9 0 7 6]
65,4509,18.312474251907787,0.018536954946398794,0.33732553000843873,65,[4 5 0 9]
66,843,18.448934795654374,0.018023216844274294,0.33546213042489426,66,[0 8 4 3]
67,5588,18.43742019139595,0.01765793600733133,0.3366422770821367,67,[5 5 8 8]
68,5168,18.446647030245373,0.01751905610004684,0.33153405122517354,68,[5 1 6 8]
69,1311,18.667126368598062,0.016798354807180685,0.36853529505113836,69,[1 3 1 1]
70,1052,19.06534882988898,0.01593957876689007,0.3689560147233491,70,[1 0 5 2]
71,832,19.158789618244715,0.01557652016498551,0.33421705449143935,71,[0 8 3 2]
72,7788,20.5200818990839,0.01171154640109428,0.36946051118759654,72,[7 7 8 8]
73,6932,20.55649525165105,0.011698296436055706,0.3667871897913436,73,[6 9 3 2]
74,2092,20.561087875546473,0.011692265472442998,0.36657324771996647,74,[2 0 9 2]
75,7955,20.92519654732291,0.010228492440817867,0.3630903561233288,75,[7 9 5 5]
76,5371,20.91319362257571,0.010237330720677775,0.36113247953762806,76,[5 3 7 1]
77,1455,20.934571119606915,0.010198312683297565,0.3654241470262425,77,[1 4 5 5]
78,878,21.23106823850382,0.009712084055649833,0.37545972108374664,78,[0 8 7 8]
79,6035,21.60838833273562,0.008316675340468373,0.2684036926734476,79,[6 0 3 5]
80,2499,21.60934387807247,0.008312579974099564,0.2703129059866474,80,[2 4 9 9]
81,9303,21.86085446685549,0.007763353241492191,0.27685248344246943,81,[9 3 0 3]
82,1834,22.54102837374349,0.006527763980535468,0.32693869783770346,82,[1 8 3 4]
83,6976,22.546567095435645,0.006507821599666279,0.32596002090859844,83,[6 9 7 6]
84,3572,22.542318798273456,0.006510476238042786,0.3288244063894106,84,[3 5 7 2]
85,4561,22.581815090712787,0.006454506554811985,0.32760595743075205,85,[4 5 6 1]
86,5788,22.584078571614082,0.006453490630909791,0.3365216448903057,86,[5 7 8 8]
87,9542,22.908793253364767,0.005938569495104753,0.35922649397732315,87,[9 5 4 2]
88,5785,22.911447705194753,0.005933750921904029,0.3598776405262628,88,[5 7 8 5]
89,6078,22.972265027061283,0.0058714823054002,0.35615321413055806,89,[6 0 7 8]
90,9516,22.97124211452724,0.005843364838161307,0.3636754460858941,90,[9 5 1 6]
91,4720,23.46016581110193,0.005255097963234654,0.41715828824721085,91,[4 7 2 0]
92,5171,23.539342694311934,0.0051955907109334735,0.4193370602930943,91,[5 1 7 1]
93,7871,23.633594858744594,0.005114111033011035,0.4234887220847968,91,[7 8 7 1]
94,3605,23.638491638869638,0.005108772135151724,0.4218268343064704,91,[3 6 0 5]
95,6727,23.629891805977547,0.005121441500084672,0.4175768438924628,91,[6 7 2 7]
96,4813,24.061581876774824,0.004448502601660564,0.48596190372772147,91,[4 8 1 3]
97,5870,24.061035767494474,0.004448330742964623,0.48641361282225903,91,[5 8 7 0]
98,6045,24.1613745606648,0.00435199131480914,0.5044976106116664,91,[6 0 4 5]
99,2486,24.17056083806198,0.00434587289158408,0.5108040810983233,91,[2 4 8 6]
100,7500,24.446902817851512,0.004080519082462644,0.5213938662482843,91,[7 5 0 0]
101,1996,24.495632687147463,0.004035302078236782,0.5188870474812354,91,[1 9 9 6]
102,7111,24.814939867004156,0.0037780883064597857,0.533737425643694,92,[7 1 1 1]
103,5580,24.810185783718882,0.0037778883639379046,0.5339586725129395,92,[5 5 8 0]
104,4978,25.002318598307575,0.0036781176270794446,0.5367734312040533,93,[4 9 7 8]
105,9029,25.56104359030237,0.0032525248109759276,0.5889545910423956,93,[9 0 2 9]
106,5858,25.93883550307883,0.0031435773701445056,0.5991423269999422,94,[5 8 5 8]
107,7753,25.93091042101029,0.0031510081868687933,0.6092790762690468,94,[7 7 5 3]
108,5428,25.96406576037481,0.003118356883879869,0.6091332369051933,94,[5 4 2 8]
109,7295,25.962769773857694,0.0031198585928749268,0.6083637767196548,95,[7 2 9 5]
110,8798,25.951925711925057,0.003125902361571846,0.6077962675803692,95,[8 7 9 8]
111,1088,25.986551806193503,0.0031094997124474586,0.6092765055782962,95,[1 0 8 8]
112,1174,25.989875796010587,0.003106799854421922,0.6089912451744011,95,[1 1 7 4]
113,8844,25.994296351501962,0.0030807083406774894,0.6100972528458406,95,[8 8 4 4]
114,7463,25.991043109584542,0.0030870514001342998,0.6090869800293153,95,[7 4 6 3]
115,317,26.00076823033682,0.0030860466493142624,0.6085762915237136,95,[0 3 1 7]
116,2502,26.7741365550676,0.0029110018649254597,0.5915866141412496,96,[2 5 0 2]
117,9666,26.78365691910792,0.00289632923980033,0.591707892187412,96,[9 6 6 6]
118,7802,26.835715017144732,0.002784172163624703,0.6063815976599902,96,[7 8 0 2]
