step,action,psnr_value,mse_value,ssim_value,rank,action
1,4859,6.507385830869612,0.22373442592074683,0.08803275751924741,1,[4 8 5 9]
2,9225,7.359855616141685,0.1839185615967058,0.12197092688858366,2,[9 2 2 5]
3,6744,7.925001836414497,0.16198328120267833,0.20511470091032225,3,[6 7 4 4]
4,3468,7.927082632703789,0.16188989973188084,0.20505651918047438,4,[3 4 6 8]
5,2222,8.012373866165653,0.15854615218337487,0.21034117424192184,5,[2 2 2 2]
6,7768,8.008051080380604,0.15869940326444434,0.2009690202729332,6,[7 7 6 8]
7,6216,8.276075575012012,0.14966318505177884,0.2055223512190015,7,[6 2 1 6]
8,6921,8.28181558627207,0.1494178875128512,0.2044504144684578,8,[6 9 2 1]
9,7877,8.290412086133784,0.14910205418148362,0.214454108585007,9,[7 8 7 7]
10,2046,8.343548477052721,0.14719385658625306,0.22146207350196426,10,[2 0 4 6]
11,797,8.35145604047523,0.1468605394522343,0.23140133548060207,11,[0 7 9 7]
12,659,8.4032066404673,0.14663070783174145,0.19209845336693823,12,[0 6 5 9]
13,3337,8.363329006398262,0.14775909422775235,0.20227541996029585,13,[3 3 3 7]
14,2745,8.398892958578498,0.1461389655860541,0.20704251458781847,14,[2 7 4 5]
15,2292,8.561520705253065,0.14152429566134178,0.23924593835552646,15,[2 2 9 2]
16,8343,8.651876696756823,0.13789334164133085,0.22800270297189948,16,[8 3 4 3]
17,1207,8.707140675229223,0.1362287008027927,0.2257904846452507,17,[1 2 0 7]
18,6172,8.781764799751432,0.13396532782929388,0.2291847834732647,18,[6 1 7 2]
19,7221,8.751262683434273,0.13481184290901355,0.22664712290936487,19,[7 2 2 1]
20,6021,8.670457672492093,0.13747655453049362,0.21870345268828434,20,[6 0 2 1]
21,1641,9.31426983025308,0.11969182660752843,0.21565608889504895,21,[1 6 4 1]
22,4984,9.444246101729103,0.11605363375466443,0.21481104251055289,22,[4 9 8 4]
23,8622,9.825473147387072,0.1063926063501932,0.23006209798191848,23,[8 6 2 2]
24,7250,10.028309987780649,0.10257815338885251,0.22873180490637007,24,[7 2 5 0]
25,9781,10.037487016973456,0.10218998227478412,0.22932674921543916,25,[9 7 8 1]
26,2956,10.247482708019628,0.0970361957436657,0.3164426536072837,26,[2 9 5 6]
27,4420,10.291936598285965,0.09635699585602012,0.3161505119846757,27,[4 4 2 0]
28,7108,10.413915200302968,0.09436439304629488,0.31698048483620717,28,[7 1 0 8]
29,7012,10.413243552007348,0.09438143608150217,0.3169891174992874,29,[7 0 1 2]
30,9396,10.39689648578144,0.09466638651670949,0.3182819493565233,30,[9 3 9 6]
31,7098,10.511306731888872,0.0924703386869432,0.3330944656380693,31,[7 0 9 8]
32,2957,10.699134793414473,0.08879018174527814,0.27506364429906693,32,[2 9 5 7]
33,9797,10.75694566717161,0.0878485423268944,0.27765740643309605,33,[9 7 9 7]
34,5795,10.839684794885391,0.08594711956987865,0.30255797543323054,34,[5 7 9 5]
35,8448,11.020823622339108,0.08223016548254065,0.2889713703204171,35,[8 4 4 8]
36,6001,11.155411365750021,0.08009291151115065,0.30269993577038423,36,[6 0 0 1]
37,973,11.387719005773523,0.07615185309606275,0.30907981700800086,37,[0 9 7 3]
38,4464,11.362383563196321,0.07684858458558168,0.3100911837947764,38,[4 4 6 4]
39,2418,11.367843410191265,0.07661172131835159,0.3123987972983298,39,[2 4 1 8]
40,3455,11.672777000802334,0.07213709329143185,0.3370417028542223,40,[3 4 5 5]
41,6242,11.66965705282566,0.07217508522260573,0.3346877450320743,41,[6 2 4 2]
42,7742,11.760899670227332,0.0704101022082131,0.3167924481620934,42,[7 7 4 2]
43,6738,11.758205426877335,0.07046849842674774,0.3157710058661351,43,[6 7 3 8]
44,2787,11.759755840753353,0.07043530780154611,0.31523826061703397,44,[2 7 8 7]
45,6926,11.754987559953483,0.07050942579386657,0.31504001853309455,45,[6 9 2 6]
46,7204,11.802293957205507,0.06991075138185238,0.32309970623211115,46,[7 2 0 4]
47,307,11.835743111350414,0.06952995529578189,0.3196213017348569,47,[0 3 0 7]
48,5302,13.148423096172692,0.05292780382878362,0.37643425541317066,48,[5 3 0 2]
49,1208,13.151773767216714,0.05308496432924031,0.37109303498052804,49,[1 2 0 8]
50,2492,13.160828691095993,0.052999454106483906,0.3701724231372808,50,[2 4 9 2]
51,5995,13.162812753380377,0.05296969540058001,0.37000008510126003,51,[5 9 9 5]
52,2344,13.153897471370438,0.05296472972229253,0.36333595812943703,52,[2 3 4 4]
53,1434,13.15649012428712,0.05292616467602954,0.36168458974699536,53,[1 4 3 4]
54,6594,13.15652553915018,0.05292622520081693,0.36172796896946213,54,[6 5 9 4]
55,7997,13.202815638634917,0.05146667922847144,0.35380416134307185,55,[7 9 9 7]
56,3854,13.377910944962775,0.04980315528130177,0.3723610623712864,56,[3 8 5 4]
57,5116,13.356670129932752,0.04992106051538201,0.36967539728878196,57,[5 1 1 6]
58,3533,13.546922872959257,0.04771612513421928,0.39562562815228386,58,[3 5 3 3]
59,9744,13.557502033949799,0.047602589998508194,0.39501478521939914,59,[9 7 4 4]
60,3224,13.69934394551308,0.046075345006464694,0.3828225656261474,60,[3 2 2 4]
61,9661,13.70433205421157,0.0459939728712996,0.3843302246379304,61,[9 6 6 1]
62,2721,13.798478838693573,0.04517235650162732,0.4277149911131871,62,[2 7 2 1]
63,6265,13.79743241791348,0.04516656865188423,0.4277217874871767,63,[6 2 6 5]
64,5446,13.81280713610993,0.044843013475312575,0.41991541062759385,64,[5 4 4 6]
65,1720,13.865967598569007,0.04427492989111645,0.42458863975029304,65,[1 7 2 0]
66,5272,13.973122475688848,0.04318199613566037,0.4216722005361235,66,[5 2 7 2]
67,207,14.300378600435252,0.0394850677499743,0.43739457483323746,67,[0 2 0 7]
68,4262,14.456086738988494,0.038305381187070824,0.44019061374368035,68,[4 2 6 2]
69,8408,14.455936252463665,0.038305018792627404,0.4402099139027489,68,[8 4 0 8]
70,8216,14.456240533014073,0.03830830068357219,0.44105173844233514,69,[8 2 1 6]
71,2282,14.45283534368706,0.03832294175204326,0.4375493505119632,70,[2 2 8 2]
72,1740,14.448754303144941,0.038335539326477604,0.43468911465704635,71,[1 7 4 0]
73,3781,14.483987540899674,0.038096717288449614,0.43435454580144855,72,[3 7 8 1]
74,2775,14.473143051289883,0.038200567052207784,0.43749407396219847,73,[2 7 7 5]
75,6356,14.627157653459832,0.03695068116387489,0.43934108647705966,74,[6 3 5 6]
76,1162,14.627274314953432,0.03695000745434669,0.4392793807906809,75,[1 1 6 2]
77,623,15.169065605799855,0.032656224205435506,0.4448503205311981,76,[0 6 2 3]
78,8962,15.169091699462577,0.03265449651539072,0.4447799542103885,77,[8 9 6 2]
79,9013,15.193393656959076,0.03250839485409188,0.44838440502271537,78,[9 0 1 3]
80,4403,15.37938588998573,0.03147643047670172,0.44228444137354905,79,[4 4 0 3]
81,807,15.760933528801871,0.02864059670307313,0.4669130780701324,80,[0 8 0 7]
82,2121,15.944024061197306,0.027679349768154112,0.47831974462368576,81,[2 1 2 1]
83,8922,15.98623342434349,0.027366565314565747,0.48245777457620775,82,[8 9 2 2]
84,6066,16.076646303318952,0.026904461390025176,0.4855086598530794,83,[6 0 6 6]
85,5208,16.165767783786137,0.02631026313963588,0.48928480230809823,84,[5 2 0 8]
86,6177,16.25064196318061,0.025887233902098076,0.47179460982060883,85,[6 1 7 7]
87,1792,16.24844462140252,0.02586783783576095,0.4726418895455565,86,[1 7 9 2]
88,1483,16.330461850891112,0.025100710717852904,0.4962671080119775,87,[1 4 8 3]
89,5374,16.330185873030235,0.0251070894626784,0.49673155631357285,88,[5 3 7 4]
90,136,16.335577274910605,0.025019067656483856,0.4992983591603443,89,[0 1 3 6]
91,3419,16.370908413208724,0.02483839367422547,0.4994518916556198,90,[3 4 1 9]
92,168,16.418387704601543,0.024606862243762323,0.49429812806089835,91,[0 1 6 8]
93,3186,16.541904176755068,0.02387874655890954,0.49866917272797656,92,[3 1 8 6]
94,5918,16.544570339812957,0.02383929287190995,0.5002269649072074,93,[5 9 1 8]
95,2562,16.71974341808069,0.02305575190937077,0.5081595938145972,94,[2 5 6 2]
96,6213,16.748640990849232,0.022932066075997567,0.5073155739085197,94,[6 2 1 3]
97,6235,16.74779646769946,0.02293640045690509,0.5074498482893951,94,[6 2 3 5]
98,423,16.757382338272585,0.022877498539348978,0.5102800182443744,94,[0 4 2 3]
99,9052,16.921547341480316,0.021952426561442875,0.5071272778390907,94,[9 0 5 2]
100,6187,17.13277141747511,0.021046611732913334,0.5024752812517104,94,[6 1 8 7]
101,1429,17.20212113044662,0.02067613193889315,0.502380263747213,94,[1 4 2 9]
102,2546,17.784065358497415,0.018340785100900946,0.527414466537748,95,[2 5 4 6]
103,8401,17.884992839975624,0.017913503752834004,0.5421947907550504,95,[8 4 0 1]
104,6761,17.89027448352992,0.01786449862713667,0.5496920241232315,95,[6 7 6 1]
105,1040,17.889886734639234,0.01786475702028497,0.5502494811134464,95,[1 0 4 0]
106,6250,18.667500902173046,0.01529045279499897,0.5431755162122391,96,[6 2 5 0]
107,5311,18.66989346818983,0.015279501722231999,0.5433652170615131,96,[5 3 1 1]
108,9411,18.954933350311734,0.01433348944341617,0.5405075374970572,96,[9 4 1 1]
109,6011,18.961255252309147,0.014288398294292506,0.5394781554068712,96,[6 0 1 1]
110,2798,18.956420572763555,0.014321175910695417,0.5398517175425429,96,[2 7 9 8]
111,6599,18.937980983528405,0.014303711672211535,0.5296345959011184,96,[6 5 9 9]
112,9303,19.008859574625667,0.014178865088105824,0.5274620307877594,97,[9 3 0 3]
113,732,19.07171695164276,0.013963257841017054,0.5380620181354145,97,[0 7 3 2]
114,5028,19.177006335701748,0.01356286971045222,0.5442391878617944,97,[5 0 2 8]
115,3396,19.85756301905795,0.011755704817097125,0.5454996251075179,97,[3 3 9 6]
116,5347,20.087067164932073,0.011024413393502783,0.5583589919078447,97,[5 3 4 7]
117,573,20.148869433116978,0.010874539214644586,0.5628651605454011,97,[0 5 7 3]
118,6797,20.183784638546637,0.01077865008875051,0.5588923789536032,97,[6 7 9 7]
119,5259,20.193079919627944,0.01082236077794903,0.5605749109050377,97,[5 2 5 9]
120,9220,20.342062535898666,0.010360945391933002,0.5718763844917443,97,[9 2 2 0]
121,586,21.266540663821047,0.008335227480071126,0.6053909091541227,97,[0 5 8 6]
122,5102,21.346869774878876,0.008166650358628545,0.6051259712260022,97,[5 1 0 2]
123,4882,21.349495379480285,0.008163146529941656,0.6058544563361152,97,[4 8 8 2]
124,5410,21.391758131396827,0.008111848490657962,0.6028290250058868,97,[5 4 1 0]
125,1847,21.416234369411722,0.00806901668233266,0.6027779779588907,97,[1 8 4 7]
126,9724,21.84180567891296,0.007429151297490649,0.6098116065357584,97,[9 7 2 4]
127,9008,21.874310846864553,0.007360521582816091,0.6187931092095189,97,[9 0 0 8]
128,2107,21.843658474235248,0.007421770330898312,0.6203472828663111,98,[2 1 0 7]
129,945,21.992215827957796,0.007138627493920921,0.6185748053249421,98,[0 9 4 5]
130,8393,22.040610175644456,0.007071286348415953,0.6159951971319316,98,[8 3 9 3]
131,2040,22.04426192715959,0.007066662173329092,0.6160154980097599,98,[2 0 4 0]
132,903,22.0333873492155,0.007088007395844897,0.6158590307885095,98,[0 9 0 3]
133,8015,23.052796085672284,0.0057218437893757825,0.6266386146751854,98,[8 0 1 5]
134,5896,23.06509675739642,0.005706300602226264,0.6288590473454573,98,[5 8 9 6]
