step,action,psnr_value,mse_value,ssim_value,rank,action
1,2707,6.744530239858834,0.211738463888302,0.2659112900582833,1,[2 7 0 7]
2,7161,6.747048460811527,0.21161616858276303,0.26770588101461695,2,[7 1 6 1]
3,1447,6.805957412452263,0.20876679118628508,0.20699419997851515,3,[1 4 4 7]
4,6542,6.935606010232112,0.2026302816347235,0.24860010994514736,4,[6 5 4 2]
5,2710,6.943905607336541,0.20224235448107714,0.1920782314064871,5,[2 7 1 0]
6,9026,7.1738560443170325,0.1921597562925089,0.18282344788823168,6,[9 0 2 6]
7,4019,7.443560615558118,0.18104775522533484,0.1601080630013077,7,[4 0 1 9]
8,858,7.650915758699226,0.17436524007249965,0.16345261873308292,8,[0 8 5 8]
9,6557,7.651140380468309,0.17433985922947437,0.16535040239219242,9,[6 5 5 7]
10,9834,7.881052927396502,0.16541729027752802,0.23793979123086792,10,[9 8 3 4]
11,7713,7.91846005836418,0.16391171549423383,0.24096159080447715,11,[7 7 1 3]
12,6523,7.917470477065103,0.16391495211852983,0.24091260986856983,12,[6 5 2 3]
13,5525,7.9239651239402695,0.16374102684610603,0.2407923943848073,13,[5 5 2 5]
14,383,7.961582984833086,0.1620597232472649,0.24704896356024775,14,[0 3 8 3]
15,8466,8.021441313658169,0.1595208485990344,0.24646975934335474,15,[8 4 6 6]
16,1396,8.05248753381684,0.1584202198444429,0.24670916982546562,16,[1 3 9 6]
17,9981,8.116020284129554,0.1561194186178737,0.25426918527737863,17,[9 9 8 1]
18,545,8.339322370418452,0.14846681795606934,0.2668612236278002,18,[0 5 4 5]
19,3044,8.34476217013725,0.14830813860601239,0.26965755564141053,19,[3 0 4 4]
20,2779,8.44871699054605,0.14467095492009296,0.27685779735173177,20,[2 7 7 9]
21,5106,8.51871680604935,0.14255924203389309,0.28917110458214607,21,[5 1 0 6]
22,8011,8.55842999719782,0.1411717207503074,0.296111382645712,22,[8 0 1 1]
23,1445,8.800464166109894,0.13338082616937488,0.31156482757006243,23,[1 4 4 5]
24,1438,8.874404984172534,0.1308993123244167,0.324702123135567,24,[1 4 3 8]
25,754,8.895059276146538,0.13067521845727018,0.3259234272838736,25,[0 7 5 4]
26,2050,8.939355278019416,0.1289765116488073,0.33151570295808036,26,[2 0 5 0]
27,684,8.99970669374307,0.12709641148591275,0.33312734462121707,27,[0 6 8 4]
28,5066,9.0013621017907,0.12705091508854582,0.33363205439113813,28,[5 0 6 6]
29,8689,9.000362885984458,0.1270619094736063,0.3345566549372998,29,[8 6 8 9]
30,4721,9.067330812992136,0.1251778003079879,0.339180228289327,30,[4 7 2 1]
31,7328,9.168002382911919,0.12227205009661762,0.3517400275055642,31,[7 3 2 8]
32,1712,9.177063397396282,0.1220186852554633,0.3514033825894153,32,[1 7 1 2]
33,2492,9.30087647003826,0.1191394510783303,0.35145477551375087,33,[2 4 9 2]
34,4363,9.369020283588283,0.11708964497256208,0.3545450437464443,34,[4 3 6 3]
35,4932,9.368163295391147,0.11711014698131252,0.3547853305576991,35,[4 9 3 2]
36,3372,9.456870114981442,0.11501587514339202,0.3765553435623134,36,[3 3 7 2]
37,4834,9.493093657552837,0.11422675049891126,0.3776519141382261,37,[4 8 3 4]
38,9394,9.498343441354896,0.1140279360592902,0.37832977458547334,38,[9 3 9 4]
39,3329,9.601250927576293,0.11141869244941574,0.3838622893255122,39,[3 3 2 9]
40,7170,9.666982306958285,0.1102188134837796,0.3925506153395064,40,[7 1 7 0]
41,8839,9.67143632360848,0.11008704196408566,0.3908681044698305,41,[8 8 3 9]
42,2489,9.883893048635509,0.1050266469771856,0.40413609417078955,42,[2 4 8 9]
43,9820,10.259560019125031,0.09724406467008144,0.44937297399680487,43,[9 8 2 0]
44,6972,10.290880215709418,0.09656545436962766,0.4531189866426253,44,[6 9 7 2]
45,6664,10.297738450899704,0.09642644560815467,0.4561038327433399,45,[6 6 6 4]
46,4884,10.556284843773025,0.09144220280052594,0.4767697565378527,46,[4 8 8 4]
47,3603,10.557108691167102,0.09143645290963896,0.4763438212065562,47,[3 6 0 3]
48,2148,10.61506517134812,0.09013649636324324,0.47845616575569305,48,[2 1 4 8]
49,133,10.637112842954274,0.08968910628361211,0.4789004531699444,49,[0 1 3 3]
50,489,10.70830204300683,0.08828482965177503,0.4827586344692617,50,[0 4 8 9]
51,7309,10.76077774246341,0.08739576560510724,0.4837938047332365,51,[7 3 0 9]
52,1534,10.796605307364157,0.08694176703912113,0.48555316724802466,52,[1 5 3 4]
53,3098,10.802748047347126,0.08675213329357444,0.4862582333813482,53,[3 0 9 8]
