step,action,psnr_value,mse_value,ssim_value,rank,action
1,29065,3.125610113584335,18919.0443344221,-0.006387629286910516,1,[7 1 8 9]
2,42042,3.3484013905650496,1448.3937731545302,0.006093081197491818,2,[10  4  3 10]
3,43831,3.1771164023829197,829.4759426394885,0.008382111483438561,3,[10 11  3  7]
4,29623,3.2347387209613707,1500.0244385185651,-0.0027576750751008854,4,[ 7  3 11  7]
5,7212,3.4977934190435143,26.777007086551748,0.01053627576557243,5,[ 1 12  2 12]
6,32038,3.1249554855580635,65.36450863114078,-0.01859819012817919,6,[ 7 13  2  6]
7,25600,3.2662940352401044,21.844577522875625,-0.0025244876902908715,7,[6 4 0 0]
8,37047,3.3478410004297277,15.033634039256867,-0.02647817401585978,8,[ 9  0 11  7]
9,30205,3.146667997545138,53.86514145416095,-0.028481503009468764,9,[ 7  5 15 13]
10,21990,3.2017944173450976,30.72740455987605,-0.00803110415855744,10,[ 5  5 14  6]
11,50206,3.361613371835616,13.523935803404129,-0.003138257873049322,11,[12  4  1 14]
12,20104,3.2932983446527286,8.31744087208699,0.011428669839484592,12,[ 4 14  8  8]
13,14253,3.2348187997541737,4.011538882802597,0.0019817451186402747,13,[ 3  7 10 13]
14,54433,3.3443474000997013,2.530216517233441,0.006673100908990818,14,[13  4 10  1]
15,29401,3.5516444160942156,2.505562024413848,0.0011758913270950386,15,[ 7  2 13  9]
16,21577,3.5776145608725587,1.5605874387854328,-0.026637244272325833,16,[5 4 4 9]
17,46194,3.622692641899178,1.2921546504653634,-0.011823064537004005,17,[11  4  7  2]
18,27870,3.706511079417352,0.9008746019851515,-0.013411969496830203,18,[ 6 12 13 14]
19,9547,3.737857738748187,1.0486846326043633,-0.015353043277047682,19,[ 2  5  4 11]
20,15639,3.822763916204911,0.9647837105626422,-0.013792884375843825,20,[ 3 13  1  7]
21,13037,3.8994567967576206,1.8331884152834732,-0.00011580857042204143,21,[ 3  2 14 13]
22,15338,3.7814966390333304,1.7502246627476552,-0.0027429273487384115,22,[ 3 11 14 10]
23,31925,3.6631470285823293,1.4495257318014865,-0.013163346983236745,23,[ 7 12 11  5]
24,27123,3.581300095009957,1.9815070631701701,0.006522627916456095,24,[ 6  9 15  3]
25,44836,3.5508251043735455,2.5906477906926852,0.007215466378827583,25,[10 15  2  4]
26,30683,3.4747780392686014,2.6653120574051172,0.0008203538223083798,26,[ 7  7 13 11]
27,28922,3.5003871209805197,2.866090582082734,0.008196681436244961,27,[ 7  0 15 10]
28,28541,3.475479024281781,2.740126953281788,0.003889695294112686,28,[ 6 15  7 13]
29,29060,3.4579114662789534,2.639805274381672,-0.003381330961181145,29,[7 1 8 4]
30,58422,3.5199296789111854,2.741675110276276,0.010598021718964073,30,[14  4  3  6]
31,64296,3.4982696683459342,2.731443070556054,0.00981917980231273,31,[15 11  2  8]
32,19345,3.5433446255612084,2.48242255523769,0.010448956358640366,32,[ 4 11  9  1]
33,1732,3.5093797503027435,2.61046964338027,0.010253759592594789,33,[ 0  6 12  4]
34,44990,3.531118014450387,2.599884510889865,0.006086770386344033,34,[10 15 11 14]
35,27559,3.494268168653435,2.8011877585877443,-0.0019175885758169371,35,[ 6 11 10  7]
36,1078,3.588939553127519,2.9446112695401894,0.002492956299569367,36,[0 4 3 6]
37,2627,3.525339314941845,1.9266954235962004,-0.010246933313242671,37,[ 0 10  4  3]
38,3563,3.530565334436156,1.7794333109838618,-0.011007444262921034,38,[ 0 13 14 11]
39,41706,3.4927632110141626,1.6897052076966048,-0.003660957682371916,39,[10  2 14 10]
40,39697,3.5095340502702843,1.640776686560173,-0.0016613953721806365,40,[ 9 11  1  1]
41,40437,3.519517628777475,1.6279604881912775,0.0007629716063150089,41,[ 9 13 15  5]
42,51838,3.540406304832266,1.6397050374662427,-0.0015982657907750424,42,[12 10  7 14]
43,25064,3.5359244398670735,1.6134438195875305,-0.0005552045624382246,43,[ 6  1 14  8]
44,9531,3.4869591079069684,1.5868651641104066,-0.0023027178675004193,44,[ 2  5  3 11]
45,42872,3.6637762217554446,1.7172332370103192,0.0115617546459355,45,[10  7  7  8]
46,40952,3.636523105397286,1.6073681404308786,0.009261794510230275,46,[ 9 15 15  8]
47,21918,3.6277795493001035,1.713536306926656,0.001822882149207187,47,[ 5  5  9 14]
48,51009,3.621578334655603,1.7893540603136273,-0.009086320054850624,48,[12  7  4  1]
49,42644,3.6328188372319588,1.8169898756287495,-0.005735511745003536,49,[10  6  9  4]
50,27856,3.6266626278816845,1.7942322574626814,-0.004904479487377888,50,[ 6 12 13  0]
51,55849,3.567982068462544,1.7836016188862516,-0.01408615984695688,51,[13 10  2  9]
52,46550,3.3452670571856036,1.7521425472618155,-0.030722704108291848,52,[11  5 13  6]
53,53834,3.3463927525570876,1.7411503495013108,-0.029131167724159752,53,[13  2  4 10]
54,60002,3.346324471221176,1.693443451290836,-0.030409515138795935,54,[14 10  6  2]
55,31284,3.3476932672881174,1.8027991658146192,-0.03827290814509024,55,[ 7 10  3  4]
56,53404,3.3525864480053964,1.7860039617762027,-0.03767993178471077,56,[13  0  9 12]
57,53746,3.5227762888905136,1.7217846862607828,-0.01607619759813452,57,[13  1 15  2]
58,15389,3.548012644563485,1.6902659421971136,-0.014640571592187304,58,[ 3 12  1 13]
59,14227,3.4682994161649123,1.5695047634234243,-0.025687760291315115,59,[3 7 9 3]
60,23248,3.474166625127975,1.5751284282165585,-0.025040250735683854,60,[ 5 10 13  0]
61,33228,3.486779939913118,1.5689587881449292,-0.024380859509767455,61,[ 8  1 12 12]
62,21392,3.496216788888365,1.6475089286984854,-0.024029296143193594,62,[5 3 9 0]
63,11252,3.4947361448135195,1.6496661318753816,-0.024014151788771185,63,[ 2 11 15  4]
64,54568,3.4901892187299732,1.5726902267514369,-0.02263222649147323,64,[13  5  2  8]
65,34291,3.3642321180688173,1.6295440813861077,-0.027549473046375943,65,[ 8  5 15  3]
66,37593,3.29759901327229,1.7245847529081821,-0.030582291323177753,66,[ 9  2 13  9]
67,45556,3.4327364416004116,1.778791239903505,-0.023740377065790838,67,[11  1 15  4]
68,13338,3.4355182578300396,1.7805658268809736,-0.02624788418450902,68,[ 3  4  1 10]
69,52914,3.431581089883961,1.791160844552639,-0.026549918689219618,69,[12 14 11  2]
70,45199,3.4563385436079974,1.8571643710666947,-0.02799307018361476,70,[11  0  8 15]
71,9593,3.4786163607725906,2.020587710512263,-0.018393385942137075,71,[2 5 7 9]
72,29212,3.4419127210873315,2.181911957832913,-0.026028266781817945,72,[ 7  2  1 12]
73,48386,3.44171663336799,2.177325393676597,-0.025767668507580742,73,[11 13  0  2]
74,51223,3.4804604953469025,2.014503614211492,-0.018386043826243086,74,[12  8  1  7]
75,1390,3.478392113033574,2.0281329883227315,-0.02216872876419973,75,[ 0  5  6 14]
76,18469,3.4718054876298132,2.1691550478056882,-0.0158508861952411,76,[4 8 2 5]
77,1270,3.4677776246696084,2.1548599130727446,-0.017056838196672093,77,[ 0  4 15  6]
78,3336,3.457180426796937,2.160359597462495,-0.01919375102780904,78,[ 0 13  0  8]
79,50626,3.43323425743384,2.241258601855404,-0.016909666452036738,79,[12  5 12  2]
80,57810,3.447844748147882,2.2771062259936388,-0.01887345833590747,80,[14  1 13  2]
81,48788,3.4497092950087693,2.273040688698309,-0.018496238950652187,81,[11 14  9  4]
82,45616,3.413772939635364,2.3812451232321017,-0.021355929833213817,82,[11  2  3  0]
83,296,3.3732665950494245,2.386576401614942,-0.02231471601150377,83,[0 1 2 8]
84,18917,3.3767620939229968,2.5505290527699565,-0.012649304893558371,84,[ 4  9 14  5]
85,56041,3.364378815299786,2.684159824987997,-0.01425551011956798,85,[13 10 14  9]
86,27313,3.379213417242586,2.697042384157297,-0.010394521134642147,86,[ 6 10 11  1]
87,11446,3.3823351461487734,2.749503029422457,-0.009793987758773619,87,[ 2 12 11  6]
88,14518,3.366709662183597,2.726470295898359,-0.011985283367048013,88,[ 3  8 11  6]
89,43728,3.442199894737757,2.7095452397929316,0.005095152172454676,89,[10 10 13  0]
90,34597,3.4552350033390375,2.7845296490247513,0.01016534064963737,90,[8 7 2 5]
91,50399,3.514611766312212,2.691526386582936,0.005278255618969977,91,[12  4 13 15]
92,60997,3.4947479197606595,3.055184461222834,0.00030750938104064703,92,[14 14  4  5]
93,4990,3.479073781778521,3.136550745289999,-0.00022601500286165924,93,[ 1  3  7 14]
94,33706,3.2471457432618105,2.8443546773975736,-0.036651494745176844,94,[ 8  3 10 10]
95,7781,3.1859654978175396,2.798723270478832,-0.029934113291713887,95,[ 1 14  6  5]
96,52638,3.2618158607606866,2.7940256898527043,-0.0398760242485349,96,[12 13  9 14]
97,62043,3.26385245000605,2.7975268422160067,-0.03967100612057242,97,[15  2  5 11]
98,28889,3.263940177348146,2.7984105612585886,-0.03962012062751798,98,[ 7  0 13  9]
99,44169,3.2606311124755365,2.6109212915459894,-0.03165562062896723,99,[10 12  8  9]
100,39534,3.270026935980091,2.550738300827298,-0.026486514409088203,100,[ 9 10  6 14]
101,43855,3.216593848615334,2.569111013777756,-0.03741042023515628,101,[10 11  4 15]
102,42779,3.211146053720956,2.5892931687183403,-0.03855827060255556,102,[10  7  1 11]
103,48314,3.2571074712644514,2.655150642483549,-0.027148265747634265,103,[11 12 11 10]
104,61786,3.455055241591623,2.4741168239086626,-0.0050187232303277205,104,[15  1  5 10]
105,33128,3.5761759214614623,2.2019445006118774,0.01256175438327608,105,[8 1 6 8]
106,24395,3.593618552350936,2.111988598507275,0.010937479476912272,106,[ 5 15  4 11]
107,21086,3.5911290496931496,2.1051646273482367,0.010540842514695259,107,[ 5  2  5 14]
108,53577,3.5965266159314973,2.104147617529674,0.011430679286240027,108,[13  1  4  9]
109,13335,3.5077148146008277,2.0689642207461727,0.010493555636055361,109,[3 4 1 7]
110,63557,3.5171613282102565,2.0480706618485645,0.007047889712136378,110,[15  8  4  5]
111,64387,3.5183969855122537,1.9482992846627463,0.009882410838902818,111,[15 11  8  3]
112,26896,3.55004358510894,1.9362935839827946,0.012633506455290044,112,[6 9 1 0]
113,56389,3.642484498391618,1.5901603729497618,0.019067392959875723,113,[13 12  4  5]
114,3093,3.593796393910908,1.59307495458701,0.018015222643073488,114,[ 0 12  1  5]
115,60476,3.6205618492904232,1.6085315266598288,0.014360813112175078,115,[14 12  3 12]
116,48737,3.5608585621794706,1.611972217341581,0.01822869329766572,116,[11 14  6  1]
117,59177,3.620992732982622,1.615787212572359,0.030523667809258002,117,[14  7  2  9]
118,23297,3.624414060398658,1.6414713115684174,0.02624307473095381,118,[ 5 11  0  1]
119,52592,3.6175209485118742,1.5351388866036846,0.025604587140142326,119,[12 13  7  0]
120,41008,3.6221730798109335,1.50526604274587,0.025466763259633002,120,[10  0  3  0]
121,36041,3.568537846566543,1.5573723921815736,0.023443690698384454,121,[ 8 12 12  9]
122,31504,3.5551176821381096,1.561052951479998,0.021608494126807435,122,[ 7 11  1  0]
123,25214,3.5683234392600696,1.559561783239741,0.022434396849152834,123,[ 6  2  7 14]
124,2245,3.5982343132457864,1.60769580980213,0.041543418169835214,124,[ 0  8 12  5]
125,64043,3.6098939856331267,1.600234590569925,0.039206685671987554,125,[15 10  2 11]
126,48790,3.615601751391714,1.5971567872453427,0.03914647339025186,126,[11 14  9  6]
127,26541,3.6166910796644607,1.6525734377144643,0.04128202648160528,127,[ 6  7 10 13]
128,44483,3.608522864283091,1.678385216265082,0.04166679154364809,128,[10 13 12  3]
129,36388,3.7310109303064487,1.7537040675502023,0.0464325263281381,129,[ 8 14  2  4]
130,32418,3.6831520958046227,1.6020361024627556,0.03575871795403064,130,[ 7 14 10  2]
131,27386,3.673962699769817,1.5652325653141972,0.03442856363283964,131,[ 6 10 15 10]
132,11686,3.6079217405359643,1.534581082145125,0.026970868662006618,132,[ 2 13 10  6]
133,51956,3.595252451094372,1.4943083424244148,0.0291235018880438,133,[12 10 15  4]
134,5666,3.5776656597820717,1.5068429105995556,0.028428424609563806,134,[1 6 2 2]
135,46811,3.5653578283567238,1.5113264744481258,0.028500669880219938,135,[11  6 13 11]
136,24057,3.5588305830982674,1.503099324136495,0.0292084845651932,136,[ 5 13 15  9]
137,1375,3.5786105623071096,1.4063896810253254,0.013465931006951433,137,[ 0  5  5 15]
138,43792,3.544524839141239,1.4472347927202758,0.00903876786407461,138,[10 11  1  0]
139,12560,3.4782234372154752,1.5443684413944672,0.010688018802802696,139,[3 1 1 0]
140,15616,3.5460900017129546,1.5173552774748906,0.010023018300618814,140,[ 3 13  0  0]
141,25687,3.5918802895468387,1.5569150760874009,0.026330001263576316,141,[6 4 5 7]
142,57176,3.57363462405847,1.5453008551247678,0.02438605938821664,142,[13 15  5  8]
143,17558,3.5556268632366486,1.5018154533198234,0.023220373849834126,143,[4 4 9 6]
144,1629,3.5559546764966403,1.5016175128539726,0.023193707065017704,144,[ 0  6  5 13]
145,64280,3.570387298957322,1.4801254548245606,0.007968136776079666,145,[15 11  1  8]
146,19662,3.578379109751386,1.4772411400583692,0.008920102744652382,146,[ 4 12 12 14]
147,52244,3.57400255250135,1.4733035039198998,0.008713177353669622,147,[12 12  1  4]
148,4897,3.594262563231533,1.4760666021474034,0.007563041255810678,148,[1 3 2 1]
149,48701,3.5775217033901505,1.4878483879141,0.007552926234668248,149,[11 14  3 13]
150,49337,3.599200818509336,1.45388232036177,0.005208462593723545,150,[12  0 11  9]
151,38693,3.657932986779377,1.4015000404809332,0.0071514690499447685,151,[9 7 2 5]
152,7009,3.6806156494510542,1.4363559623286597,0.004862744637738466,152,[ 1 11  6  1]
153,34652,3.6803228106749213,1.4345757014054263,0.0047818076821387655,153,[ 8  7  5 12]
154,37015,3.7010071162172045,1.4122994783179064,0.009357774284467324,154,[9 0 9 7]
155,18776,3.689792481011996,1.3766178464014223,0.010292447439650038,155,[4 9 5 8]
156,572,3.6895769112130554,1.3773270968008227,0.010069463653248279,156,[ 0  2  3 12]
157,8192,3.604294655609859,1.3231116098558433,0.009638688347992086,157,[2 0 0 0]
158,55661,3.6061105504142787,1.3523823821018048,0.009385924279483777,158,[13  9  6 13]
159,62793,3.5832499985269015,1.3365542403325084,0.011000520301577953,159,[15  5  4  9]
160,54404,3.57703581464331,1.3582786085346337,0.012701788809048473,160,[13  4  8  4]
161,62551,3.6090769573239037,1.3790997028205787,0.012518324486557876,161,[15  4  5  7]
162,4731,3.5587121779053286,1.4098661828210668,0.004798662223199363,162,[ 1  2  7 11]
163,6743,3.5643700101251445,1.4064836838174688,0.006045655456931228,163,[ 1 10  5  7]
164,1934,3.5730688447163903,1.4100314577910027,0.006728336904105598,164,[ 0  7  8 14]
165,59690,3.5785005648713755,1.442187487948428,0.006265794087972153,165,[14  9  2 10]
166,41370,3.598161877239346,1.4108849037063638,0.008135543533166551,166,[10  1  9 10]
167,56255,3.611853145402906,1.4133033057516788,0.00925361981876918,167,[13 11 11 15]
168,24044,3.6569388837693504,1.4266957777854437,0.010767144632085595,168,[ 5 13 14 12]
169,4717,3.7044256788867482,1.4393430620954786,0.014509696470639339,169,[ 1  2  6 13]
170,55015,3.721434967713313,1.4450947991247765,0.016294473269376178,170,[13  6 14  7]
171,25517,3.7129853553013703,1.4406352758922716,0.015195807810603281,171,[ 6  3 10 13]
172,3406,3.719142228140999,1.4357029272941857,0.01593724329915979,172,[ 0 13  4 14]
173,10343,3.7075621072131746,1.466825110533082,0.015667128388719778,173,[2 8 6 7]
174,27013,3.6807775654554478,1.445995751144787,0.011470458750023598,174,[6 9 8 5]
175,49470,3.6696263372490554,1.4659951139131575,0.01080768730090522,175,[12  1  3 14]
176,17582,3.6894930877996224,1.470422055968442,0.010892796619698702,176,[ 4  4 10 14]
177,57655,3.725355268914963,1.4582191945678358,0.015329195098655057,177,[14  1  3  7]
178,5995,3.730743401949054,1.4567330601836626,0.01627721099724432,178,[ 1  7  6 11]
179,46895,3.708861746401147,1.4715284342132748,0.0153458421681693,179,[11  7  2 15]
