step,action,psnr_value,mse_value,ssim_value,rank,action
1,7751,3.0858452473403903,53.10610555069161,-0.015500293547504023,1,[ 1 14  4  7]
2,43757,3.75687018121599,22.353580955393284,-0.006019372783537116,2,[10 10 14 13]
3,54548,3.358952406791709,18.290171529479494,0.007391262954926689,3,[13  5  1  4]
4,21758,3.1293566291044916,60.74465943911491,0.004288318844323687,4,[ 5  4 15 14]
5,8444,2.908579652701058,39.88550691641126,-0.00111069699863116,5,[ 2  0 15 12]
6,19946,3.26148082297717,22.768651290796697,-0.000582978623915703,6,[ 4 13 14 10]
7,27204,3.2945897334557572,22.79664522650728,0.00830726625181167,7,[ 6 10  4  4]
8,31959,3.250557917554188,42.32372368354896,0.0003907167740053539,8,[ 7 12 13  7]
9,44510,2.7975863245924075,44.124490717041795,-0.04017353338529727,9,[10 13 13 14]
10,51040,2.804919837423606,46.82570326762135,-0.035938778282487566,10,[12  7  6  0]
11,33799,2.9222508496127486,45.45996940605306,-0.030080616674608377,11,[8 4 0 7]
12,37183,2.979824662825795,50.904221449585975,-0.022637784181366877,12,[ 9  1  3 15]
13,63360,2.9442127122207324,65.13476829462525,-0.022056185857177585,13,[15  7  8  0]
14,61756,3.0134167601155015,67.29169746863369,-0.015047914549689456,14,[15  1  3 12]
15,39539,2.942375219833529,33.48445720569731,-0.014695756324851478,15,[ 9 10  7  3]
16,431,3.059038774799942,39.60286033672634,-0.028207239324829665,16,[ 0  1 10 15]
17,9287,3.2123657612874137,20.34891841243764,0.014493492851923199,17,[2 4 4 7]
18,46467,3.023011359465059,22.04547873692583,-0.009151561350616868,18,[11  5  8  3]
19,45571,3.05986799634292,19.400594780080496,-0.008134943496903668,19,[11  2  0  3]
20,56260,3.055040378491406,20.82357239428444,-0.013324136916249741,20,[13 11 12  4]
21,19482,2.98740808066068,22.91900297801881,-0.00833423276823665,21,[ 4 12  1 10]
22,1844,2.9541725167679935,23.084035225109858,-0.0025969024981407343,22,[0 7 3 4]
23,28114,2.847868406343709,18.34515636843912,-0.029889548795071663,23,[ 6 13 13  2]
24,15,2.9749378896803758,21.59903161495329,-0.0027260256181365714,24,[ 0  0  0 15]
25,57058,3.0616317106091513,26.96232588541467,0.0011544966168063613,25,[13 14 14  2]
26,13783,3.1477209368504298,36.17380679259777,0.02297087929433468,26,[ 3  5 13  7]
27,17534,3.195670883291853,37.25294380580442,0.0019234263324515635,27,[ 4  4  7 14]
28,42263,3.1708894002193406,36.55932574145305,-0.00918494126727012,28,[10  5  1  7]
29,20793,3.058938496993603,40.97950261794354,0.002837081547254759,29,[5 1 3 9]
30,10835,3.0718372114276966,41.88242509271265,0.0013906783924456647,30,[ 2 10  5  3]
31,40023,2.921936630342627,45.33693087691445,0.004228519501102939,31,[ 9 12  5  7]
32,24345,2.970449688340257,35.75119149496035,0.027119489441618072,32,[ 5 15  1  9]
33,33982,2.813950301651519,28.214620508979692,-0.0021595019012827068,33,[ 8  4 11 14]
34,23854,2.8386926716047896,26.180914860202705,-0.0013818374189912817,34,[ 5 13  2 14]
35,9537,3.06651046198275,25.59171743906289,0.019038310613887253,35,[2 5 4 1]
36,13681,3.090280562322938,25.058540439820877,0.019298872696601715,36,[3 5 7 1]
37,54525,3.1031729683481983,25.52888639427768,0.013821325610840582,37,[13  4 15 13]
38,33229,3.147769463079519,34.21869931394697,0.01631437876696594,38,[ 8  1 12 13]
39,54347,3.1597945957096583,34.55975774835271,0.018463068046042586,39,[13  4  4 11]
40,40268,3.006507058207906,39.194378798949415,0.011789518679783999,40,[ 9 13  4 12]
41,13159,2.9196801605148233,35.08705905423422,0.003950055353489563,41,[3 3 6 7]
42,42759,2.896528529116215,38.37059693093457,0.002452032457934742,42,[10  7  0  7]
