step,action,psnr_value,mse_value,ssim_value,rank,action
1,44295,7.882023735455856,0.162958388291236,0.07658278208576565,1,[10 13  0  7]
2,53922,7.657563263574859,0.18656030712908778,0.08030283921203481,2,[13  2 10  2]
3,5167,7.430846972734807,0.2064725573677934,0.21259720338888932,3,[ 1  4  2 15]
4,11071,8.043423129469813,0.1584381012923556,0.16237645458980443,4,[ 2 11  3 15]
5,20084,9.340604104146886,0.11736364352078421,0.2875022857410853,5,[ 4 14  7  4]
6,56101,9.915857303285689,0.10467231293483747,0.30883748641574044,6,[13 11  2  5]
7,21418,10.459738097259914,0.09182549424700337,0.35230694257582895,7,[ 5  3 10 10]
8,29547,10.447722661950419,0.09297514541899488,0.36224494495872744,8,[ 7  3  6 11]
9,15905,10.648549570648127,0.08769485346883599,0.3292829698296919,9,[ 3 14  2  1]
10,20026,10.66013358817578,0.0874578393220633,0.3291227741457811,10,[ 4 14  3 10]
11,54360,10.670269390479028,0.08726457171443092,0.3346342123937588,11,[13  4  5  8]
12,52932,10.778256023347328,0.08474839831462355,0.31486548196935255,12,[12 14 12  4]
13,55417,10.591847003727874,0.08845417018978541,0.2582542898286474,13,[13  8  7  9]
14,16415,10.20129371390497,0.09731655556096452,0.24920050733406182,14,[ 4  0  1 15]
15,64460,10.167707577526821,0.09860907491137638,0.24225983953111885,15,[15 11 12 12]
16,60466,10.99238811019293,0.08306895348225307,0.2645290075897243,16,[14 12  3  2]
17,30257,10.966167989071307,0.08415357305379967,0.2623027458117035,17,[7 6 3 1]
18,14119,10.933477753082606,0.08391875938652671,0.25418545051189695,18,[3 7 2 7]
19,65005,11.009811126261544,0.08246326268539672,0.2644359098433738,19,[15 13 14 13]
20,45562,11.014486951195721,0.08226534515452144,0.26502443566958084,20,[11  1 15 10]
21,27383,11.14437778311853,0.0798595239597164,0.264205179482237,21,[ 6 10 15  7]
22,26001,11.407850541931364,0.07531663398513366,0.26828421832920263,22,[6 5 9 1]
23,96,11.587679250094322,0.07222065027077651,0.2874523330025963,23,[0 0 6 0]
24,38443,11.625142385238442,0.07158538003108106,0.32597727385096303,24,[ 9  6  2 11]
25,30754,11.820725967393484,0.06849777904458154,0.37564534972697405,25,[7 8 2 2]
26,38204,12.12263541254908,0.06490377308780282,0.36934017331782615,26,[ 9  5  3 12]
27,56406,12.493971829809986,0.059604216770845264,0.4127946271585382,27,[13 12  5  6]
28,14790,12.733734509811175,0.05638098533947389,0.413259295967078,28,[ 3  9 12  6]
29,21958,13.354355830638664,0.04991096769847836,0.3821688201679642,29,[ 5  5 12  6]
30,48121,13.366994790622568,0.04975787334378445,0.37929128060730355,30,[11 11 15  9]
31,57300,13.361071833971414,0.04979306177824849,0.3801335552664657,31,[13 15 13  4]
32,5594,13.384073111914683,0.0498839460639422,0.42163749721271365,32,[ 1  5 13 10]
33,1765,13.386406235142935,0.050540428695815764,0.43975496950469894,33,[ 0  6 14  5]
34,45002,13.612416616391519,0.0480596163467224,0.4214687464731923,34,[10 15 12 10]
35,7904,13.61814697909927,0.048139934206369084,0.4251924388152585,35,[ 1 14 14  0]
36,37392,13.652017068713329,0.04801168979525716,0.42929812187183375,36,[9 2 1 0]
37,55339,13.5482562865744,0.04959889222823577,0.44916062970416576,37,[13  8  2 11]
38,40413,13.645785697821825,0.04795911883367587,0.39478063523286955,38,[ 9 13 13 13]
39,22437,13.661414114470078,0.04787488200721146,0.39733148473198954,39,[ 5  7 10  5]
40,11323,13.662468248654228,0.04783383011774767,0.3974996742474912,40,[ 2 12  3 11]
41,15386,13.782938264513891,0.046247619825384945,0.4195279650902276,41,[ 3 12  1 10]
42,14119,13.786962849315271,0.04621159976195344,0.418530958782914,42,[3 7 2 7]
43,23539,13.786646628401867,0.0462188167116766,0.4185512218788612,42,[ 5 11 15  3]
44,61846,13.776467382762307,0.04664624030927822,0.417656441472509,43,[15  1  9  6]
45,51967,13.798637300298402,0.046066208101248174,0.4212724023933961,44,[12 10 15 15]
46,43547,13.80798166764199,0.0459656568878577,0.421480552642473,45,[10 10  1 11]
47,60661,13.849354220219002,0.045557854619953986,0.4243674982583965,46,[14 12 15  5]
48,4700,13.89657337068212,0.04467539595955916,0.4301918421355687,47,[ 1  2  5 12]
49,4658,13.988872043419828,0.04384511726877016,0.4229687803731088,48,[1 2 3 2]
50,17609,13.73990048419681,0.046017732399773026,0.3996600191859875,49,[ 4  4 12  9]
51,59265,13.673764873083787,0.046939547267046855,0.4061235459302036,50,[14  7  8  1]
52,44239,13.60841223141385,0.04775032567938098,0.39573652950036897,51,[10 12 12 15]
53,49201,13.64903468725011,0.04726021513301415,0.41182451010122934,52,[12  0  3  1]
54,16680,13.609434363195943,0.04797791790814654,0.4437298764330015,53,[4 1 2 8]
55,2539,13.625775490169602,0.04769800239335664,0.4410506509856588,54,[ 0  9 14 11]
56,24142,13.62640950738664,0.047709067028444574,0.44139125297149173,55,[ 5 14  4 14]
57,55159,13.642406022945178,0.04768920093102169,0.47494046687746927,56,[13  7  7  7]
58,55056,13.634375047198152,0.047784033899468836,0.4748632485819187,57,[13  7  1  0]
59,58389,13.646091747571925,0.047720999259783584,0.476425984972388,58,[14  4  1  5]
60,35562,13.855944255687598,0.045947078833987964,0.47522033922142964,59,[ 8 10 14 10]
61,47452,13.870835328977073,0.04582320195810974,0.4754284275547124,60,[11  9  5 12]
62,59443,13.891960377942457,0.04558027792239061,0.47414957367773214,61,[14  8  3  3]
63,4184,13.875400656399401,0.0459475704826382,0.47166720490688807,62,[1 0 5 8]
64,54639,13.902758600417286,0.04603142674465599,0.4630332206784296,63,[13  5  6 15]
65,12091,13.963970871861315,0.044992451255385646,0.42656199935320727,64,[ 2 15  3 11]
66,3135,13.947754125449801,0.04516511948438784,0.4264221496669593,65,[ 0 12  3 15]
67,7375,13.945013149099978,0.04518426698226574,0.426128828700731,66,[ 1 12 12 15]
68,51322,13.929033959657467,0.04525155093389821,0.4152716605352913,67,[12  8  7 10]
69,28681,13.983242906667599,0.04461618292768166,0.44426289971034627,68,[7 0 0 9]
70,51349,14.324914373227395,0.040998326171671984,0.4524982927723118,69,[12  8  9  5]
71,54759,14.29498968746842,0.041411687996643076,0.44625593427622057,70,[13  5 14  7]
72,11603,14.594135827416864,0.039292053063084253,0.4909086837419766,71,[ 2 13  5  3]
73,6502,14.926877405620768,0.03769674920510657,0.47582797564090556,72,[1 9 6 6]
74,47123,14.936131091589884,0.037610124537272194,0.4821485811787427,73,[11  8  1  3]
75,8091,14.980360224577382,0.03753066401165661,0.49555902515816264,74,[ 1 15  9 11]
76,18627,15.071519424469042,0.03683333906797426,0.49536305075456677,75,[ 4  8 12  3]
77,7301,15.549753958047717,0.03413791693552359,0.5165927159626746,76,[ 1 12  8  5]
78,53970,15.555270502044152,0.034349410636071775,0.5284236882054759,77,[13  2 13  2]
79,33158,15.555707845816496,0.034342784545160265,0.5283451828168607,78,[8 1 8 6]
80,40561,15.586392717271822,0.03439290869519995,0.5283930267717689,79,[ 9 14  7  1]
81,57140,16.194301228225832,0.03131449291006683,0.4855224697243525,80,[13 15  3  4]
82,57208,16.18499140044111,0.03130198077915769,0.5153360586946036,81,[13 15  7  8]
83,47717,16.19181800742242,0.031232241896131274,0.5164692550544802,82,[11 10  6  5]
