step,action,psnr_value,mse_value,ssim_value,rank,action
1,19091,6.4567567303614934,0.2263808063964744,0.27023564771188846,1,[ 4 10  9  3]
2,30410,6.5395919072347155,0.2221288465447751,0.24286019962404148,2,[ 7  6 12 10]
3,63124,6.792121298975758,0.2096320838118934,0.25842764231877713,3,[15  6  9  4]
4,63404,7.1636563872057035,0.1925634152130762,0.2618889241368117,4,[15  7 10 12]
5,3610,7.142427467665842,0.1934796922991257,0.2631660247296002,5,[ 0 14  1 10]
6,61777,7.653440764818709,0.17212780783621773,0.2778277810400527,6,[15  1  5  1]
7,8127,7.966004510053706,0.1602782978215019,0.2909062407935359,7,[ 1 15 11 15]
8,44348,8.865619878072192,0.13031502171934972,0.2992751614169305,8,[10 13  3 12]
9,42602,8.872218925410749,0.13015205160734478,0.31062235755758266,9,[10  6  6 10]
10,31896,8.948568534080731,0.12800464160667777,0.3192116335151741,10,[ 7 12  9  8]
11,11435,9.115220077096978,0.12336880122788939,0.3520536510833383,11,[ 2 12 10 11]
12,7713,9.204177957122988,0.12105698617853057,0.35695160616692545,12,[ 1 14  2  1]
13,7188,10.12376261533991,0.09887965738527342,0.3779367482700663,13,[ 1 12  1  4]
14,15198,10.125138986264979,0.09884284330423208,0.37811917439915327,14,[ 3 11  5 14]
15,65012,10.154019921638632,0.09843899087171254,0.3888617329118065,15,[15 13 15  4]
16,54812,10.161790266440098,0.09827018001013171,0.38868499069122897,16,[13  6  1 12]
17,64489,10.159281956273848,0.09833324156189896,0.3893671375403283,17,[15 11 14  9]
18,8466,10.159604643911297,0.0983246502147451,0.3895326201887934,18,[2 1 1 2]
19,30648,10.464319139818654,0.0913737305603381,0.3990471385082932,19,[ 7  7 11  8]
20,61383,10.489823406514844,0.090857185172491,0.40121606894245787,20,[14 15 12  7]
21,2161,11.247977280868817,0.07655683625160252,0.4152315729473335,21,[0 8 7 1]
22,11265,11.725153142169756,0.06877161917795646,0.411063946071728,22,[ 2 12  0  1]
23,16107,11.852233554525217,0.06735950845126912,0.41003781813255546,23,[ 3 14 14 11]
24,40828,12.141783461019811,0.0636476214312709,0.41068775702311255,24,[ 9 15  7 12]
25,23039,12.140998883933678,0.06365624862711662,0.41058163662801334,25,[ 5  9 15 15]
26,62288,12.379149374146085,0.060050135052139006,0.4092019467722484,26,[15  3  5  0]
27,40779,12.472806194625967,0.059167168680613016,0.41789136913688857,27,[ 9 15  4 11]
28,34999,12.763618182530116,0.055060526980654514,0.44757405238764403,28,[ 8  8 11  7]
29,17822,12.74323595022841,0.05515487773184315,0.44511444505527187,29,[ 4  5  9 14]
30,36400,13.044694431528065,0.051547832152850956,0.4678982139331856,30,[ 8 14  3  0]
31,22564,13.613222371912608,0.04575828887277612,0.5044043000978993,31,[5 8 2 4]
32,62298,13.709805581721284,0.04468722716096857,0.5106360118448685,32,[15  3  5 10]
33,54218,13.725197512892745,0.04449911765920189,0.5147251400662367,33,[13  3 12 10]
34,8374,13.847282422183582,0.043434544950983256,0.5189659875790441,34,[ 2  0 11  6]
35,12565,13.862188367549404,0.043256920095353646,0.5222450054557842,35,[3 1 1 5]
36,21105,13.857713684308896,0.04327024013730163,0.5219060441422338,36,[5 2 7 1]
37,56480,13.981178580230155,0.042413582206624625,0.5215209706453501,37,[13 12 10  0]
38,1712,13.979819102703486,0.04245761982387647,0.5184048500584572,38,[ 0  6 11  0]
39,2492,14.011668358090555,0.04233705751456124,0.5174214988293045,39,[ 0  9 11 12]
40,62168,14.016249743398783,0.04235399521397765,0.5169976486398214,40,[15  2 13  8]
41,19756,14.120910913655422,0.04133102808809215,0.5224466082197808,41,[ 4 13  2 12]
42,26668,14.124940597801977,0.04129510848930207,0.5228449166930618,42,[ 6  8  2 12]
43,26659,14.165405261284423,0.04093751472370678,0.5266932685951324,43,[6 8 2 3]
44,23725,14.182449837560984,0.040905746898888554,0.5273289512111063,44,[ 5 12 10 13]
45,9364,14.188954974087046,0.04086890683428425,0.5272834098950244,45,[2 4 9 4]
46,59454,14.213277536307787,0.04036165379107294,0.5286845391132485,46,[14  8  3 14]
47,8839,14.366576605576238,0.03901223961166128,0.5345699728658407,47,[2 2 8 7]
48,51641,14.366950907701298,0.0390127985576621,0.5346483865085405,48,[12  9 11  9]
49,9820,14.368768904710002,0.03906330069090869,0.5327681411547569,49,[ 2  6  5 12]
50,23356,14.367067345832982,0.03906613195048325,0.5327553331873178,50,[ 5 11  3 12]
51,23048,14.448799227773037,0.03840880011510195,0.5366321869204621,51,[ 5 10  0  8]
52,4884,14.469031320090311,0.03823750935823683,0.5369804236423537,52,[1 3 1 4]
53,52755,14.476100090540239,0.03812393467452374,0.5382523715337348,53,[12 14  1  3]
54,18532,14.468642779651361,0.03822182644941413,0.5390971644727394,54,[4 8 6 4]
55,49285,14.663026069172032,0.03636328074435674,0.5494754329921008,55,[12  0  8  5]
56,14548,14.680437926906738,0.036258161000720324,0.549494882713748,56,[ 3  8 13  4]
57,15697,14.691226572336408,0.03617666082557075,0.5495367715747678,57,[ 3 13  5  1]
58,31753,14.720366120279744,0.03579361608611459,0.5513064427859838,58,[ 7 12  0  9]
59,24490,14.799552068586346,0.03540893524949085,0.5498251986437119,59,[ 5 15 10 10]
60,35016,15.08115407114836,0.033447845780582575,0.5526404055555857,60,[ 8  8 12  8]
61,25662,15.080039492138969,0.03344324167247087,0.5497020283655172,61,[ 6  4  3 14]
62,22700,15.14613028293324,0.033048960541498085,0.5550843847516159,62,[ 5  8 10 12]
63,22197,15.277868616707483,0.03246612856491815,0.5572469025897322,63,[ 5  6 11  5]
64,59990,15.35253089090607,0.03171879996611726,0.5626723356444104,64,[14 10  5  6]
65,48599,15.440515631362139,0.031273778023567955,0.5593265925582556,65,[11 13 13  7]
66,57688,15.696426611107375,0.029812216291094373,0.5666983059644528,66,[14  1  5  8]
67,8627,15.730205097924879,0.02944927997068425,0.5661569825526354,67,[ 2  1 11  3]
68,64327,15.729913436743201,0.029466635798730656,0.5677342882670879,68,[15 11  4  7]
69,40879,15.799230766709012,0.02885780821623979,0.5678806829903584,69,[ 9 15 10 15]
70,32164,15.829355813140662,0.028618422859738812,0.5672420004516693,70,[ 7 13 10  4]
71,31644,15.845612571070873,0.028532593089273098,0.5710472254095529,71,[ 7 11  9 12]
72,20847,16.034788164234254,0.027439519585008898,0.5753885240316006,72,[ 5  1  6 15]
73,41177,16.218395298012346,0.02655286881393555,0.5902579770545343,73,[10  0 13  9]
74,27682,16.21830029185569,0.026571450106592967,0.5894282321255953,74,[ 6 12  2  2]
75,15035,16.214593075641716,0.02662658068860735,0.5888148220102567,75,[ 3 10 11 11]
76,37764,16.247171283437016,0.02642404384160213,0.5885739499539417,76,[9 3 8 4]
77,63714,16.243927899687275,0.026444654953723,0.5882714001843783,77,[15  8 14  2]
78,30869,16.33197818815909,0.02603147400074346,0.5889636836164739,78,[7 8 9 5]
79,49578,16.37974802942666,0.02582666255692151,0.586561278420922,79,[12  1 10 10]
80,29447,16.398504839470455,0.025743489733455305,0.5884651483318504,80,[7 3 0 7]
81,62966,16.403880496945465,0.0257107052773754,0.5880639060465995,81,[15  5 15  6]
82,33959,16.428370145488977,0.02557717778269282,0.5876763364620052,82,[ 8  4 10  7]
83,18284,16.429098308083383,0.025577167785583513,0.586767439628622,83,[ 4  7  6 12]
84,24236,16.433461769862618,0.02559802206683337,0.5876130064863245,84,[ 5 14 10 12]
85,34605,16.514600472865407,0.025137220413691097,0.5865519482129207,85,[ 8  7  2 13]
86,12580,16.514619011412908,0.02515230178058503,0.5863408343657925,86,[3 1 2 4]
87,51603,16.514712949147984,0.025150156130073653,0.5859688490833386,87,[12  9  9  3]
88,6120,16.686564189630467,0.024057945373618383,0.6070999956660472,88,[ 1  7 14  8]
89,65187,16.704827290885973,0.023937101780816372,0.6072255674651605,89,[15 14 10  3]
90,61336,16.804368066374273,0.023509742449476678,0.6045250616739597,90,[14 15  9  8]
91,36503,17.027071523140073,0.022627957120212927,0.614423417572802,91,[ 8 14  9  7]
92,29106,17.139700530830424,0.021857685136376925,0.6151661186682954,92,[ 7  1 11  2]
93,1973,17.179080470664886,0.021609878354531986,0.6057847017314726,93,[ 0  7 11  5]
94,58528,17.200688643079342,0.021499543597215898,0.604777524212489,94,[14  4 10  0]
95,20739,17.239187588717993,0.021252752639145722,0.6078229171813222,95,[5 1 0 3]
96,57253,17.257877913716456,0.02117674676017628,0.6080396836904824,96,[13 15 10  5]
97,16279,17.254595306551078,0.02112141882466828,0.608652130454744,97,[ 3 15  9  7]
98,5613,17.325892079564163,0.02073428020807322,0.6150126829249376,98,[ 1  5 14 13]
99,56326,17.34516880877314,0.0206507220899156,0.6155360318135124,99,[13 12  0  6]
100,65478,17.378299115508828,0.02051432947610593,0.6169455784972898,100,[15 15 12  6]
101,4672,17.45973443628373,0.020209003061778863,0.6179805573059056,101,[1 2 4 0]
102,34364,17.59570953678875,0.01972998868099901,0.622495088929385,102,[ 8  6  3 12]
103,52266,17.603946911627624,0.01968613567276667,0.6234858453004403,103,[12 12  2 10]
104,64245,17.6281361014732,0.019564792484976,0.6234936508041775,104,[15 10 15  5]
105,19861,18.093582947775474,0.01790099353229624,0.6337526341139514,105,[ 4 13  9  5]
106,19180,18.13145134424368,0.017718198045210187,0.6336195363625965,106,[ 4 10 14 12]
107,8772,18.183258282932893,0.017392287122427574,0.6331715671310563,107,[2 2 4 4]
108,13282,18.230931774263755,0.01717200117429779,0.6338439715753198,108,[ 3  3 14  2]
109,4071,18.22528188257103,0.017152337210993407,0.6327461780414767,109,[ 0 15 14  7]
110,40361,18.226228939131957,0.017180092792993262,0.6281019615214095,110,[ 9 13 10  9]
111,15937,18.213060491855984,0.01717163821913409,0.6241454787515622,111,[ 3 14  4  1]
112,20703,18.26908780353568,0.017082856485304387,0.6226906696732224,112,[ 5  0 13 15]
113,15613,18.30996421986961,0.0170014261933617,0.6252606875707352,113,[ 3 12 15 13]
114,6425,18.30882539198419,0.017009762990933486,0.6252615236626906,114,[1 9 1 9]
115,52886,18.33143144224172,0.016955879021788245,0.6253469051810868,115,[12 14  9  6]
116,60236,18.417781939830608,0.016777904679698086,0.6300960566554836,116,[14 11  4 12]
117,19701,18.49533321010326,0.016344154749205586,0.6260735195135056,117,[ 4 12 15  5]
118,12163,18.493027446826495,0.016346174697639715,0.6256688368721801,118,[ 2 15  8  3]
119,16270,18.495770108638425,0.016329822179108736,0.6259130353636746,119,[ 3 15  8 14]
120,56395,18.79057243878886,0.015397503876787413,0.6335228433031963,120,[13 12  4 11]
121,17181,18.796379174972216,0.015386049744335387,0.6336016501156316,121,[ 4  3  1 13]
122,62655,18.82321442937972,0.015203596755723803,0.6333624323183953,122,[15  4 11 15]
123,14609,18.81637848056973,0.015241864926162044,0.6330122578619275,123,[3 9 1 1]
124,33694,18.871835848622386,0.015055585514276326,0.6331032922333197,124,[ 8  3  9 14]
125,3683,18.885481601503244,0.015029657389724796,0.6303357322691111,125,[ 0 14  6  3]
126,4465,18.919295949334128,0.014954480468091669,0.6317184450798542,126,[1 1 7 1]
127,13557,18.99473044095314,0.014652908954036314,0.6345832573259813,127,[ 3  4 15  5]
128,13396,18.99922953722507,0.014644880629270551,0.6348786106059026,128,[3 4 5 4]
129,46674,19.00851858899054,0.014548496079795081,0.6344236431911984,129,[11  6  5  2]
130,38028,19.047968480073415,0.014473582507658289,0.6338009798708517,130,[ 9  4  8 12]
131,56098,19.113769489164188,0.014283677148210217,0.6304946558763523,131,[13 11  2  2]
132,57196,19.11705634439262,0.014275659296237753,0.6307532513949856,132,[13 15  6 12]
133,3730,19.59201072587007,0.013126026052571294,0.6278545772347708,133,[ 0 14  9  2]
134,27110,19.60348623482281,0.013109166887315005,0.6279689481177764,134,[ 6  9 14  6]
135,29003,19.604017452283625,0.013090114291914534,0.6279812881903262,135,[ 7  1  4 11]
136,39679,20.12958779235591,0.011659447294567249,0.6473486111591751,136,[ 9 10 15 15]
137,5845,20.123287120282193,0.011703478954641165,0.645898407537357,137,[ 1  6 13  5]
138,8688,20.122926039935432,0.011704216354290989,0.6458902249582489,138,[ 2  1 15  0]
139,44411,20.9093774026574,0.009980693328076828,0.6515245823092594,139,[10 13  7 11]
140,26335,21.017801017519172,0.009773929519044391,0.6526823949700247,140,[ 6  6 13 15]
141,56654,21.023511332075913,0.009766199414128318,0.6534858608341543,141,[13 13  4 14]
142,46245,21.04699234579218,0.009719131455071306,0.6616189299676702,142,[11  4 10  5]
143,51223,21.05413106974835,0.009709651359862903,0.6632524313815098,143,[12  8  1  7]
144,4461,21.083868752637255,0.009650978636663435,0.6664433400834717,144,[ 1  1  6 13]
145,57336,21.200852747189924,0.009468000907652707,0.6663654960612896,145,[13 15 15  8]
146,27993,21.291749368637905,0.009273573464249951,0.6613735714375859,146,[ 6 13  5  9]
147,32616,21.291438303484398,0.009274925844809767,0.6614678280964326,147,[ 7 15  6  8]
148,19083,21.277098600800343,0.009269551184850178,0.6553722498334424,148,[ 4 10  8 11]
149,24666,21.312549512896254,0.009194727601205432,0.6545082505677025,149,[ 6  0  5 10]
150,61528,21.436720975386695,0.008928981909523737,0.6587714943314094,150,[15  0  5  8]
151,54633,21.437135264084915,0.008928062734969933,0.6587866250945715,151,[13  5  6  9]
152,54021,21.447545398304612,0.008891302509691057,0.6592118097356832,152,[13  3  0  5]
