step,action,psnr_value,mse_value,ssim_value,rank,action
1,29065,3.867051010985534,0.41063746953373453,0.14547870305257127,1,[7 1 8 9]
2,42042,4.769072164954142,0.3337039818418816,0.136660029443973,2,[10  4  3 10]
3,43831,4.815578157434023,0.33052960356552474,0.12314101039089624,3,[10 11  3  7]
4,29623,4.97659558853591,0.3190985936712161,0.1293640729264494,4,[ 7  3 11  7]
5,7212,5.735142698791,0.2676381530431451,0.16229163655006323,5,[ 1 12  2 12]
6,32038,5.735892031882132,0.26759205812504716,0.16349885814164455,6,[ 7 13  2  6]
7,25600,5.739063965907027,0.26741833511286506,0.17271087593174836,7,[6 4 0 0]
8,37047,5.908561633613893,0.25711432017987496,0.18328225469608123,8,[ 9  0 11  7]
9,30205,6.272893817637323,0.2362922187562484,0.1925526069015438,9,[ 7  5 15 13]
10,21990,7.4804614601287405,0.1793339542722411,0.2315217441699059,10,[ 5  5 14  6]
11,50206,7.582816885157554,0.17536928249527223,0.23819668702250407,11,[12  4  1 14]
12,20104,7.588415079619391,0.17506356783654126,0.2421112581171443,12,[ 4 14  8  8]
13,14253,7.606617647560034,0.17442999297123718,0.25979040071679105,13,[ 3  7 10 13]
14,54433,7.870501025244713,0.1642979238069754,0.2719585532449873,14,[13  4 10  1]
15,29401,8.434595487772912,0.14425958063265448,0.2696753389059213,15,[ 7  2 13  9]
16,21577,8.668863907167495,0.1365023469457904,0.27538165033569273,16,[5 4 4 9]
17,46194,8.758062866617497,0.13432422999269938,0.2763981910630276,17,[11  4  7  2]
18,27870,8.886203561689827,0.1302846722121432,0.2711649319690357,18,[ 6 12 13 14]
19,9547,10.167878758186482,0.09691999965047277,0.3243516565331472,19,[ 2  5  4 11]
20,15639,10.433733565915713,0.0910869255393382,0.3302484696643118,20,[ 3 13  1  7]
21,13037,10.485898646758162,0.0901257596452203,0.33397410415054823,21,[ 3  2 14 13]
22,15338,10.795182835696526,0.08447967163752297,0.35779878241401664,22,[ 3 11 14 10]
23,31925,10.789491455554776,0.08463518424335292,0.35820903142452104,23,[ 7 12 11  5]
24,27123,10.803253942399817,0.08453466237336728,0.36098219991241465,24,[ 6  9 15  3]
25,44836,11.484762498480084,0.073960645159831,0.364294889485874,25,[10 15  2  4]
26,30683,11.543971232913442,0.07285181076169828,0.3663399965685674,26,[ 7  7 13 11]
27,28922,11.591375693049288,0.07176687046257227,0.3656294925733881,27,[ 7  0 15 10]
28,28541,11.599519616083994,0.07148164392519354,0.36681681430225915,28,[ 6 15  7 13]
29,29060,11.541075666299921,0.07227032715511113,0.35958067821069406,29,[7 1 8 4]
30,58422,11.630380755708616,0.07107617218487601,0.3634278248529328,30,[14  4  3  6]
31,64296,11.69772185960127,0.069959424590016,0.3730788590977414,31,[15 11  2  8]
32,19345,11.738915343370858,0.06943897926170413,0.3694006429668909,32,[ 4 11  9  1]
33,1732,11.732758721953951,0.06953311849357385,0.37234956774732897,33,[ 0  6 12  4]
34,44990,11.730655818031943,0.06957944403472349,0.37308292916454483,34,[10 15 11 14]
35,27559,11.811356916605071,0.06862093018143078,0.380502893876589,35,[ 6 11 10  7]
36,1078,11.837572610639636,0.0680807844146703,0.3809931302910248,36,[0 4 3 6]
37,2627,11.833757281350323,0.06816690826163542,0.38106874089838805,37,[ 0 10  4  3]
38,3563,11.907952329444466,0.06736198849050112,0.3813812697859288,38,[ 0 13 14 11]
39,41706,11.966338794793261,0.06597461898484075,0.3825686957878215,39,[10  2 14 10]
40,39697,12.126681648137277,0.06395388729365144,0.4084917565026467,40,[ 9 11  1  1]
41,40437,12.145485562852137,0.06376018358181991,0.4066623557969872,41,[ 9 13 15  5]
42,51838,12.123279740877223,0.06423422204290215,0.40676070856824936,42,[12 10  7 14]
43,25064,12.230299060848509,0.062253550146056505,0.4089945858233729,43,[ 6  1 14  8]
44,9531,12.289625408906987,0.06138646832027263,0.4034617969432491,44,[ 2  5  3 11]
45,42872,12.306505430921192,0.061101933660130184,0.40294482226658346,45,[10  7  7  8]
46,40952,12.329961049214585,0.06076030833945456,0.400243189396588,46,[ 9 15 15  8]
47,21918,12.603676474185765,0.057338586875117295,0.4120943110405515,47,[ 5  5  9 14]
48,51009,12.638016655505368,0.05694492318341611,0.4101210335820862,48,[12  7  4  1]
49,42644,12.666210180080784,0.05664233657881086,0.4130342551013266,49,[10  6  9  4]
50,27856,12.665640588073286,0.056663822987616255,0.41218838790234524,50,[ 6 12 13  0]
51,55849,12.669452406849588,0.056634383974884406,0.41345099026491816,51,[13 10  2  9]
52,46550,12.673457389971059,0.05657665385821131,0.41353697729658667,52,[11  5 13  6]
53,53834,12.672052278665003,0.05662406666641845,0.4133116693836331,53,[13  2  4 10]
54,60002,12.74877227865173,0.05596879366633517,0.4073520126778488,54,[14 10  6  2]
55,31284,12.870678244005354,0.05430947657360213,0.41344179012944393,55,[ 7 10  3  4]
56,53404,12.876442986282013,0.05423841355505976,0.4136635053707248,56,[13  0  9 12]
57,53746,12.908324451074098,0.05363242691869008,0.41445808510221727,57,[13  1 15  2]
58,15389,12.967631298608008,0.052831736875931956,0.41620701688683304,58,[ 3 12  1 13]
59,14227,12.992337772102422,0.05245951722479569,0.41702040292958803,59,[3 7 9 3]
60,23248,13.03810667287166,0.0519138764869127,0.42795916535811307,60,[ 5 10 13  0]
61,33228,13.045305414486537,0.051825443609217925,0.4268967222739788,61,[ 8  1 12 12]
62,21392,13.058299073723635,0.051727664366498616,0.4294311024179584,62,[5 3 9 0]
63,11252,13.075640281254904,0.05149978484832146,0.42976870557097435,63,[ 2 11 15  4]
64,54568,13.153275340710922,0.050591079164789055,0.43593858558205734,64,[13  5  2  8]
65,34291,13.180102257599742,0.050361953701231754,0.4410009461832757,65,[ 8  5 15  3]
66,37593,13.248440879731868,0.04983472043039272,0.4572957373188468,66,[ 9  2 13  9]
67,45556,13.244309954120745,0.049846091107123014,0.45611934572736,67,[11  1 15  4]
68,13338,13.396952570917747,0.04782290916797033,0.4509242612122983,68,[ 3  4  1 10]
69,52914,13.396947163930191,0.04782181838446854,0.4506563982787854,69,[12 14 11  2]
70,45199,13.463654227201056,0.047197135013385794,0.44922566138304676,70,[11  0  8 15]
71,9593,13.589616978941638,0.04597377222577853,0.44980305929847997,71,[2 5 7 9]
72,29212,13.819942639183472,0.04373021213105838,0.4577813546353473,72,[ 7  2  1 12]
73,48386,13.827101518030144,0.043785252259982976,0.4599779910107795,73,[11 13  0  2]
74,51223,13.830409794759104,0.04372659201264151,0.4578983379237773,74,[12  8  1  7]
75,1390,13.839583053812168,0.043723588556018544,0.45657447315590705,75,[ 0  5  6 14]
76,18469,14.147047964143358,0.04115451292858868,0.48349070144469797,76,[4 8 2 5]
77,1270,14.14586855557385,0.04112048419856919,0.4847172190956102,77,[ 0  4 15  6]
78,3336,14.146721534832277,0.04110690150091591,0.4831598385154969,78,[ 0 13  0  8]
79,50626,14.214641067401319,0.04059838146011746,0.4846584746543213,79,[12  5 12  2]
80,57810,14.2290727685639,0.04051535044042588,0.4807877449352145,80,[14  1 13  2]
81,48788,14.259214289637507,0.040250972882515335,0.4813421642703315,81,[11 14  9  4]
