step,action,psnr_value,mse_value,ssim_value,rank,action
1,19091,3.40394793500141,0.4570312516216444,0.1937762946265023,1,[ 4 10  9  3]
2,30410,3.4801049839067755,0.4491662135697813,0.17172457280256087,2,[ 7  6 12 10]
3,63124,3.675690333924682,0.42946614734816807,0.19127340104973897,3,[15  6  9  4]
4,63404,3.9568662706235758,0.40255154405202426,0.20206182351005017,4,[15  7 10 12]
5,3610,4.080938477806334,0.391563279129363,0.20184937886615295,5,[ 0 14  1 10]
6,61777,4.080938477806334,0.39156335055975267,0.20184937886615295,6,[15  1  5  1]
7,8127,4.58270460645807,0.3488936614421292,0.26399233949823087,7,[ 1 15 11 15]
8,44348,4.58270460645807,0.3488938077707697,0.26399233949823087,8,[10 13  3 12]
9,42602,4.680018423065049,0.34117330857354655,0.2744142202384764,9,[10  6  6 10]
10,31896,4.8520139981700385,0.32825742416898396,0.29425829193032227,10,[ 7 12  9  8]
11,11435,5.0432044155366285,0.31436513473554695,0.334558840844873,11,[ 2 12 10 11]
12,7713,5.0532463213883165,0.3135736902922496,0.3320168968544608,12,[ 1 14  2  1]
13,7188,5.053246236698779,0.3135737158018912,0.33201056946620616,13,[ 1 12  1  4]
14,15198,5.053443260118709,0.3135525668170116,0.3293564954605959,14,[ 3 11  5 14]
15,65012,5.059946171535794,0.3132309642627067,0.3310101340509688,15,[15 13 15  4]
16,54812,5.225137214902648,0.301924861494559,0.3291914688352993,16,[13  6  1 12]
17,64489,5.300769658545087,0.29753894335584247,0.31899301139686703,17,[15 11 14  9]
18,8466,5.316456779309565,0.2963576405123902,0.3188399610065429,18,[2 1 1 2]
19,30648,5.316459562272375,0.2963574177009717,0.3188386879418636,19,[ 7  7 11  8]
20,61383,5.4358513216396664,0.2877750980362054,0.3381767703373403,20,[14 15 12  7]
21,2161,5.5105207979639435,0.2829163682862135,0.3106751792506194,21,[0 8 7 1]
22,11265,5.52224868611816,0.28219131226756256,0.2760289874500388,22,[ 2 12  0  1]
23,16107,5.523765171614432,0.28213821589750543,0.2769071822968813,23,[ 3 14 14 11]
24,40828,5.549337397809912,0.2804856721226815,0.24743238911904053,24,[ 9 15  7 12]
25,23039,5.555902861637309,0.27999118018075114,0.20303639286379355,25,[ 5  9 15 15]
26,62288,5.580081397755854,0.2786540576029343,0.20995506121939514,26,[15  3  5  0]
