step,action,psnr_value,mse_value,ssim_value,rank,action
1,215699,3.216229111007704,166822663.29410025,0.00902730581305601,1,[13 20  2 24]
2,227018,3.0644043944291304,175114951.9570182,0.0024108988067641267,2,[14 13  5 18]
3,198055,2.9663619086540463,427206173.2197691,0.001912895177860239,3,[12 16 22  5]
4,203150,2.9404939744105523,878051128109.7036,0.0046496581000574876,4,[13  0  1  0]
5,353090,3.046404969666927,29041850600.390907,0.0018415273633756175,5,[22 14 23 15]
6,182530,3.0046192607024755,376345166.2008098,0.0014520009697010288,6,[11 17  1  5]
7,66394,3.0824170042489896,4245183268.415105,0.001511346753967108,7,[ 4  6  5 19]
8,72552,3.0691568212531473,2379070802.987973,-0.0006908682584110742,8,[ 4 16  2  2]
9,97432,3.090024595375016,58387941.69834961,0.001625581677411554,9,[ 6  5 22  7]
10,309755,3.024767256223223,1013253105.4750144,-0.0026188677618029267,10,[19 20 15  5]
11,177487,3.0482043131778154,7711703841.676816,-0.002138966539379097,11,[11  8 24 12]
12,282800,3.103484972445746,1665330389.8076599,0.0041913122505581385,12,[18  2 12  0]
13,136597,2.937752584011351,126279976.76229185,-0.012107007220387035,13,[ 8 18 13 22]
14,164223,3.072123353676291,4919443.051294678,0.012206689899728267,14,[10 12 18 23]
15,205074,3.0212536062525563,1098802149.8196838,-0.006084483935889746,15,[13  3  2 24]
16,279924,3.0959058150846754,579075130.1730739,0.005081902468405077,16,[17 22 21 24]
17,389063,2.921020469447283,5126253388.476368,-0.00380987874149655,17,[24 22 12 13]
18,125093,2.9382042156064134,299422018.1855038,-0.009188620381706755,18,[ 8  0  3 18]
19,338945,2.9708991714342483,1248617519.6468663,0.0006098227745124245,19,[21 17  7 20]
20,110709,3.0595110238086316,98357054.92721829,0.011961553756374064,20,[7 2 3 9]
21,19428,2.991864478056117,30803167.99432176,0.0009399403955231249,21,[1 6 2 3]
22,192099,3.0129633435202314,371241772.133877,0.007249616080544165,22,[12  7  8 24]
23,380576,2.992593306336573,168397867.86023736,0.0028273642543808703,23,[24  8 23  1]
24,306064,3.0364334635722265,44996476.69424578,0.004856421487660158,24,[19 14 17 14]
25,138463,2.9909874284632516,3648845.3763110475,-0.0007742443015027745,25,[ 8 21 13 13]
26,20621,3.0056036445064493,5142069.190324377,-0.007443497962765095,26,[ 1  7 24 21]
27,305649,3.067439018308117,3685319.8679739074,0.008674333118689134,27,[19 14  0 24]
